,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010930,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19951231,19941231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,361795.57,377180.17,392564.77,448035.37,474652.87,336481.83,550584.97,336481.83,409784.99,164912.66,489567.16,13713018.44,4384761.66,10093709.74,4384979.88,4384979.88,20566698.78,18984451.86,27227580.99,31092897.88,14486348.19,23859427.15,20375909.46,14838187.82,0,0,0,0,0,0,0,0,0,0,0,548253.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,流动资产合计,2117708690.68,1975285682.12,1922664022.00,1896206237.70,1855750308.29,1880620527.07,1903212927.89,1840225264.62,1898736896.70,1773970541.68,1730045372.36,1794214557.19,1911662921.90,2139614850.44,2686254504.69,2876089132.97,2053599231.42,1904909174.51,2146853491.41,2203761097.31,2753531941.09,2366658987.55,2026481380.31,2072100001.66,2315706921.81,2260752808.97,1993370812.08,1715475349.42,1742740292.20,1509276546.84,1573282459.62,1345644729.56,1578156983.82,1308513917.27,1285402282.61,1687038913.12,729349714.26,856470156.99,776352301.08,583804163.90,731057437.44,660061258.13,345124267.06,348257254.58,392778439.93,383340163.22,347419614.39,335116324.90,363213014.75,372710604.87,325243940.68,293098141.13,342893028.12,325861861.49,371872054.25,322543118.80,379756554.25,383051016.46,419771052.08,404023081.56,384942779.28,393562021.88,318712956.16,289313757.75,477652509.68,411878506.21,435034575.11,409410024.23,446053056.90,464797627.45,614977169.05,608627002.54,613765300.00,606646303.56,602216348.53,568727807.34,568727807.34,588310631.41,556709353.91,485488715.62,472146931.94,536766497.43,290389765.00,253214565.05,232040137.60,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2162353.90,2046693.11,2368531.83,2484192.62,2142238.98,2283043.42,2368531.83,2252871.04,2048063.36,2532649.78,2601223.33,2505220.36,2651510.60,2747513.57,3291531.84,3716886.80,3311408.24,3581727.28,2556105.04,1884282.72,2377217.44,2973509.44,4057813.35,4057813.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,22524269.90,22689760.83,23000117.92,22990255.10,26049231.02,25937162.36,27838491.81,26333715.73,30314625.19,28509534.20,29574987.01,29101683.35,4188986.82,4666297.05,7921238.12,10678486.72,15808213.77,32749413.72,33853392.01,41114814.18,34587356.76,42712689.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,1292705.04,2718871.32,4505782.22,6258846.16,9078670.88,10858670.88,12210583.49,13830583.49,16800982.17,19030749.84,21580749.84,23910749.84,27876683.72,29876683.72,33820683.72,34136683.72,39697661.88,39697661.88,40557052.46,40781288.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434942.40,434942.40,434942.40,434942.40,434942.40,434942.40,434942.40,434942.40,434942.40,434942.40,434942.40,434942.40,1136372.78,1052190.38,1416814.08,1416814.08,2599372.10,2599372.10,2742901.10,2742901.10,3292111.09,3292111.09,3418733.15,3418733.15,0,3290314.47,5357476.89,6915095.74,6915095.74,7550761.00,7450761.00,7250761.00,5820760.00,3150760.00,1350760.00,1732270.62,4096342.44,0.0
28,投资性房地产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),6656273.07,6620166.23,12469493.75,12178736.21,7424497.10,730641.10,551995.38,3749370.01,0,0,1177140.88,1133038.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,0,6620166.23,0,12178736.21,7424497.10,696376.44,551995.38,3749370.01,5235953.03,4156089.80,1177140.88,1133038.31,1690825.35,25115536.28,37277899.94,20319578.31,246520631.28,234245928.59,273489932.21,237993693.36,373914267.77,370500272.78,563077586.58,518867928.57,1535892559.01,1477494205.84,1393602295.05,1352535578.29,1122230649.38,1027984838.89,917493851.13,868161304.29,618790085.26,451505502.34,324417772.53,254055239.48,100086411.65,17853691.64,27453486.43,6579267.28,21383733.08,9423796.84,4428019.76,2656473.42,17803173.31,9502085.24,12841116.09,5080356.26,20365409.96,17985537.21,95628306.46,86357974.24,60773055.87,58114595.10,52093313.75,32205318.38,45680206.23,38214439.04,27795535.70,26084258.95,49505069.88,35020893.58,28424647.93,13315898.94,3628961.59,2143265.89,1171663.32,349080.65,11812574.17,11276679.47,1076632.28,563837.99,0,1238912.14,409578.41,10978287.28,10978287.28,41480246.71,39576558.04,168396047.07,165897172.04,343139422.17,291936169.16,259052362.95,134604209.42,0.0
31,工程物资,0,0,0,0,0,34264.66,0,0,0,0,0,0,0,0,0,0,1665564.20,1822987.66,260178.91,160177.79,12761355.26,1324169.38,4427180.95,1474991.04,2635536.64,1491235.35,1358294.16,1346567.67,1937926.50,3727957.62,2138241.02,1682738.48,4350751.62,3367106.13,3244149.26,3017935.62,2702991.99,2093245.51,2480046.81,1675006.38,2228040.37,1852365.73,1715043.19,1852318.06,5497853.74,4091700.58,1040683.28,1441365.28,1310313.28,1400330.28,2603096.34,1388093.28,1509260.00,1515773.28,1772699.28,1925586.75,1744874.78,1756034.78,1792225.78,1976265.12,2230272.46,3745018.79,3473531.79,3053845.58,1166334.23,1167205.15,1222633.15,1272662.81,4408462.87,4525955.21,4464258.40,4577572.56,0,4566047.49,5037564.49,6142580.92,6142580.92,3476181.48,4405823.04,42246271.64,0,0,0,0,0,0.0
32,固定资产及清理(合计),146599332.71,149241490.03,145632259.76,148693422.86,151914556.65,153929029.65,157070529.94,156373518.05,0,0,162223293.26,164897484.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,0,149241490.03,0,148693422.86,151914556.65,153929029.65,157070529.94,156373518.05,158952695.73,159669472.86,162223293.26,164897484.05,158663487.38,140171581.15,126507935.99,143325188.62,1763482158.50,1792204057.18,1770082728.48,1794132158.38,1537790608.81,1559184158.05,1404721024.75,1442639369.19,383378272.63,370950822.54,379299693.19,391434539.80,348221919.73,359754822.62,368741389.72,377870857.41,369133625.99,371792138.18,380510949.59,394646229.50,534504113.44,544526412.44,535992830.48,548201292.73,541052094.72,553282207.71,0,295245034.31,303142045.24,308511900.00,292209900.81,308595627.03,293612780.07,297819393.89,243979865.73,249700823.60,231855751.47,235036620.33,240131885.32,245510524.90,216613211.32,220857063.72,225619791.76,225664372.12,272881289.40,278974828.69,281983570.33,288243879.51,292972084.76,300197115.99,306675512.11,314988013.02,331679276.41,337773300.49,275389217.81,269457368.51,0,334517716.80,295461889.72,373537222.30,373537222.30,412695037.22,416132872.95,275919850.37,272642326.82,37483565.07,38698180.09,42212770.91,50506201.34,0.0
