,报表日期,20191231,20190930,20190630,20181231,20171231,20170630,20161231,20151231,20141231,19700101
0,单位,元,元,元,元,元,元,元,元,元,
83,资本公积,1046592995.24,260516992.44,260516992.44,260516992.44,260516992.44,267817362.80,1915814.11,84050562.63,0,0.0
84,减：库存股,0,0,0,0,0,0,0,0,0,0.0
85,其他综合收益,369951.71,417821.00,255820.54,224287.07,0,0,0,0,0,0.0
86,专项储备,0,0,0,0,0,0,0,0,0,0.0
87,盈余公积,27953904.74,13720905.39,13720905.39,13720905.39,5043081.03,2986112.26,2658075.07,0,0,0.0
88,一般风险准备,0,0,0,0,0,0,0,0,0,0.0
89,未分配利润,254608043.53,223399261.27,182794669.42,125764004.71,45566419.39,31502053.57,22627855.90,-76725968.73,-80597571.81,0.0
90,归属于母公司股东权益合计,1612093472.22,709981357.10,669214764.79,612152566.61,523052869.86,514231905.63,189551745.08,169642709.72,75512948.19,0.0
91,少数股东权益,0,0,0,0,0,0,0,0,0,0.0
92,所有者权益(或股东权益)合计,1612093472.22,709981357.10,669214764.79,612152566.61,523052869.86,514231905.63,189551745.08,169642709.72,75512948.19,0.0
93,负债和所有者权益(或股东权益)总计,2055506010.89,1367363111.27,1300780077.27,1317414291.19,1148969455.06,1199924822.40,1008662523.00,825313332.29,742494737.47,0.0
