,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140630,20131231,20121231,20111231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
55,应付职工薪酬,3879652.74,3835573.90,1727817.93,1712560.08,3665488.37,3585711.27,1476062.14,1456604.85,4786719.07,4813619.60,1342310.67,1409255.76,3758694.65,3614452.88,1159760.30,824937.39,825756.18,804844.20,660909.96,991809.83,644536.05,621815.33,385527.87,1276140.14,0.0
56,应交税费,7566477.30,1813877.61,6779445.06,5774795.97,7146839.16,5566596.04,9112912.37,8833543.62,6499979.93,5216120.85,8685292.74,10502646.47,7418738.15,8194010.30,7147825.33,5143128.67,3492789.37,3755908.35,10549181.80,5069088.87,5968722.09,2788276.91,4173879.49,6474678.30,0.0
57,其他应付款(合计),1016255.17,37824016.73,740488.39,419013.11,480322.51,499783.33,435467.08,445879.57,0,831098.78,0,643652.81,0,1240707.38,0,0,0,0,0,0,0,0,0,0,0.0
58,应付利息,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
59,应付股利,0,36840000.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
60,其他应付款,0,984016.73,0,419013.11,480322.51,499783.33,435467.08,445879.57,1352405.12,831098.78,681110.82,643652.81,3847846.06,1240707.38,1069360.90,852400.63,2868190.92,4537573.79,925892.92,690103.84,278531.88,345024.98,406847.22,296579.88,0.0
61,预提费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
62,一年内的递延收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
63,应付短期债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
64,一年内到期的非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7081249.33,7081249.33,19581249.33,19581249.33,25000000.00,25000000.00,10000000.00,0,0.0
65,其他流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,流动负债合计,22713927.11,55554530.11,27722413.11,26266098.88,24680733.78,27395285.02,30304280.80,29497796.80,36210492.38,24910373.50,29438379.72,27742029.10,33447939.06,38028730.42,25194042.32,29255707.76,59751540.24,60054849.93,67125519.62,69290208.71,73354986.34,81975443.55,48092733.91,54811584.31,0.0
67,非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,
68,长期借款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7081249.33,19581249.33,44581249.33,6082000.00,0.0
69,应付债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
70,租赁负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
71,长期应付职工薪酬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
72,长期应付款(合计),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
73,长期应付款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
74,专项应付款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
75,预计非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
76,递延所得税负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
