,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19951231,19941231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,9932441785.00,8311011893.00,8061234978.00,12463073779.00,12465582300.00,18930028377.00,15183231091.00,15924433978.00,15032948154.00,9773604550.00,9849679016.00,5691200226.00,9932689501.00,13707855848.00,8766975957.00,8712017517.00,9449645244.00,8561271404.00,6187724760.00,6085764454.00,4736392276.00,2760053570.00,2315123012.00,1872804826.00,1153245359.00,769695315.00,1103948491.00,1284972353.00,2410648484.00,2369304313.00,2320588059.00,696796503.00,1361432332.00,710791525.00,1445713410.00,352781119.00,690264441.00,493659166.00,413694632.00,283806158.00,260017990.00,224731520.00,299349567.00,290049691.00,2673146.00,2057470.00,5636488.00,4841501.00,6004169.00,8440573.00,8796292.00,0,0,0,0,0,23466773.00,436251.00,6545259.00,5633402.00,17549716.54,11057641.52,0,8647295.00,0,0,0,0,66240389.71,1102942.62,38570595.29,1100000.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,流动资产合计,97644515932.00,94529771591.00,95899456391.00,99692282176.00,99138689123.00,99838386790.00,96215198784.00,99780298349.00,96013182948.00,90545559880.00,88465328728.00,91041828425.00,75106747142.00,78534779319.00,72339536583.00,63757148663.00,59952974886.00,58322776415.00,56697922503.00,58685733297.00,57310087713.00,57511157909.00,62637040754.00,31646099560.00,34585294839.00,39363755833.00,28004763628.00,25831145897.00,27220500888.00,26447768080.00,25993911434.00,27945441854.00,25785060758.00,27702786327.00,25871277384.00,27792285119.00,19986910004.00,20805628640.00,19382359024.00,18612928991.00,16264278960.00,16630387949.00,5875994915.00,5601743790.00,5372020099.00,4560836953.00,4634973792.00,4664522395.00,5143247365.00,4791710801.00,4477581501.00,4486328061.00,5075514098.00,5180804051.00,6357372200.00,6314789676.00,9303681681.00,8896660655.00,4987852710.00,5347942967.00,8768127675.12,7132944901.49,7812285756.78,5839139739.00,5237546948.77,4931472200.35,4841306195.55,4383975949.00,3282260806.93,2782371127.28,2910970765.38,2200909642.00,2435244259.55,2547448203.00,1497843921.00,1054299516.00,677017432.11,638392000.00,573422555.36,610891000.00,590564000.00,271152000.00,223416000.00,200211000.00,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0.00,0.00,0.00,734022359.00,766169370.00,777023613.00,831371804.00,859899356.00,850425725.00,757249677.00,787513973.00,622502556.00,504652648.00,446293769.00,413312323.00,454096246.00,285369654.00,391669279.00,386002813.00,323530493.00,313534194.00,226073866.00,223345075.00,254506569.00,122916200.00,126552470.00,118693337.00,116600700.00,83295158.00,87726361.00,57211342.00,74718931.00,108291709.00,152598955.00,173174403.00,173899899.00,167459674.00,154745799.00,196357738.00,183909549.00,103036069.00,74086125.00,50921082.00,53707522.00,50176512.00,86954969.00,101064099.00,129109597.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164299.00,0,172050.00,172050.00,170288.00,170288.00,245281.31,177923.62,27748.20,172922.00,23281473.42,11115399.28,23520645.53,22073.00,0,300000.00,300000.00,34151294.00,0,600000.00,0,0,0,0,1760000.00,0,0,0,0,0,0.0
26,长期应收款,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,2533559094.00,2625460926.00,2444706447.00,2389166886.00,4036661192.00,3443815633.00,7644759426.00,6928854415.00,2353204156.00,1981030454.00,2002572698.00,1356111395.00,2002226109.00,1700914108.00,1693922362.00,1260302959.00,739896624.00,658876472.00,641755139.00,638819435.00,977223524.00,988203148.00,991222703.00,989848083.00,992116907.00,991715815.00,971975116.00,971409821.00,959560829.00,946293066.00,957524281.00,958879205.00,59381694.00,60331623.00,61881116.00,63164307.00,65024243.00,67004833.00,62274081.00,64230890.00,396453171.00,209838134.00,320045139.00,340783862.00,553320382.00,612351087.00,625466906.00,641652657.00,1933155846.00,1899604979.00,1967960807.00,2817778818.00,2634553967.00,2580944786.00,2624620305.00,2605606712.00,2270871525.00,2262816984.00,2250333852.00,2219799838.00,2143353650.98,2065685939.90,2074452135.79,1993438496.00,903179170.06,845880901.57,908250874.91,885333370.00,876137245.87,855196372.86,789076874.55,840789461.00,837779326.84,763187795.00,760202945.00,725872054.00,684704095.51,664774000.00,681086144.38,650061000.00,524021000.00,499012000.00,408560000.00,319932000.00,0.0
28,投资性房地产,1251323201.00,1261474153.00,1273733185.00,1283867651.00,1268961384.00,1278070770.00,1295109525.00,1296662205.00,1270206652.00,1271764715.00,1190736947.00,1192932896.00,1200134259.00,1210463063.00,1227516773.00,1227099427.00,1237173997.00,1240587632.00,1247311859.00,1251820763.00,1270182816.00,1279438548.00,1271968659.00,1284415937.00,1271685267.00,1281379052.00,1285808878.00,1309561041.00,1308912381.00,1318606167.00,1338208579.00,1340984989.00,1370259249.00,1380873321.00,1391985132.00,1407773542.00,1158103974.00,1166294465.00,1196037855.00,1204384315.00,148896855.00,169523463.00,172104915.00,174553402.00,119716989.00,166357723.00,124149439.00,126367406.00,163701581.00,166445493.00,183134748.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
