,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20011231,20001231,19991231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,14376256.50,12423235.50,9270995.68,10125538.98,11072991.56,11966402.85,17086647.68,13272304.01,11057068.20,13087646.59,17324560.15,20303039.19,12390292.81,7907373.46,5654707.79,11825985.49,6010009.49,5903789.04,9908574.56,13296901.91,13146977.30,14033793.77,16710296.40,20211620.75,17667558.90,16736419.37,14726039.06,18696694.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64997.60,0,0,0,0,0,0,0,0,0,0,0,0,-29000.00,-29100.00,0,-35200.00,0,0,0,5016.99,0.0
21,流动资产合计,2246412025.13,2205480222.15,2398282235.39,2347284745.09,2038075497.54,1651895683.74,1852828949.70,1798097399.06,1876176246.79,1777497939.29,1771435526.44,1589954009.17,1751305459.54,1683238828.19,2169138385.77,2032117617.83,1581330777.47,1216945663.25,1315314292.13,1052393842.75,1178016830.51,1091272779.19,1326251365.59,1320208893.55,1233189495.79,1051960604.10,1163721189.09,1190674084.49,1265017258.39,847908292.38,813631188.59,837897920.42,1403153645.77,1312521558.89,1211992673.64,1164455899.39,1261757120.31,1181792920.93,1262710179.06,1194930085.51,1200259718.19,1023619951.30,979678771.87,916060944.62,872101291.24,801258240.93,469205414.45,417322173.27,412067219.82,396278485.90,416309977.20,363317921.72,489003735.70,464016060.68,478909248.03,492244022.38,571162440.93,462509921.37,456678426.40,416602891.66,482812599.20,528281283.53,422412600.00,421968944.06,396675400.00,335865000.00,314107500.00,312195110.14,363357100.00,170776327.62,146119688.13,118122362.17,130506806.81,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,93889049.23,94501855.95,95288957.34,95453348.42,95453348.42,100890000.00,100890000.00,100890000.00,71050000.00,70817065.28,70817065.28,71050000.00,71050000.00,71100000.00,71338125.83,92395151.39,75318963.99,69050000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700.00,1300.00,4800.00,19300.00,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,50620024.88,50488334.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69000000.00,69000000.00,19000000.00,19000000.00,19000000.00,19000000.00,19000000.00,19000000.00,19000000.00,14000000.00,14000000.00,8000000.00,2000000.00,18600000.00,18600000.00,18600000.00,18600000.00,18600000.00,18600000.00,18600000.00,18600000.00,18600000.00,18600000.00,18600000.00,18600000.00,18600000.00,18600000.00,18600000.00,18600000.00,18600000.00,18600000.00,18600000.00,31719132.14,21184745.64,22308728.33,22448579.77,22486129.16,22464849.20,22447406.45,26257409.36,36905398.48,30120000.00,35868390.85,19620000.00,28720000.00,24620000.00,20620000.00,20620000.00,20620000.00,20620000.00,18620000.00,1760280.61,0.0
28,投资性房地产,50268967.64,50948961.40,51749259.32,52308948.91,53070793.76,53668936.42,54348930.17,55028923.93,35734539.53,31525568.78,31843164.65,32160760.52,32478356.39,32795952.26,33113548.13,33431144.00,0,0,0,0,0,0,0,0,0,0.00,4205673.66,3496308.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
