,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19911231,19901231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
21,流动资产合计,12364919606.59,12873202408.62,11300581945.79,11890385763.37,11404728212.69,12471728254.44,10761687160.28,10628092961.52,11511486928.37,11349867693.34,11305452613.57,10998656952.88,6867872881.45,5970785816.05,5934121441.19,4180114848.65,3771116250.54,3577884291.76,3476971695.39,3639507914.61,3506007697.08,3165882214.19,3559238430.66,3230665841.46,3484601972.31,2980726564.42,3097573619.41,3407953446.99,3171165903.62,2973875718.74,3008387177.29,2461928978.60,2624754995.53,2907995011.74,2650922373.21,2629114002.96,2319631757.57,2155723630.17,2098532785.40,1988557977.87,1890939338.72,1841561962.45,1711792465.03,1591830020.74,1521306339.02,1609849673.07,1645300551.59,1695869560.18,1701064723.99,1586070556.51,1605425949.93,1401125443.86,1331753189.91,1156223893.14,1138023113.82,1203803057.43,948691789.21,844221153.92,898671616.14,878174367.50,932433208.31,1045776268.80,969015567.52,1161035320.35,845191685.21,1063094718.44,894900720.06,887777646.02,976056327.76,975311743.75,1043551038.39,1010485916.52,1026231553.65,911739268.89,878576037.81,796795856.13,890496693.92,823312195.58,846020296.20,812999754.44,771264424.54,807083300.62,752228639.49,740984386.72,561702050.27,609815226.10,631445175.56,503077818.76,462397494.94,518039952.22,441444926.02,281780212.65,224381247.55,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0,0,0,0,0,270577079.35,193530331.52,245965910.90,146671473.44,146053450.19,147294165.97,146985612.14,146866585.44,174035024.09,179622286.76,189931989.11,199297004.35,174027419.65,141402772.99,157011812.79,180452289.93,9857078.24,10041559.76,10547652.80,9827655.38,11065733.03,10612859.66,9626270.64,9657659.86,9430489.29,9238787.30,8495950.90,9868289.81,10261180.38,10572886.89,10669364.50,10472106.27,12016546.42,12906087.63,11449374.77,11991715.36,8794613.46,6674800.96,8049453.80,10095361.80,13300222.20,58571943.00,51537742.50,45333048.50,12268800.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140000000.00,140000000.00,140000000.00,140000000.00,0,0,0,0,0,0,0,0,0,6680765.00,6680765.00,6680765.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,10828143.63,10571341.94,10656942.50,20544135.18,20299509.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,167990762.33,171498988.56,181694675.56,181718000.07,184073655.22,188106109.58,136683254.30,112490912.71,98742038.50,92598045.44,94221095.16,91694784.78,90323536.24,91109734.79,91495759.87,92530162.61,90582717.73,68908511.07,69190021.82,40815768.50,39106464.68,37771892.70,40133716.88,44468526.79,125174206.86,123764866.29,123031687.95,122670054.37,121924586.89,120961203.38,119688732.08,118670941.80,118311207.13,118529007.91,118600953.20,44447887.04,45208064.19,45920620.54,45535280.32,46409077.16,47638303.92,48416987.20,43185380.41,44056270.57,43500226.82,45128539.14,46265715.74,36896067.52,40318398.35,42458141.63,43855918.83,51328237.98,53948618.51,120799125.93,126337672.95,128284138.81,130990822.40,133167910.71,131169437.35,133018399.64,141371628.28,125842173.26,72104477.19,70500089.99,45689323.55,91609940.53,39984323.73,63298392.00,47537139.49,61850221.47,74774868.70,59498467.55,48660030.99,48660030.99,77552433.77,69341646.27,43286473.70,41586873.66,43094893.97,36329433.62,63755984.85,61428484.85,59553076.80,44390374.56,45270000.00,44600000.00,44012435.63,53239227.20,0,41674979.00,0,0,0,0.0
28,投资性房地产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),340802468.11,233489857.85,235245242.68,205414501.40,228583454.39,184518928.04,137856993.88,130838444.98,87615636.60,70279348.98,0,169965846.25,0,201733854.47,0,196952778.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,0,233489857.85,0,0,0,0,137856993.88,130838444.98,87615636.60,70279348.98,199346022.30,169934836.39,191081521.25,201733854.47,223360916.58,196862180.39,219530323.68,347248914.85,699939304.70,656873866.33,629001593.58,561716329.53,1073410555.00,1022037573.66,1074824792.13,1082419104.88,1636265970.55,1581479104.43,1173277124.64,1028769050.48,841353722.78,579175152.94,398970230.66,148841628.16,207570690.52,156828333.66,145477281.15,317906371.50,315665368.95,228589723.88,135493279.84,103839745.36,77303064.88,58339762.82,45469004.88,38117555.88,34203824.57,25501425.13,44412756.10,38843295.19,101004750.98,62207926.93,97358061.41,96204989.94,332556079.29,306962711.77,324197516.78,356727377.01,318641524.33,296311901.36,237622852.01,209254492.66,98285677.01,109384350.56,90164745.23,60066373.65,75757601.17,67427672.53,72054215.88,60501587.49,109809033.58,104800543.98,87792913.06,76797500.66,65925330.54,47085753.50,147081800.61,141859024.48,118473937.60,76631065.58,68742246.83,43833374.38,35708959.81,26855293.10,114598723.53,152154127.67,233802333.20,150072426.50,149488141.12,100403634.83,0,0,0,0.0
