,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19960331,19951231,19941231,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20006.78,287849.38,173528.65,44528.38,107518.99,0,0,0,0,0,0,0,0.0
20,其他流动资产,94591717.56,100155761.12,95289067.84,79832377.62,66907105.45,62654290.73,56632410.77,50159876.75,51758040.08,62768941.43,78097538.44,79023044.46,57504850.16,57143467.31,56271788.48,49235317.52,48026999.09,50163941.46,71993942.64,42303513.21,46386302.58,70023474.89,5428488.73,282581.20,1796040.00,3592080.00,5428488.73,282581.20,1796040.00,3592080.00,5388120.00,0,833447.63,580935.34,1142259.18,0,1377583.10,0,1883026.81,0,2495078.47,0,1951022.77,0,1502403.21,0,0,0,735138.98,479243.77,867261.88,0,4500000.00,4500000.00,0,0,0,0,0,0,0,0,0,0,0,2439.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,流动资产合计,597954027.35,600369449.11,639171788.60,707590863.93,657526255.43,760219364.36,729227514.82,921149782.91,585371400.97,604713338.82,1139586374.25,1584690564.71,792391305.37,815364997.42,821003405.04,583492892.88,535722866.41,467218304.85,662870142.64,570309352.65,1276964316.51,1271502653.21,1153501939.73,1123651154.86,383680070.03,374618424.08,377229365.87,378262977.66,406679716.17,456720394.06,463298007.81,513698326.94,534503092.55,521749170.79,529141790.42,506560802.50,472300523.56,463571501.73,488462090.20,508627183.47,455435251.22,411849914.40,383564077.55,375254878.26,479846740.24,511330203.93,512196319.77,478840678.47,559078874.56,616425969.08,640189840.21,631108591.47,848142332.72,754385498.31,754858072.63,673576243.99,1605020209.34,1509631267.56,1271626644.48,1316375511.11,2128959780.92,1792076519.80,1874538870.66,1873616490.50,694000310.45,600594552.76,603801127.20,632996248.03,317071269.25,499066346.71,479050000.00,516442236.28,466975693.86,291331518.45,333179411.87,290181705.23,433584395.32,251226597.78,241851488.05,135674048.12,146700624.03,120276805.87,99771310.00,90386860.00,71574240.00,54658940.00,27184880.00,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,74097429.42,74097429.42,74097429.42,74097429.42,74097429.42,74097429.42,74097429.42,74097429.42,74097429.42,106097429.42,106097429.42,74097429.42,74097429.42,74097429.42,74097429.42,74097429.42,74097429.42,74097429.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,290430638.77,291339613.24,292055810.51,293005831.06,294176810.90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74097429.42,74097429.42,74097429.42,74097429.42,74097429.42,74097429.42,74097429.42,74097429.42,74097429.42,74097429.42,74097429.42,90168111.17,90168004.68,90170664.51,90242844.92,92231563.45,90232589.70,90251602.13,90323368.33,90450339.38,90360919.34,89995078.16,90070125.06,90383931.34,90349969.51,89689394.35,89695815.67,64173476.10,69647262.57,75979719.13,75942090.68,203472915.48,203975464.03,204976919.77,204254235.99,166757662.68,177108134.44,373537640.50,374039918.78,225167165.87,219715448.88,184449175.73,160714300.81,32026065.92,34445818.47,163351158.21,31138255.16,418716605.15,230256605.15,0,180243634.37,109117796.19,23595449.39,20193365.35,19162587.67,11340108.17,195211307.01,140759933.73,85262516.47,83489923.61,57723303.00,0,0,549890.00,549890.00,8901240.00,0.0
28,投资性房地产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),850143530.29,840796143.10,839708102.45,958586114.89,795061297.38,732431004.76,865090359.98,754719577.49,0,0,534018529.46,2451544782.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,0,830726988.05,0,947884262.38,795061297.38,727022285.90,859561682.09,749056977.27,657288217.68,555219792.28,526287665.59,2428660768.53,434259498.83,407543809.75,314852522.16,290115109.30,243923023.28,234254156.48,224335085.34,204573669.30,68638808.03,73331267.60,75137854.34,91945847.86,165862147.66,103080031.20,85028896.45,75126160.15,634715407.49,554294283.52,461427030.33,423947006.15,37369797.19,32323800.29,34248446.07,32130079.05,26491290.03,51525850.76,50366266.40,49600522.31,44553117.40,41842308.49,56161433.30,55785931.96,63620497.80,57084611.86,60110590.56,57819080.80,46757650.94,43936217.71,40699404.88,40856961.32,55438599.41,40495637.12,36677692.61,36244518.68,27940933.94,31180021.17,26278167.79,42026125.68,214069682.11,224350696.41,203197257.23,194958818.05,674081686.03,615301783.86,575396685.19,561259891.99,173700341.85,278071150.95,0,316734401.26,397555637.09,375097003.78,313401150.85,341915694.92,129349142.17,6188710.92,5370326.31,20138758.60,5489125.01,302870.50,0,0,0,0,0,0.0
31,工程物资,0,10069155.05,0,10701852.51,0,5408718.86,5528677.89,5662600.22,6772436.57,6975801.77,7730863.87,22884013.67,4616722.63,13109408.67,18158305.66,18464228.02,17920800.47,2221462.52,1705305.38,2940478.96,520625.63,537041.60,569960.47,572682.30,577692.85,630664.14,646291.79,652261.91,625535.07,655327.00,667644.40,671088.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7839121.29,5282594.30,0,19376459.71,0,10144449.64,1038140.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),2962945942.12,2970702484.11,2982555888.51,2862114428.46,3613576602.31,3574829411.22,3291354378.86,3326333341.52,0,0,3395399203.61,1459206553.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,0,2970702484.11,0,2862114428.46,3613576602.31,3574829411.22,3291354378.86,3326333341.52,3336257706.72,3356242646.11,3395399203.61,1459206553.84,1308453797.01,1318853481.11,1325882538.46,1340071407.81,1360522340.30,1373918526.04,1391064075.48,1404829996.54,1323118594.63,1341391671.64,1332976909.80,1513142594.16,1282502414.87,1301558755.31,1316061138.95,1339280790.29,627031674.09,586947184.24,594080812.32,597421221.69,593167301.03,603285855.92,598276711.49,608398174.02,617140978.12,596279620.70,605397360.73,616694013.28,626904098.82,619705752.57,1385176654.34,1399068768.32,1391586640.87,1406140949.28,1415392605.50,1429595523.73,1448784348.76,1463210007.81,1478484744.94,1569727627.96,1511281758.90,1522362533.70,1534393378.78,1546740122.10,1427953321.33,1424832769.98,1434760722.14,1444220364.11,1151164216.38,1148688826.63,1156735908.05,1167085417.02,789537503.75,797308771.01,754697963.84,803641317.51,567474230.87,574702427.22,0,586341746.44,311238604.65,322611699.65,327172718.35,285177211.85,297021937.43,305725870.44,288629264.61,56573494.83,56559092.10,58922818.32,0,55066170.00,0,0,0,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701679.77,0,0,0,0,0,0,0,0,0,0,0,1794.86,0,0,0,0,0,0,0,329378.00,0,0,0,193619.75,193619.75,0,193619.75,377737.56,193619.75,469934.25,208619.75,159700.00,167246.75,119933.00,0,0,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
