,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060630,20051231,20041231,20031231,20021231,20011231,20001231,19991231,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,递延税款借项,62536000000.00,58635000000.00,58957000000.00,59077000000.00,58375000000.00,57534000000.00,57627000000.00,57735000000.00,48392000000.00,36603000000.00,34839000000.00,31109000000.00,28398000000.00,15158000000.00,17265000000.00,18619000000.00,21066000000.00,19288000000.00,22037000000.00,24665000000.00,24758000000.00,19553000000.00,21480000000.00,25805000000.00,28860000000.00,24401000000.00,21877000000.00,20860000000.00,22789000000.00,19587000000.00,21348000000.00,22003000000.00,21938000000.00,23386000000.00,20949000000.00,22708000000.00,21712000000.00,17535000000.00,17276000000.00,15944000000.00,18696000000.00,20786000000.00,11390000000.00,8634000000.00,10775000000.00,9081000000.00,7150000000.00,5782000000.00,5865000000.00,2363000000.00,2424000000.00,1349000000.00,0,0,0,8805000000.00,27381000000.00,0,0,0,0,0,0,0.0
20,投资性房地产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,其他资产,244283000000.00,314920000000.00,334912000000.00,410633000000.00,200910000000.00,482536000000.00,488722000000.00,425907000000.00,335012000000.00,385058000000.00,460165000000.00,397479000000.00,368232000000.00,413432000000.00,395777000000.00,392672000000.00,347004000000.00,318858000000.00,281662000000.00,310758000000.00,263193000000.00,273818000000.00,302531000000.00,320090000000.00,265279000000.00,281127000000.00,478684000000.00,324559000000.00,260003000000.00,208866000000.00,204920000000.00,188900000000.00,149933000000.00,157434000000.00,155830000000.00,157664000000.00,122462000000.00,152239000000.00,128089000000.00,131132000000.00,108781000000.00,118185000000.00,112085000000.00,115388000000.00,105749000000.00,116096000000.00,118746000000.00,150094000000.00,93396000000.00,103554000000.00,103602000000.00,95957000000.00,73062000000.00,1685000000.00,46056000000.00,42241000000.00,42897000000.00,99057000000.00,207255000000.00,240121000000.00,292982000000.00,182726000000.00,174641000000.00,0.0
22,资产总计,30109436000000.00,30426381000000.00,29990476000000.00,29246572000000.00,27699540000000.00,28198135000000.00,27303080000000.00,26493781000000.00,26087043000000.00,25764798000000.00,25514046000000.00,24904936000000.00,24137265000000.00,23646472000000.00,23524327000000.00,22883325000000.00,22209780000000.00,22104917000000.00,22417295000000.00,21396633000000.00,20609953000000.00,20150956000000.00,20303677000000.00,19734683000000.00,18917752000000.00,18742548000000.00,18723353000000.00,18357278000000.00,17542217000000.00,17371150000000.00,17073050000000.00,16431196000000.00,15476868000000.00,15127002000000.00,14896048000000.00,14389996000000.00,13458622000000.00,13417887000000.00,12960381000000.00,12553385000000.00,11785053000000.00,11670134000000.00,11435086000000.00,10978966000000.00,9757654000000.00,9384347000000.00,9399960000000.00,9141387000000.00,8684288000000.00,8597756000000.00,8303988000000.00,7880806000000.00,7509489000000.00,7055477000000.00,6457239000000.00,5072874000000.00,4560174000000.00,4776773000000.00,4338985000000.00,3997845000000.00,3539866000000.00,3238738000000.00,2936785000000.00,0.0
23,负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,向中央银行借款,1017000000.00,552000000.00,1232000000.00,465000000.00,481000000.00,437000000.00,428000000.00,429000000.00,456000000.00,477000000.00,511000000.00,534000000.00,545000000.00,178000000.00,380000000.00,182000000.00,210000000.00,338000000.00,332000000.00,333000000.00,631000000.00,699000000.00,745000000.00,686000000.00,724000000.00,792000000.00,717000000.00,680000000.00,1133000000.00,237000000.00,437000000.00,70000000.00,100000000.00,100000000.00,100000000.00,81000000.00,51000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28402000000.00,32383000000.00,0,0,0,0,0,0,0.0
25,同业存入及拆入,2266573000000.00,2148953000000.00,2184550000000.00,2026260000000.00,1814495000000.00,2032966000000.00,1924082000000.00,1709411000000.00,1706549000000.00,1714586000000.00,1815045000000.00,1776128000000.00,2016799000000.00,1877479000000.00,2245263000000.00,2049534000000.00,2265860000000.00,2061636000000.00,2562775000000.00,1792461000000.00,1539239000000.00,1429869000000.00,1418199000000.00,1455482000000.00,1269255000000.00,1219635000000.00,1271443000000.00,1401911000000.00,1486805000000.00,1578619000000.00,1604095000000.00,1620339000000.00,1341290000000.00,1304410000000.00,1284008000000.00,1158471000000.00,1048002000000.00,1009438000000.00,1100955000000.00,1167614000000.00,1001634000000.00,964136000000.00,1011258000000.00,931067000000.00,646254000000.00,593716000000.00,867292000000.00,883752000000.00,805174000000.00,927048000000.00,790201000000.00,581343000000.00,400318000000.00,367218000000.00,232910000000.00,205695000000.00,219009000000.00,271093000000.00,310147000000.00,327697000000.00,196191000000.00,209111000000.00,171255000000.00,0.0
26,其中:同业存放款项,1776320000000.00,1593810000000.00,1633483000000.00,1472525000000.00,1328246000000.00,1463263000000.00,1423229000000.00,1227223000000.00,1214601000000.00,1153073000000.00,1319406000000.00,1216132000000.00,1516692000000.00,1299723000000.00,1724732000000.00,1511547000000.00,1788267000000.00,1591301000000.00,2123898000000.00,1351631000000.00,1106776000000.00,984026000000.00,943814000000.00,967370000000.00,867094000000.00,885275000000.00,906201000000.00,1014118000000.00,1232623000000.00,1340243000000.00,1335534000000.00,1332901000000.00,1091494000000.00,1041527000000.00,1073383000000.00,985810000000.00,922369000000.00,893172000000.00,995529000000.00,1075489000000.00,931010000000.00,914626000000.00,971328000000.00,879103000000.00,592607000000.00,532660000000.00,802408000000.00,783982000000.00,727609000000.00,875239000000.00,751193000000.00,535501000000.00,367494000000.00,331527000000.00,201550000000.00,180707000000.00,193809000000.00,232597000000.00,289054000000.00,311905000000.00,188081000000.00,197615000000.00,156421000000.00,0.0
27,拆入资金,490253000000.00,555143000000.00,551067000000.00,553735000000.00,486249000000.00,569703000000.00,500853000000.00,482188000000.00,491948000000.00,561513000000.00,495639000000.00,559996000000.00,500107000000.00,577756000000.00,520531000000.00,537987000000.00,477593000000.00,470335000000.00,438877000000.00,440830000000.00,432463000000.00,445843000000.00,474385000000.00,488112000000.00,402161000000.00,334360000000.00,365242000000.00,387793000000.00,254182000000.00,238376000000.00,268561000000.00,287438000000.00,249796000000.00,262883000000.00,210625000000.00,172661000000.00,125633000000.00,116266000000.00,105426000000.00,92125000000.00,70624000000.00,49510000000.00,39930000000.00,51964000000.00,53647000000.00,61056000000.00,64884000000.00,99770000000.00,77565000000.00,51809000000.00,39008000000.00,45842000000.00,32824000000.00,35691000000.00,31360000000.00,24988000000.00,25200000000.00,38496000000.00,21093000000.00,15792000000.00,8110000000.00,11496000000.00,14834000000.00,0.0
28,衍生金融工具负债,85180000000.00,140156000000.00,78553000000.00,71444000000.00,73573000000.00,96406000000.00,80580000000.00,100801000000.00,78556000000.00,86631000000.00,52436000000.00,71726000000.00,89960000000.00,74278000000.00,79431000000.00,97339000000.00,76826000000.00,67375000000.00,66790000000.00,80685000000.00,24191000000.00,39064000000.00,23579000000.00,25918000000.00,19168000000.00,15932000000.00,23851000000.00,15611000000.00,13261000000.00,12832000000.00,13387000000.00,9828000000.00,12617000000.00,13808000000.00,11025000000.00,10286000000.00,10564000000.00,10416000000.00,10248000000.00,7151000000.00,7773000000.00,9484000000.00,7697000000.00,9452000000.00,13612000000.00,8242000000.00,8841000000.00,12243000000.00,7127000000.00,4533000000.00,3489000000.00,3000000000.00,2613000000.00,4067000000.00,3530000000.00,3556000000.00,2798000000.00,0,0,0,0,0,0,0.0
