,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19911231,19901231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10142.17,3930.09,3930.09,-176.25,13204.87,370.88,370.88,0,37094.58,0,26022.00,0,0,0,0,0,0,0,0.0
20,其他流动资产,560297233.13,836609741.86,910653871.75,778685680.59,288821816.63,658143211.20,120423422.45,564504458.53,165867238.70,158625668.06,14411010.80,0,8714139.07,4000000.00,4000000.00,0,0,4500000.00,3000000.00,3000000.00,0,2000000.00,0.00,4500000.00,0,3000000.00,3000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10142.17,10142.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,流动资产合计,3018657545.42,2966547221.33,3005759576.56,2795147983.09,2745352878.01,3416777852.10,4151431549.67,3571684855.48,3865694721.48,2678251920.49,749095784.45,678700080.59,990610168.69,1318926744.12,1216744133.60,1171772915.18,1118602952.14,1172178689.20,991077884.09,932666611.83,863655858.44,810353695.54,808111881.86,775223206.91,572956137.31,677883616.36,674881138.69,646727411.48,648226933.40,722592181.42,587711333.28,581786409.32,559808311.64,544319708.94,584542972.51,589984061.32,607294536.62,611120086.64,717690879.94,863612017.68,1067573093.19,1006905337.42,842697973.16,623571758.01,558101621.60,553749992.29,535361513.18,532954474.39,520658442.34,427156978.28,485778805.89,422122904.22,459282418.42,456032451.67,713667479.84,668902841.97,608267781.50,524176534.96,523389265.99,481863376.97,427510062.65,439463444.11,401694554.23,406371053.91,421304706.26,0,418091714.77,385173781.25,392792331.66,434983493.97,448139878.00,420493000.00,420961673.67,441433336.63,472011421.87,560389281.77,580002081.17,644986894.42,689826986.56,874061201.20,838355153.27,790204441.30,903898374.44,1065353933.53,1022995916.73,1012775205.11,909813894.97,803222819.28,630095200.03,216234299.01,130336636.28,25196375.23,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0,20000000.00,20000000.00,20000000.00,20000000.00,20000000.00,20000000.00,30824994.90,30824994.90,30824994.90,31411309.90,11411309.90,11411309.90,11411309.90,11411309.90,11411309.90,11411309.90,184158809.90,81685000.00,66262500.00,64867500.00,76957500.00,276373972.60,235009797.10,264117920.60,273616360.90,299669450.00,354896490.00,284287500.00,286947500.00,353115000.00,394677500.00,394677500.00,386697500.00,408642500.00,405317500.00,542972500.00,631417500.00,469490000.00,577220000.00,790230000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,198301333.79,187325274.16,185669644.32,187125274.16,182827226.11,185589701.74,181521226.84,175607186.74,174589701.74,143673669.92,32771272.56,33288016.55,33866644.98,34972073.04,35049837.38,35156116.71,35284761.64,35585407.76,35756366.33,35775282.80,35961754.63,47693182.40,47591677.97,47940981.62,48179838.13,50049791.10,50251220.27,50520982.68,50758716.34,51173377.92,51432102.93,51545341.80,51861567.21,50990471.60,51270823.67,56775639.59,51675639.59,71917358.97,52117749.41,51907091.13,13149424.41,13153951.24,13153951.24,13153951.24,81154403.04,81106599.76,81106599.76,81106599.76,81106599.76,81000914.09,81000914.09,81000914.09,82951191.65,47833213.19,75513045.77,75170759.14,80209423.61,113812219.84,112801131.68,113473587.58,115533581.26,179954082.83,181173179.91,181425534.89,181321968.38,0,183845417.86,185357363.79,179839537.65,231432743.19,230043187.16,231251600.00,227981948.48,269217303.98,242173091.47,244212387.62,240212344.16,71241381.90,71285431.90,112566892.19,111576892.19,96314295.80,44684295.80,44520855.60,45012427.96,43239947.60,45239947.60,41746670.00,60493769.25,12099779.70,8856670.00,0,0.0
28,投资性房地产,31781350.74,32184788.51,32588226.23,32991663.95,33395101.68,33798539.49,34201977.22,34605414.95,35008852.62,35387907.81,15801889.83,41424771.83,19244780.80,19515054.22,19785327.64,20333984.52,20890800.30,21168212.77,21446645.11,21947123.28,22228615.23,22888338.86,23174924.24,23461509.62,23984418.97,24274063.96,24563708.95,24935188.17,25308707.14,25600391.86,25892076.58,26183761.30,26736246.75,19147484.81,19367639.84,19677788.04,19898962.92,20120137.80,20341312.68,20562487.56,20783662.44,21004837.32,21226012.20,21447187.08,21668361.96,21889536.84,22110711.72,19460872.88,19655005.82,19972167.63,20167469.34,20362771.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),17876177.78,27249683.31,23919886.30,27961203.26,37369757.78,9196483.50,8295319.20,7001363.78,12737673.01,0,78501913.02,0,78169695.02,0,81701468.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,17876177.78,0,0,0,0,9196483.50,8295319.20,7001363.78,12737673.01,12046080.75,78501913.02,78169695.02,78169695.02,82534594.71,81307762.39,80874938.72,79403655.02,61452090.05,60094357.34,58666545.33,57013898.46,10244104.09,10231354.09,10188964.09,10188964.09,38791384.28,38242894.28,38125793.28,34908625.06,18664560.79,20799397.88,19064597.88,17949172.88,16965537.09,5410500.00,4982000.00,4732000.00,4721000.00,4313000.00,3105000.00,2510000.00,0,0,0,0,0,0,0,3042163.40,207253184.84,176549809.84,173345941.26,180484868.70,176573044.83,167357573.90,158499626.20,148231028.79,100162497.04,98804329.07,76414748.05,73819693.63,83662430.72,79386414.08,70374712.03,69628249.73,0,36777529.43,34561717.70,28863685.89,23397093.68,689750.61,0,641869.74,460877.00,380877.00,380877.00,380877.00,380877.00,380877.00,380877.00,3915456.66,80258720.62,166501281.41,175368609.28,123523445.00,90049483.98,71510903.21,53033524.94,200000.00,1864363.41,0,0,0.0
31,工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,393706.60,393706.60,393706.60,393706.60,393706.60,393706.60,393706.60,393706.60,606206.60,606206.60,606206.60,606206.60,606206.60,606206.60,606206.60,606206.60,606206.60,606206.60,606206.60,606206.60,606206.60,606206.60,606206.60,606206.60,606206.60,606206.60,606206.60,606206.60,606206.60,606206.60,606206.60,606206.60,606206.60,606206.60,606206.60,606206.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),1210450340.22,1241030763.35,1255394465.99,1275635891.13,1271803080.56,1284346034.52,1307005344.62,1322740822.95,1333410146.38,0,213188579.04,0,220409931.29,0,391923929.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,1210450340.22,0,1255393420.02,0,1271803080.56,1284346034.52,1307005344.62,1322740822.95,1333410146.38,1249470889.94,213188579.04,216785574.09,220409931.29,385081224.85,391923929.89,402383930.14,409326778.05,416859809.63,425779641.92,433744538.98,436892954.81,430158526.42,438434579.09,444932649.07,452747443.22,317234405.53,322743377.86,328425060.73,334321547.26,335782442.25,333624430.69,333377815.42,325412316.44,317376197.87,324721291.38,328972974.35,334512524.54,254779679.00,257636505.01,257945435.60,264815483.49,267071507.12,271345964.75,276648733.39,280665887.45,285360381.78,287659001.12,289939621.34,281825967.73,22372497.38,21636982.49,16279777.92,15461598.48,14354835.44,13230625.79,13499714.77,13004875.30,14229037.49,14433508.13,14423006.54,14094797.12,19167958.44,19052085.27,19737431.20,20506694.37,0,60647152.33,60526434.62,61475373.42,63891792.57,60458125.88,0,61140844.34,60249366.07,57664596.05,90144202.67,94284660.77,100171064.87,112116265.15,114513089.23,117183499.92,214451456.09,123285662.54,89447695.61,77956372.34,78035934.93,74073710.68,40153579.27,37528894.57,4280041.97,4016257.67,3864504.68,0.0
34,固定资产清理,0,0,1045.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45277.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11107.52,0,0,0,0,0,0,0,0,0,-5000.00,0,0,0,0,0,0,0,0,0,0,2697.83,-10222.17,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,368170434.38,373516890.08,374298421.29,378055999.37,383382527.68,387044956.90,390606624.41,395078962.69,398844032.07,385249713.38,3619565.30,3648879.08,3692130.10,28330987.98,28608452.96,28858951.41,29519153.74,29801945.66,30076762.69,30377003.34,30660800.67,30917181.51,31227779.35,31321912.19,31185913.86,30916300.94,31196752.06,31339462.61,31636550.86,31881742.79,32144089.10,32270627.23,32558549.97,32691263.15,32963075.42,33233517.08,33492984.34,31976747.26,32145535.26,32385179.61,32617178.56,32242215.45,32464487.04,32696476.96,32926433.55,31649987.50,31868035.71,32090173.94,32272852.44,31994039.66,32196005.68,31003524.23,528869.70,534953.36,540370.42,543147.98,535874.14,32659954.14,32676144.37,32687934.60,32705806.83,6263037.49,6481110.91,6720323.14,6945697.43,0,605467.66,626778.50,648089.34,3444400.19,3540711.03,0,3733332.71,775954.38,818576.07,861197.75,903819.44,327240.76,363600.85,363600.85,0,0,0,0,0,0,0,0,0,0,0,0,0.0
40,开发支出,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
