,报表日期,20190930,20190630,20190331,20181231,20180630,20171231,20170630,20161231,20160930,20151231,20141231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,
80,负债合计,268650695.85,322442795.28,269131873.52,263094832.32,255652552.71,264627873.21,273161486.01,207473141.73,196102734.25,169041215.17,145643715.74,0.0
81,所有者权益,,,,,,,,,,,,
82,实收资本(或股本),88906700.00,88906700.00,66680000.00,66680000.00,66680000.00,66680000.00,66680000.00,60000000.00,60000000.00,56000000.00,56000000.00,0.0
83,资本公积,505751653.91,505751653.91,151447702.31,151447702.31,151447702.31,151447702.31,151447702.31,99677702.31,99677702.31,71677702.31,71677702.31,0.0
84,减：库存股,0,0,0,0,0,0,0,0,0,0,0,0.0
85,其他综合收益,0,0,0,0,0,0,0,0,0,0,0,0.0
86,专项储备,0,0,0,0,0,0,0,0,0,0,0,0.0
87,盈余公积,22296333.91,22296333.91,22296333.91,22296333.91,15237652.07,15237652.07,8853484.48,8853484.48,8853484.48,8853484.48,8853484.48,0.0
88,一般风险准备,0,0,0,0,0,0,0,0,0,0,0,0.0
89,未分配利润,177319110.82,166632744.02,136001318.30,116937279.51,92993572.80,47707584.85,33505966.21,-8018760.02,-19942585.24,-51569491.68,-67021351.18,0.0
90,归属于母公司股东权益合计,794273798.64,783587431.84,376425354.52,357361315.73,326358927.18,281072939.23,260487153.00,160512426.77,148588601.55,84961695.11,69509835.61,0.0
91,少数股东权益,116774.33,147578.99,186168.62,31102.29,112573.21,193754.72,23390.72,39307.65,-6054.73,-5806.30,0,0.0
92,所有者权益(或股东权益)合计,794390572.97,783735010.83,376611523.14,357392418.02,326471500.39,281266693.95,260510543.72,160551734.42,148582546.82,84955888.81,69509835.61,0.0
93,负债和所有者权益(或股东权益)总计,1063041268.82,1106177806.11,645743396.66,620487250.34,582124053.10,545894567.16,533672029.73,368024876.15,344685281.07,253997103.98,215153551.35,0.0
