,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21748.92,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,1449105.54,1756335.43,1981707.15,2075940.97,2550688.96,119681.74,119681.74,211102.58,492692.24,311540.64,311540.64,311540.64,470169.00,662043.69,103006.41,103006.41,130236.99,642992.74,509593.93,89611.06,89611.06,132531.22,0,0.00,132531.22,2386751.00,2386751.00,2386751.00,2519282.22,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136359.68,136359.68,0,277717.98,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,流动资产合计,710564009.60,712207922.09,678656629.07,679690826.00,673960644.92,717463570.23,703061443.06,734973830.92,857737138.52,833990521.32,934149941.12,952873340.06,755499863.11,772480455.21,770451849.46,674065234.93,508810383.46,548717216.97,574803972.80,450713184.79,477350730.25,480442949.29,472614365.99,436358738.95,503247848.58,498619771.65,490817480.85,521481455.56,587357584.60,531754118.26,520025708.81,480180123.72,388273419.91,411806038.73,418333408.73,431166532.95,637353641.18,420479925.30,434712717.27,441847519.25,516132065.28,309842844.74,310841674.52,292219140.19,350529721.44,402293472.48,429376924.93,411373156.64,372835640.79,492630666.98,583410556.69,537675286.55,407642542.13,291336112.16,299646853.04,409550485.57,399855584.85,390040869.88,385037900.37,376574134.37,377477868.63,371098366.35,359060134.51,358774493.89,350076339.70,364876436.87,353626937.71,302005313.15,305596034.57,303031645.65,308064311.56,297933040.07,287456904.77,312685918.42,298964973.23,335489229.50,240220766.98,279639689.62,263052043.57,240919176.16,224728295.69,219499517.62,197558688.20,218254879.33,175554905.97,187869983.29,167475717.24,182428872.63,147197592.44,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0,121646015.97,121859840.80,124244489.76,124926822.82,127977193.32,99272415.32,98458119.61,67810135.87,67975449.44,67365910.84,66976760.68,67839742.14,67916667.50,64834271.17,66242721.17,45540642.31,45159800.86,41550000.00,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30163441.15,30163441.15,30163441.15,30163441.15,30142306.18,30142306.18,30142306.18,30142306.18,30107290.20,30107290.20,30107290.20,30107290.20,17142.64,17142.64,34285.30,34285.30,34285.30,34285.30,205576.63,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,432251909.37,424223792.92,429662486.76,429881607.20,399351160.01,396758531.51,392810665.28,338502979.94,303002877.18,292043987.08,286360197.86,228424348.54,163909172.97,196518391.46,191447007.12,186456444.75,182713762.96,162273521.88,158571989.47,156129821.41,152216853.89,146490847.05,183306143.68,195770033.05,190791788.34,185738096.18,180618716.19,187440129.27,182995803.45,179966190.22,156292309.17,164040887.64,159485314.58,158013093.22,165580239.38,161544131.19,154451697.33,129775755.19,123553020.74,123371636.34,117045670.70,80039188.45,78595082.26,73157917.59,70749664.61,61181236.95,61174147.22,69441247.17,66327822.81,67739965.73,64940082.55,62915551.19,61109726.48,139216997.63,112043106.06,57949905.71,56264964.91,54541426.44,53441369.35,54067154.91,53926496.71,21160201.96,21190777.02,21581787.84,21417778.56,21289024.91,21335676.17,22217338.30,22129539.74,22976956.57,23136051.62,23996426.39,23202142.81,33162398.65,31158224.93,11859304.40,1191252.26,1240663.45,1133361.76,3891713.84,33898031.30,34143273.26,33801833.32,34008738.79,33322438.79,5666800.63,4081601.63,3925656.63,5517838.30,0.0
28,投资性房地产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
