,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19961231,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,229178374.30,214074674.12,494300026.75,507552770.34,521332456.56,354682867.10,1068646621.63,1134200258.50,1290807630.75,1293442678.42,1335764870.69,1653473782.69,1092700676.51,1540545910.42,8834316.64,20448354.07,726073.45,738052.84,11055172.77,8031702.89,1396142.71,10085222.73,671966.51,1594610.39,0,0,0,0,0,0.00,793384.14,133280.14,665368.71,369256.94,80766.40,212310.52,0,0,180790.25,180790.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,流动资产合计,9051098417.63,9060244618.78,9065172957.22,8036848654.85,8459030741.51,8213464800.37,8216732671.32,8116909130.02,8059482173.75,7976977687.68,8035969029.43,7054940907.11,6411602915.97,6812770716.20,4603231866.52,4307204128.55,3657729141.89,3773839619.55,3404049902.57,3112401088.27,3170783062.46,3270311325.90,2663513429.66,2557498376.39,2500154942.11,2761444941.91,2431135701.23,2433961202.14,2171883643.37,2122179261.10,2109926052.22,2000045941.03,1909308880.06,1840799702.90,1826649362.13,1467210312.54,1209184499.37,1329283756.74,1235022681.44,1046529507.76,886402534.84,765779575.57,695721375.39,582741093.27,625339870.80,377186506.93,320788574.34,312300983.87,348600783.35,345943244.66,240611258.62,261904040.93,130026372.24,97663124.50,173594404.31,238355068.17,418774794.86,411872049.00,487725287.48,665498805.87,1441914332.81,1585295342.04,1572044042.30,1170151905.83,1464919094.20,1340722512.41,1434005710.28,1366689560.66,1282318888.75,1284752012.19,1336020424.57,1235731654.70,1479748584.43,874210677.23,980189811.65,902536509.93,773498261.49,730010356.76,336344994.47,231890711.45,189488592.43,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,200098230.36,199759849.19,287223570.24,283036914.31,267231103.31,267841919.03,175771434.63,150315236.89,112876247.75,111203507.00,111983905.02,111242640.96,70303196.99,70188543.06,69372915.72,61690846.89,61562476.24,61975895.74,49243524.57,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000.00,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,274682352.45,275542044.72,274392524.51,268730449.81,236460642.87,223714233.51,209363823.67,210236049.12,148692172.65,85617947.35,79153523.63,68933027.65,62981273.99,62658864.39,56999982.50,56999982.50,50000000.00,0,0,0,0,33243524.57,33243524.57,9243524.57,9243524.57,0,0,0,0,0.00,0,0,29006724.91,26156632.89,23876857.77,20872873.56,19840046.65,18078514.84,16717489.91,14202048.68,14941380.25,12306321.43,10990707.42,10741184.57,11187081.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4330228.22,4883207.62,4949996.08,4951146.00,5083573.00,5084722.92,5151511.38,5218299.84,5285088.30,0,0,0,0,0,49983776.85,26400000.00,2500000.00,0,0,0,0,0,0.0
28,投资性房地产,3355033.98,11971043.07,16569814.73,17646851.29,1124759.40,1074271.52,1107279.18,1116509.13,1034080.35,1024338.72,974440.93,965809.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,4992691.50,2575985.20,2646049.18,2716113.15,8606079.25,16753348.60,14167876.96,16782764.51,28598595.93,35892077.98,41475557.42,42220385.18,25720564.33,26168740.15,26616915.97,28331121.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
