,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20011231,20001231,19991231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
27,长期股权投资,1496110163.89,1287197891.09,1321967695.48,1295908113.60,336893050.42,349556518.58,335401474.12,336134745.09,337719165.22,361032843.03,357885403.83,330442698.43,334587793.70,516917399.26,312642456.05,227519924.91,186983970.81,121898248.88,104224898.36,102264735.51,147968867.59,132615439.24,137237306.74,107620859.77,88418949.47,87468877.05,82291893.83,76700595.84,51141599.53,28726446.58,37781762.39,59658168.49,33787252.80,27467296.31,25726557.84,25508774.85,25488144.38,30221677.62,22879361.41,20184248.00,17604031.32,15771440.46,14719711.08,14733471.39,14795629.65,14406175.16,14208986.94,13990201.11,14011836.76,11977182.74,11785395.05,9536872.50,9588431.93,9873053.84,9873053.84,9873053.84,9873053.84,5873053.84,2950069.84,2950069.84,2950069.84,2950069.84,2950069.84,22950069.84,17950069.84,31283147.85,30915259.16,16054237.45,15996264.01,16612624.66,16364298.84,16591827.46,17405728.63,17816201.83,0.0
28,投资性房地产,133292056.79,138825901.77,110659769.75,70737018.09,75752618.23,117663988.17,116085246.29,106366800.74,104614079.09,11239770.75,10913341.32,12585369.14,6611545.13,3022716.11,3074984.44,2319024.67,3169793.08,5633681.83,6473735.05,5993583.94,154770447.72,5455072.68,6029389.63,5725803.07,6181862.07,5942301.34,6245516.75,6017769.81,6395170.90,6489449.27,6527169.69,5913871.61,6656716.76,60396.00,61560.21,62724.42,63888.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),419968032.83,1161141767.03,1188044168.24,1127489482.40,1122307221.14,1221544107.81,1215500549.34,978391919.69,946923580.29,0,0,914244805.93,775853278.94,0,0,679082674.60,571303438.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,419968032.83,0,1188044168.24,0,1122307221.14,1221544107.81,1215500549.34,978391919.69,946923580.29,853977377.43,843742303.16,914244805.93,775853278.94,794797236.70,722374781.37,679082674.60,571303438.32,479855072.17,427132380.13,459896499.42,347181881.78,367842573.27,435427877.02,339243733.65,275610666.63,258509710.35,197795853.15,82328724.29,72626809.18,134725598.44,139072486.52,102367482.20,104117875.11,150472105.47,128366123.64,114190551.49,87364744.71,21042099.43,23717083.42,18407042.87,14740590.69,21112653.64,17791658.00,17306382.62,14910749.25,26370663.27,22262668.08,23486785.42,17096678.59,16441013.73,10860959.45,17048204.24,14599656.80,69694401.04,65191171.50,59641032.65,54235671.14,59832313.33,54180042.38,46936968.62,31595322.36,83207082.41,110436274.27,59273241.41,65146555.14,55649455.35,47267581.28,27207964.72,11131484.89,56144655.27,53637419.54,48611126.24,16722371.76,506616.42,0.0
31,工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),2378230520.82,2335680544.13,2343218711.20,2369646729.39,2428474981.48,2253056209.49,2283842652.53,2288878693.75,2268147734.80,0,0,1825545775.78,1836981895.77,0,0,1419430739.77,1440470439.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,2378230520.82,0,2343218711.20,0,2428474981.48,2253056209.49,2283842652.53,2288878693.75,2268147734.80,1929743342.90,1891667506.54,1825545775.78,1836981895.77,1468407332.42,1452200399.39,1419430739.77,1440470439.93,1374224611.65,1261728764.55,1131361798.06,843015553.15,803147052.09,540135796.70,531990707.10,519087404.80,415358995.88,412006440.64,404403288.46,378079817.28,320231658.45,292643420.64,283487429.61,244723204.36,219318600.72,211694861.78,208392107.74,205179216.50,203094320.76,187212470.38,223801892.22,222190466.51,214345900.56,215238948.61,220539483.26,219871599.04,208405564.80,210696496.40,212867700.26,212392382.45,212675893.63,214646049.75,210728077.80,241244006.76,199395686.67,201007282.91,203269367.44,205359013.42,208848674.42,207203163.60,210237172.23,211046473.39,148667875.21,111333369.33,112549148.36,107725629.49,99577755.66,100680345.36,99357184.01,100462402.18,43665991.52,44331531.82,45125365.59,43756742.96,38632793.68,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7299.35,0,0,0,294656.21,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
