,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
24,可供出售金融资产,0,0,0,181662401.25,183800000.00,165000000.00,165000000.00,145000000.00,77500000.00,107900000.00,107900000.00,170000000.00,170000000.00,170000000.00,170000000.00,170000000.00,152850559.32,152850559.32,150000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152453882.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,239716694.59,239717418.84,240145999.11,239734256.05,177255393.45,177560939.99,178300534.16,178300534.16,92500000.00,92500000.00,92500000.00,92500000.00,58750000.00,58750000.00,25000000.00,25000000.00,25000000.00,25000000.00,25000000.00,25000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173950000.00,173950000.00,173950000.00,173950000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521250.21,0,510000.00,510000.00,0,0,0,0,0,0,0,897486.06,0.0
28,投资性房地产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),12213620.94,87252086.27,75460386.44,54476549.49,35644481.15,26913915.23,10011124.27,5439542.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,0,87252086.27,0,54476549.49,35644481.15,26913915.23,10011124.27,5439542.02,10864615.95,0,67487173.05,53414075.21,39663533.46,21021998.18,26505996.30,15077757.94,176339878.05,167487002.63,167096356.50,251816916.32,353760602.94,4340456414.26,4161149952.92,3887187867.90,4988423142.20,4557315865.31,4205131339.99,3815566081.60,3511652396.46,3021949521.10,2753599885.31,2559562943.11,2038964037.42,3856322579.42,2786899169.52,2445644010.90,1077623645.43,826532417.39,606338899.42,362930208.52,349063541.80,299648921.22,28336110.10,17776461.04,15856976.70,18721333.96,16424876.73,15794664.38,50113743.32,38942945.51,26144390.00,142390.00,623770739.50,567387205.68,621585615.83,524829684.83,436231412.70,264349432.70,119349432.70,68319106.60,10102441.10,10102441.10,6796204.80,6357168.60,14516653.06,0,0.0
31,工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807459.80,807459.80,999607.20,999607.20,1002387.20,277197.20,277197.20,568907.20,673787.20,752015.03,667015.03,791815.03,464579.13,765709.13,702979.13,802329.13,544988.73,295390.20,247140.20,472190.20,731948.72,374948.00,235995.20,592873.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),553051836.34,547027063.18,572126389.24,574651781.12,586971969.28,599596011.83,610649216.55,625064813.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,0,547027063.18,0,574651781.12,586971969.28,599596011.83,610649216.55,625064813.07,601358133.46,617270905.53,599711473.67,518467293.44,582672941.15,595653544.21,608599790.04,622168426.19,622299693.59,633382794.13,646293477.24,518720795.11,519103014.44,529710027.67,454796946.85,463692064.35,469781863.24,485750665.62,498010197.28,517700504.91,280443387.45,289565208.52,295881544.47,303721064.91,229013731.11,2359979907.53,2399513769.90,241772143.60,2482039637.82,2520310456.12,2559286463.30,2601646219.25,2614248427.71,2650104820.16,2687464464.42,2721445433.33,2730581997.90,2760190087.67,2793741144.14,2823877592.18,2841405151.18,2872760166.85,2902260359.35,2933223701.48,2362797713.08,2377384916.54,2392757989.87,2413556448.15,1920329319.01,1934567354.47,1949599044.22,1965031178.62,1160065518.42,1168991063.47,1175964622.49,1184826664.76,1180884078.56,1205896283.19,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28707.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,7012844151.44,6995498269.20,7035223831.49,7108752446.65,7165369084.92,7221200648.27,7278407412.02,7338529235.51,7388682497.62,7461625740.60,7388777979.95,7421378649.62,7441364558.97,7488165959.38,7540647934.72,7586916402.19,7376562683.19,7420308637.91,7462530557.36,7479630650.76,7145853895.26,7184192411.35,7210776012.69,7252615323.88,5186077693.82,5216437783.42,5245872956.13,5270810446.89,5302971519.36,5329229525.64,5355967438.20,5407785016.54,5458519888.07,5597705.26,5628711.49,2208261061.07,5690723.95,5721730.18,5752736.41,5783742.64,5814748.87,5845755.10,5876761.33,5907767.56,5938773.79,5969780.02,6030681.38,102592.49,103703.60,104814.71,105925.82,107036.93,108148.04,109259.15,110370.38,111481.49,112592.60,113703.71,114814.82,115925.93,117037.04,118148.15,119259.26,0,0,0,0.0
40,开发支出,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
41,商誉,641497782.28,641497782.28,641497782.28,641497782.28,885006081.05,885006081.05,885006081.05,885006081.05,885006081.05,885006081.05,885006081.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
42,长期待摊费用,21510843.84,21782068.38,22047867.35,22324517.46,22368750.97,22799924.91,23024148.82,23363306.06,24318263.78,24647187.69,24976111.59,23911011.92,24144396.32,24377780.72,24611165.12,24844549.43,22381453.20,22586202.84,22790952.48,22995702.12,23335960.72,23540710.36,8133900.00,8226240.00,8765468.85,8765468.85,8765468.85,8765468.85,7780572.72,7780572.72,5814072.72,5809072.72,0,0,0,0,1089.04,2722.36,4355.68,5989.00,10246.55,19752.56,29258.57,38764.58,48270.59,57776.60,67282.61,76788.62,65605.75,73478.44,81351.13,89223.82,97096.51,107593.43,112841.89,120714.58,138412.93,161024.11,183635.28,206246.70,1194255.95,83994.44,98957.23,113542.78,172782.58,231736.54,0.0
43,递延所得税资产,33694913.12,35353105.75,36851695.13,37283890.75,35304453.88,35046477.60,36509916.47,34172676.17,47684758.98,47468830.11,47107657.74,45765454.67,68939902.42,68700039.54,68552406.89,68386517.12,116419527.66,116419527.66,118095463.09,7383903.70,5749445.70,5470575.79,7220741.95,7220741.95,6250631.87,6250631.87,6500345.62,6500345.62,4845414.55,4845414.55,4533640.30,4533640.30,4563460.99,5045548.81,5208438.69,5208438.69,2628546.21,2628546.21,2661924.05,2661924.05,2567566.36,2567566.36,2567566.36,2567566.36,3634777.69,3634777.69,3634777.69,3634777.69,2185225.02,2185225.02,2185225.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
44,其他非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122826715.00,122826715.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
45,非流动资产合计,8698976281.53,8760799992.27,8825962284.92,8860383625.05,9091720214.70,9133123998.88,9186908433.34,9234876188.04,9127914350.84,9236418744.98,9213466477.05,8325436484.86,8385535332.32,8426669322.03,8463946000.07,8512393652.87,8491853795.01,8538034724.49,8591806806.67,8458001850.30,8048610378.86,12084177599.23,11965903876.61,11742768560.28,10660301187.18,10274797612.27,9964557505.07,9619911755.07,9108367077.74,8654122257.56,8416463596.03,8282203552.61,7731525696.72,6227711450.15,5197953068.73,4901687983.39,3742478631.18,3529441262.46,3348241519.06,3147450273.66,2972436480.01,2958561763.40,2724510155.98,2748328866.47,2756060796.67,2788573755.94,2819898762.55,2843486415.36,2893873428.87,2914066630.53,2930777251.32,2933562352.23,2986773697.13,2944988974.80,3015088068.18,2938618329.05,2357321737.24,2199701514.99,2069246927.02,2033672457.85,1171479252.51,1179295647.16,1182979043.78,1191297376.14,1195573514.20,1207025505.79,0.0
46,资产总计,10469018516.43,10209125975.10,10632615668.32,10897400250.46,10766541987.10,10745480724.74,10757608565.15,10634816801.18,10608130269.27,10746864462.71,10854029469.17,8886806828.78,9147809631.65,8810122536.02,8854666477.90,8903405386.06,9005871147.43,9278696080.52,9128279524.50,9013032906.22,9093431444.32,13906616355.23,13077145430.32,13100885876.31,12255898629.11,12119001118.98,11814480073.82,11808728373.53,11672986512.29,11527884361.12,10952155698.18,9534882183.47,8943710287.81,7778205015.69,6468109333.24,6011891046.84,4561564626.00,4322699734.25,4211607198.21,3741185604.58,3476660805.88,3364829076.54,3132184138.34,2978543171.99,2905142405.87,2971773578.33,2999969420.14,2941560860.02,3102832577.12,3194271532.75,3150558810.91,3091298653.28,3251669495.19,3221317560.27,3250642701.44,3122103223.86,2515830873.12,2446808248.38,2352903609.34,2297183544.54,2284612391.72,2275555460.77,2262741604.86,1419171939.36,1388481762.60,1293525097.73,0.0
47,流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,短期借款,470000000.00,470000000.00,729887390.38,1010366768.79,1039425905.68,997707979.04,744000000.00,504000000.00,524000000.00,395000000.00,45000000.00,0,0,200000000.00,200000000.00,200000000.00,200000000.00,200000000.00,200000000.00,0,0,720000000.00,1020000000.00,500000000.00,400000000.00,400000000.00,53000000.00,0,180000000.00,430000000.00,600000000.00,541000000.00,841000000.00,1041000000.00,621000000.00,600000000.00,450000000.00,500000000.00,800000000.00,900000000.00,800000000.00,650000000.00,500000000.00,390000000.00,330000000.00,280000000.00,280000000.00,310000000.00,470000000.00,490000000.00,490000000.00,490000000.00,540000000.00,540000000.00,470000000.00,390000000.00,30000000.00,30000000.00,30000000.00,30000000.00,30000000.00,89310000.00,89310000.00,89310000.00,80000000.00,0,0.0
49,交易性金融负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
50,应付票据及应付账款,318778909.67,180191856.48,150211932.60,346131104.62,220889847.74,269107549.27,350310713.03,450487902.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
51,应付票据,0,0,0,0,0,13233426.44,84953135.69,62609317.22,74076493.47,48456625.27,96413252.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
52,应付账款,318778909.67,180191856.48,0,346131104.62,0,255874122.83,265357577.34,387878585.57,283643454.14,404275250.92,389324545.16,150584747.98,188071349.44,196104422.76,206921283.62,322666442.35,279261819.03,308420367.11,351555679.70,475588047.62,523221155.70,562034773.27,608878262.25,837274411.43,311139862.24,351612066.86,425661747.42,513115620.40,497391306.66,537166102.13,607620059.17,847845234.85,928724161.26,102256020.58,24385196.34,372398197.35,180428469.25,157509749.74,34921864.62,13245178.30,11551490.57,9772358.16,11494197.65,11127721.41,28245958.02,73457440.97,78111471.07,83502348.66,78750457.60,128356446.86,130016978.45,145629916.75,196505753.20,199395783.23,363616284.63,387621064.00,34531097.70,13633827.20,15362100.92,36933575.60,10210140.65,13820445.45,6125331.74,6900586.04,902252.07,0,0.0
53,预收款项,51077282.29,43720226.02,64696429.46,86461427.91,66498031.47,44381508.60,54910678.68,17870119.94,105113738.73,103915508.57,67533133.58,2895002.46,3801264.24,2133962.83,2133545.57,3531781.86,2688340.58,1616384.04,3043036.07,4864381.38,165098472.69,173180711.07,186443705.99,189397265.72,167577394.36,171059833.95,174717687.89,173044358.66,147468707.29,155010357.71,155427165.41,157850012.14,126320624.45,122316604.86,115124075.84,117655108.98,11564963.65,12008616.82,72702592.36,4640393.99,12699606.94,9321306.94,7393642.94,6439642.94,4233890.00,400000.00,200000.00,200000.00,2126300.00,2126300.00,2126390.00,2126300.00,38958.00,0,0,0,0,0,100800.00,0,0,0,0,0,0,0,0.0
54,应付手续费及佣金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
