,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19961231,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,21107434.52,20734382.25,22203503.61,15388874.65,1487849.01,1223283.79,776960.18,611192.58,0,20430591.05,59271260.77,66692485.33,130000000.00,103000000.00,8000000.00,95043619.67,0,184576.00,0,391662.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31373.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,流动资产合计,799961830.46,799006653.94,1264451362.22,1234975529.65,1467517416.66,1433170396.79,1333485195.75,1539368306.03,958412260.14,1513985155.38,1548093839.14,1535187050.25,1321563176.43,1363308619.95,1414239843.33,1207447820.62,1406022084.08,1241852939.99,1240532734.01,1127230025.26,1503062236.55,1631663175.40,1678803933.04,1543391273.92,1715408782.27,1625970465.32,1683509928.30,1706923925.25,1671939775.97,1562056340.24,1147544632.90,1206224358.86,1105185966.98,885421639.56,1035825365.22,1035521508.36,1046206769.09,950219014.10,946627561.08,887004663.68,894912067.27,770723049.57,763975677.77,769849040.10,781546095.39,722033901.80,733735074.41,668245601.87,670897463.44,623354263.76,661339859.48,588218520.43,601086232.02,612927451.38,592404317.39,623165301.20,612269554.49,569965821.06,598417769.73,604896516.42,594323048.76,615854213.94,679294048.43,658275017.71,566100754.75,560860611.63,492309663.82,447973371.61,506158913.51,460092876.59,588182887.60,552126175.54,646699160.99,423670348.63,370962961.54,374375351.29,376949297.72,325956304.86,373940521.84,205735558.97,184819691.42,154921352.45,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409163089.91,409163089.91,407334509.91,407334509.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207297.00,204658.78,0,200399.38,200399.38,200399.38,200399.38,200399.38,215026.95,215026.95,215026.95,215026.95,215026.95,215026.95,210394.95,205762.95,205762.95,205762.95,205762.95,204000.00,0,0,0,89500.00,89500.00,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,59277.84,146145.68,96279034.68,106385153.56,8609712.96,14180819.95,5350126.63,5350126.63,4064636.25,4508336.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,568172232.41,574442794.85,576954912.02,569073011.93,548850301.31,551429420.04,549444553.89,543613897.14,499640198.29,492627166.52,498945661.03,490564243.75,471710131.38,464683053.22,472467282.38,461684688.76,0,0,0,0,176454509.91,0,0,84700177.00,84700177.00,84700177.00,84700177.00,84700177.00,84700177.00,84700177.00,84700177.00,84700177.00,88865612.22,88865612.22,88865612.22,88865612.22,88832132.32,88793573.67,88793573.67,88793573.67,88294703.67,88294703.67,88294703.67,88294703.67,88094133.04,99690742.78,99690742.78,99690742.78,99317217.12,121746810.10,117046633.10,119548823.32,122416278.75,122417607.30,125582450.82,302741465.80,312062162.02,312063490.57,311116559.79,311117888.34,228292018.53,228908347.08,228981778.79,209189107.35,340904142.82,340058102.37,340147252.65,340186402.93,328209260.26,318287139.63,138838949.00,138442898.37,74710120.30,55416098.93,21053400.00,1453400.00,1453400.00,4976565.05,4937510.80,0,0,0,0.0
28,投资性房地产,458571.05,468270.44,477968.75,487669.22,411436.69,670061.03,680721.59,691382.15,702042.71,1117763.18,1161991.01,1206218.84,1188154.20,1214928.68,1231894.88,472194.45,476411.07,86745858.13,87411956.23,88078054.33,88744152.43,89410250.53,90076348.63,90742446.73,91408544.83,91890786.73,92409800.19,521388.35,535443.77,535443.77,535443.77,538254.31,542470.93,546687.55,550904.17,555120.79,559337.41,563554.03,567770.65,571987.27,159456.59,160561.97,161667.35,162772.73,163878.11,164983.49,156032.20,157063.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),216958617.28,186369169.31,188419642.23,139536725.98,53285241.02,39477500.44,23322337.45,17543131.32,0,37386904.85,29636184.95,13985719.69,0,22234825.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,0,90387557.10,0,75945004.26,53285241.02,39420256.57,23277924.06,17518943.30,49795574.46,37213618.54,29458796.07,13808330.81,28346253.11,21809765.97,15549329.00,13333137.03,33091508.21,24759292.10,22482688.31,19730784.74,29930386.62,24618774.78,19888305.38,21472133.70,34295326.89,101680250.02,86785013.56,75892744.71,79558783.46,184003979.04,153265967.11,118949742.05,183415921.16,138631848.83,114645962.59,106484474.52,40642718.92,29222064.98,12463197.93,20047167.77,33891656.22,23842468.82,17210618.71,11694923.18,103456264.39,88327913.82,80107964.91,71693058.82,8661193.16,8946695.29,5641296.23,6243820.79,23187438.94,45923678.26,32075581.25,33588960.72,51817051.53,34661978.06,14232778.28,27848296.73,19291492.31,13538080.84,8795511.04,6987806.08,17330472.62,15006908.41,13721743.79,11806026.16,9783874.45,9213363.90,93970248.52,87236543.55,83157351.78,28971577.77,10124782.03,3807451.20,30595647.29,10494355.27,4373300.05,4730695.63,3654433.06,4840760.54,0.0
31,工程物资,0,95981612.21,0,63591721.72,0,57243.87,44413.39,24188.02,24188.02,173286.31,177388.88,177388.88,424589.29,425059.38,426671.69,429306.57,429306.57,431900.21,432454.43,285749.50,667601.42,670451.85,672029.28,672029.28,724753.78,714600.72,422976.79,422976.79,422976.79,422976.79,419566.18,2372330.72,137459.65,1284977.79,1008452.94,10051.28,769043.93,758992.65,800719.15,800949.15,759222.65,759222.65,759222.65,759222.65,790472.65,835742.65,841332.65,1403242.65,777132.65,777132.65,777132.65,779386.65,1221002.46,1126402.46,1126402.46,782882.46,1049440.04,769000.04,829120.04,829120.04,944890.54,966430.84,952970.04,864900.04,830303.20,827803.20,830604.23,849604.23,876540.23,895825.08,959879.72,971776.46,977831.14,712844.27,362226.32,298312.48,713381.03,715538.51,911119.35,0,0,0,0.0
32,固定资产及清理(合计),161008684.22,164452405.89,173955904.98,171560933.47,159721561.68,162542043.26,172934368.58,176490084.50,0,564730507.69,576896124.45,603121216.38,0,622774950.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
