,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,709551198.69,701067195.71,692034118.91,683419161.64,675035655.39,666659393.62,658629143.56,650354812.66,642226380.85,634185350.85,626306891.59,618278095.85,610026765.02,601068888.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,855283723.27,849685143.55,842359440.11,823198401.46,820545414.48,721691378.80,718736219.25,722102654.42,713722787.94,713812914.75,711863744.46,713555267.79,718900588.31,710895032.39,709770285.65,272498876.02,251289084.97,250669585.39,248305839.16,248657343.21,283354718.23,381145883.80,376445892.40,425812492.80,399884476.85,387282295.29,341842921.27,311584124.86,324505057.75,302523868.86,269997843.19,261232292.04,259663267.51,263416383.11,263355938.01,260801601.64,269941578.32,259153795.56,261851966.51,111638541.23,106128854.58,105031681.66,108712992.26,107601155.11,647765222.36,644347484.63,84813675.11,85140639.23,172788887.56,169511079.09,182698352.13,211123576.14,333654019.60,320646865.38,286371824.06,285873073.83,299178246.42,293283715.56,275690817.25,274809634.52,250681563.12,244443085.57,191033041.70,189111775.90,193883849.94,209765231.64,207748375.30,207275590.14,204106004.43,164225922.57,158106787.53,162544380.61,31294791.39,17593973.25,7645310.34,1000000.00,0,0,0.0
28,投资性房地产,152406565.39,154442560.60,156478555.81,158514551.02,160550546.23,167152065.87,169373777.85,171588505.80,173803233.75,176017961.70,178232689.65,180447417.60,182662145.55,184876873.50,187091601.45,189306329.40,107416737.70,108822570.82,110228403.94,111634237.06,113040070.18,114445903.30,115851736.42,117257569.54,118663402.66,120069235.78,121475068.90,122880902.02,124286735.14,125692568.26,127098401.38,128504234.50,129910067.62,131315900.74,130851036.12,132237064.98,133623093.84,135009122.70,136395151.56,137781180.42,139167209.28,140553238.14,141942476.21,143325255.88,134872170.38,136177376.24,137482582.10,138787787.96,24121826.00,24562775.86,25294621.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),21017200.19,3268277079.50,2995354736.93,2480099959.89,2343139776.60,1927652554.78,1615466960.12,1207784438.65,0,669701777.92,0,358914338.41,0,136360968.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,0,3268277079.50,0,2480099959.89,2343139776.60,1927652554.78,1615466960.12,1207784438.65,833480598.36,669701777.92,550902455.25,358914338.41,235360974.87,136360968.09,89595158.96,77516486.28,989797610.23,1091802405.84,5680908052.18,5048504112.20,3963336232.46,3459979110.89,3152630996.31,2841033741.72,2121840871.22,1480868447.49,663881456.42,308335126.61,4629273468.87,4011487846.05,3634755187.75,3405000102.73,4065972948.71,3743623992.12,3036015187.45,2432040381.62,1471298851.72,2313407053.57,1603310302.00,1324764185.78,1517394970.67,970211427.65,687283505.97,501034387.13,55843133.13,23088915.36,21261244.00,16641423.15,1060851792.35,621146263.19,411294275.87,397855381.17,226436000.51,159172527.57,165546788.25,155233910.32,97501715.68,39937133.33,34428634.80,52593456.89,32978621.38,37504091.25,27101411.96,18218042.00,7421174.60,426665980.60,276356212.60,4529814.14,53839316.00,53725016.00,48552206.00,40604577.00,24424573.21,317878286.29,0,0,0,0,0.0
31,工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11744309.96,20244309.96,38717611.26,45413368.96,54588992.24,42444000.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),25785828141.48,20391482595.17,20977433406.38,21161794568.75,21281865974.94,21572032199.70,21846196669.32,22039016080.25,0,22682596476.92,0,23215823524.66,0,23723628603.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,0,20391482595.17,0,21161794568.75,21281865974.94,21572032199.70,21846196669.32,22039016080.25,22463943964.46,22682596476.92,22978004073.41,23215823524.66,23489597410.82,23723628603.14,23895431239.54,24215988051.72,23109269856.92,22796173328.76,18065370635.12,18242688995.67,18486056456.32,18652900686.01,18892010572.78,18944218814.48,18985906991.91,19122214826.43,19205430690.72,19040072411.31,13332765026.01,13401029157.82,13470897260.45,13569558243.31,12191004120.02,11919498364.54,11942072538.47,11963571954.89,11889107550.95,10339875946.27,10407703218.51,10502012381.86,9458373804.92,9517109291.45,9589743065.94,9656165706.75,9694582548.53,9749617590.59,9820337977.24,9884848662.06,8788809016.74,8859741001.42,8914740872.38,9405985289.20,9385755340.25,9459058541.39,5630572950.68,5672983460.64,5580079938.23,5613278203.44,5494703892.86,5515431441.96,5480300786.96,5508241988.72,5528157013.24,5558240212.13,5495222565.86,3426289702.31,3440714555.99,3339526840.39,3419792503.69,3431700650.57,3442873152.05,3449325065.76,3457072258.38,2994166891.67,1551731394.91,1558557218.73,1573964756.53,1386198113.73,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
