,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20101231,20091231,20081231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
55,应付职工薪酬,27837741.23,25642662.44,21717145.55,83800022.87,16389357.24,14115237.19,11613307.07,48168815.27,9859264.79,9727213.24,9280047.82,30133428.42,9088661.81,8140715.32,22742874.01,7632196.86,7069130.44,4568195.35,16065599.95,3186010.21,3746678.96,2996408.92,8595011.73,1617894.65,1331426.37,1071185.06,2950733.78,1014439.27,693090.49,94073.00,1496612.70,3955.60,3106.00,0,0.0
56,应交税费,79489431.69,36498434.37,22659813.79,22274229.51,24352732.34,14067425.60,25163586.80,17895715.49,13163108.02,12714989.97,1805582.16,17276454.41,13077826.26,8036309.86,8791646.98,-7472749.97,9508056.61,-1326191.37,9914226.58,-293480.77,9818524.37,3249878.86,3432784.06,6772423.49,70750.80,677676.74,2699871.81,3123070.79,2745146.61,1376676.92,1420777.73,575332.32,419558.46,27725.68,0.0
57,其他应付款(合计),27970824.78,18295381.43,18020557.68,44698220.70,42818571.39,25781828.29,291444.18,732220.32,0,297698.15,0,664755.89,0,435978.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
58,应付利息,0,468750.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1151004.57,826004.58,501004.59,176004.60,1151004.61,826004.62,501004.63,176004.64,1151004.62,826004.60,501004.58,176004.56,0,0,0,0,0,0,0,0.0
59,应付股利,865860.00,1626300.00,542100.00,542100.00,0,903500.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
60,其他应付款,0,16200331.43,0,44156120.70,42818571.39,24878328.29,291444.18,732220.32,400715.58,297698.15,265263.06,664755.89,197415.43,435978.23,558204.02,69997.10,212248.17,120083.75,492660.26,579257.89,537589.80,632148.65,614562.31,1534901.00,1010285.00,1506885.00,1387800.00,172853.58,40187.37,3182.00,318617.87,250180.77,900580.64,200000.00,0.0
61,预提费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
62,一年内的递延收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
63,应付短期债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
64,一年内到期的非流动负债,24450744.00,24831936.00,24831936.00,24831936.00,32337788.00,32337788.00,33109248.00,33109248.00,0,0,0,0,0,0,0,0,19773717.38,19648149.95,19522582.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
65,其他流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233329.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,流动负债合计,1754591655.85,1430400806.09,1097092808.55,1383914684.29,1105869763.01,989949827.90,342926959.15,349211988.42,207716005.28,169146916.31,139688906.11,253246800.97,216507825.28,225774603.13,177389127.85,134699545.35,155399108.59,173332064.23,122726168.61,86384184.15,54511966.64,40354860.04,25763720.39,32941382.33,16844649.10,9321264.94,11112852.94,11639485.18,11005807.35,2897462.13,6614090.11,5818402.45,1751527.38,804515.68,0.0
67,非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,长期借款,248930265.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
69,应付债券,307540819.89,304051301.64,0,0,0,0,0,0,0,0,0,0,0,0,0,19899284.81,0,0,0,19397015.09,19271447.66,19145880.23,19020312.80,18905613.68,18790914.56,18676215.44,18561516.32,0,0,0,0,0,0,0,0.0
70,租赁负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
71,长期应付职工薪酬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
72,长期应付款(合计),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
73,长期应付款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
74,专项应付款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
75,预计非流动负债,0,0,0,0,0,0,2000000.00,2000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
