,报表日期,20191231,20190930,20190630,20181231,20180630,20171231,20170630,20161231,20160630,20151231,20141231,20131231,19700101
78,其他非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0.0
79,非流动负债合计,16280000.00,15840000.00,18130996.01,18602694.11,20360754.76,21540000.00,38863097.39,56446071.23,47530000.00,12290182.26,7991094.26,7673054.41,0.0
80,负债合计,1001540468.71,898512138.20,882443313.82,822742876.15,688562330.36,674653768.30,579127106.00,573989448.44,508080925.10,451506132.69,391551533.13,276881442.55,0.0
81,所有者权益,,,,,,,,,,,,,
82,实收资本(或股本),190151515.00,190151515.00,142613636.00,142613636.00,142613636.00,142613636.00,142613636.00,142613636.00,142613636.00,125500000.00,100000000.00,100000000.00,0.0
83,资本公积,751272577.85,751272577.85,155579153.70,155579153.70,155578400.05,155579153.70,155528846.20,155528846.20,155528846.20,2380161.75,2376693.75,2376693.75,0.0
84,减：库存股,0,0,0,0,0,0,0,0,0,0,0,0,0.0
85,其他综合收益,-7296102.49,-6991904.09,-7159343.06,-7336888.87,-5504539.05,-5521063.43,-3170997.64,-3170997.64,-3173347.22,-3635938.43,-462591.21,0,0.0
86,专项储备,0,0,0,0,0,0,0,0,0,0,0,0,0.0
87,盈余公积,115747083.58,83604944.27,83604944.27,83604944.27,57970530.37,57970530.37,38679055.04,38679055.04,25966223.91,26052183.22,16103530.05,10415031.24,0.0
88,一般风险准备,0,0,0,0,0,0,0,0,0,0,0,0,0.0
89,未分配利润,654255716.71,610372147.95,565577639.05,500311040.66,434652574.67,383853976.92,335610035.18,261722126.59,212193039.94,180333862.00,104674293.58,50525651.61,0.0
90,归属于母公司股东权益合计,1704130790.65,1628409280.98,940216029.96,874771885.76,785310602.04,734496233.56,669260574.78,595372666.19,533128398.83,330630268.54,222691926.17,163317376.60,0.0
91,少数股东权益,-3324879.86,-5945173.98,7470889.49,13292827.62,26777512.00,10825291.68,6958657.09,6208507.40,4271768.83,4166373.38,0,0,0.0
92,所有者权益(或股东权益)合计,1700805910.79,1622464107.00,947686919.45,888064713.38,812088114.04,745321525.24,676219231.87,601581173.59,537400167.66,334796641.92,222691926.17,163317376.60,0.0
93,负债和所有者权益(或股东权益)总计,2702346379.50,2520976245.20,1830130233.27,1710807589.53,1500650444.40,1419975293.54,1255346337.87,1175570622.03,1045481092.76,786302774.61,614243459.30,440198819.15,0.0
