,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030630,20021231,20011231,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,92588062.95,66330846.10,1543522400.88,1986432179.42,1658147789.91,1342505271.79,1516276874.34,2146662822.88,1375052489.93,1413675795.89,1330957828.06,1599326922.57,1000969239.59,821879889.03,1100179139.97,1248688722.54,816197674.35,666289686.54,716291970.84,918619376.49,551688151.23,440500702.37,522479577.91,687424484.47,200795285.47,149029582.08,2885414.57,148652842.56,0,0,6703.20,0,266995.60,0,189647.25,0,0,0,0,0,0,0,0,0,0,0,0,0,208269.29,58961.07,138500.56,0,0,0,0,0,0,0,0,0,0,5906.50,0,0,0,0,0,0,0.0
21,流动资产合计,4592658877.61,4399865036.41,4365231914.30,2936370702.08,2606937735.68,2378367505.54,2432621993.59,2989779819.04,2210850018.09,2149998619.50,2051476591.60,2361476442.13,1613666946.11,1436583164.68,1656668194.75,1934996771.21,1442222147.25,1291084282.69,1636640724.19,1861031857.79,1231693594.82,1177716941.07,1230261248.95,1427439835.31,983691562.96,831601424.55,881182734.69,1026027523.59,731664898.56,697095073.03,773434358.41,890793424.31,631770786.35,613588901.24,764491635.28,890091349.68,861687757.14,878647636.95,841606549.83,938792160.03,624998940.82,589033289.46,568933798.95,578174909.39,401338647.41,402904857.32,481184696.22,521299864.08,421451600.34,368387090.91,338625695.37,313862451.83,199206405.91,258751148.57,222509667.32,252943311.91,219451946.19,240207667.41,248064170.30,294546677.01,287830824.38,281387821.50,291438110.74,347916934.78,106862788.51,155904876.32,121237370.08,112440810.99,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,1263849445.30,1258015294.66,1318812390.18,1398978021.66,1146931534.19,1150753930.32,1142780390.18,1093259482.48,1045762754.97,1034316366.33,973319344.85,865265566.48,852801976.64,882146095.40,782170905.16,495304024.62,423863248.05,455227003.38,210615920.40,196579007.48,135856514.56,160456023.26,163392698.33,179800696.77,119400928.90,169685513.49,150256470.42,174795562.80,189108625.75,141100802.14,140166318.55,143733867.02,133929400.90,101536679.42,83139610.21,47227065.80,37524305.95,24063999.90,12818000.00,14626634.05,31088018.19,60074079.33,63777453.58,131029074.78,131029074.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000.00,2000000.00,0,0,5000000.00,5000000.00,5000000.00,5000000.00,10000000.00,10000000.00,10000000.00,10000000.00,20780000.00,15780000.00,15780000.00,15000000.00,5000000.00,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,945337527.01,1040897050.58,976740634.01,982315861.65,875475229.59,880832247.95,847531584.24,828139109.28,768697097.46,673690313.12,653057835.94,627816094.20,641259456.02,611966041.09,607645130.22,620206079.24,592578305.15,565272106.13,415749032.10,321866784.05,326426323.94,528232367.03,537448173.64,531684317.11,489460056.21,504683271.38,503837093.72,512347810.40,503458024.72,492919970.00,484546528.78,481135333.66,477637399.47,476360098.54,390640042.32,390011557.51,247088585.57,243132834.35,217556980.43,197406995.79,184469212.15,172860901.08,141741277.59,144020446.67,83189107.43,66982395.87,62328098.96,59486098.96,72674207.29,72815718.88,75687681.71,78364015.50,67337325.81,66556753.29,65994164.92,67267032.47,78532207.40,64804572.10,40381699.41,39317522.73,38764657.12,25328320.65,25854241.51,20616094.37,20423948.85,3351427.81,-538286.63,-628001.07,0.0
28,投资性房地产,28575823.29,28753966.52,28956622.24,29110252.98,14240114.26,14351926.92,14463739.58,14575552.24,14421108.30,14532920.96,14644733.62,14756546.28,36695494.69,36941076.05,37186657.41,37321878.71,16994627.38,17129848.68,17265069.98,17400291.28,17535512.58,17670733.88,17805955.18,18860588.30,18722010.45,34508320.84,35542764.60,35798339.34,35935556.33,36193858.62,36463847.80,36710465.21,36539195.44,36790689.85,37042184.26,37293678.67,41020373.18,41301484.15,41753093.12,44256794.24,42315315.06,42425928.03,42707039.00,47742504.85,91609936.04,25716907.26,26057903.27,26057903.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
