,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19961231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,592197137.96,653020486.13,351346960.80,398597556.69,434185999.35,263614940.41,206271306.96,991490869.54,349940495.93,345136245.23,551510011.46,1046218270.21,252107541.79,282327842.93,212373799.07,396023676.18,42513588.83,23710713.82,27170442.23,38056494.26,18063313.71,4714501.66,25433819.34,6521313.16,26502084.69,34449458.27,47761094.74,36959896.26,272369.99,572369.99,872369.99,0,0,0,0,0,800000.00,0,431743.76,150857.80,736711.90,863044.68,582072.62,531259.22,921545.35,794525.40,957946.12,438949.71,1667188.79,1951228.56,1822184.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,流动资产合计,8228281884.65,7648062178.95,6747984285.44,3231701652.43,2709454136.10,2427115296.94,2396313478.65,3002466270.15,3316128854.83,2499892494.65,3363846244.14,3386210394.68,3131448265.05,2298012299.31,2146253992.23,1781102331.97,1889166736.30,1445972919.96,1539513218.07,1508817211.02,1415521208.43,1427607888.27,1365652963.73,1289051030.52,1270596117.09,1469680720.00,1406921392.14,1335273797.03,1411869960.83,1602144442.10,1776943515.02,1255081048.82,1789457735.48,1826668792.75,2236718161.32,1851622978.36,2132185683.21,1982444685.66,1774716751.87,1586660809.64,1527897092.74,1345994531.72,1474084515.64,1451458677.18,1858706051.11,1595453201.49,1909872972.91,1711379740.86,2191637885.27,2186776837.11,1701816720.57,1501597952.01,1635984627.55,1464766862.30,1497813746.63,1436988651.33,1426228248.91,1386078926.64,1404546093.64,1270675141.23,1251587486.50,1064284989.88,897819725.55,586909906.98,671874433.66,432764313.97,406048428.69,388279640.94,432276951.91,393767562.48,414295846.72,340555289.39,423312841.51,378663201.67,365328520.71,361601575.91,154258922.20,121693406.03,130405763.33,97126518.36,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,6595370582.20,6423481449.86,7077413050.49,6826253208.78,6280193993.93,7325133304.58,6135963156.14,6099944701.08,4923481245.53,4631431750.28,2503129098.08,1807182578.05,1668076652.55,1412556147.68,1560072081.83,1673677578.00,1501375578.00,1032433078.00,229736000.00,231569000.00,273728000.00,280449000.00,246233000.00,354568000.00,321440000.00,316192000.00,390390000.00,398137704.40,354605563.60,451645960.80,560022853.00,633936800.40,622146845.60,597660016.40,581788923.40,980380087.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,16965313.82,16582852.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10112153.54,10112153.54,10112153.54,10112153.54,10112153.54,10112153.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,1738745948.07,1727232874.19,1693216567.27,1604867602.45,1628201302.44,1566202417.50,1717366993.81,1403772181.29,61294852.90,62952660.56,62750182.02,58955759.78,58478052.27,59146041.60,59177993.67,59523120.17,23752167.11,23803872.03,24003677.62,24189027.27,24281867.82,778288445.99,778491876.20,778670648.28,753817078.00,753817078.00,753817078.00,733895078.00,733895078.00,733895078.00,733895078.00,735103310.30,735103310.30,735103310.30,337103310.30,337103310.30,337103310.30,337103310.30,337103310.30,363804140.30,363804140.30,363804140.30,363804140.30,326480120.30,326480120.30,326480120.30,326480120.30,326480120.30,330194288.30,328986056.00,330999298.57,327285130.57,28910425.23,27196720.21,27201883.21,27207046.21,27212209.21,27217372.21,27222535.21,27227698.21,27232861.21,27238024.21,27243187.21,27248350.21,27253513.21,27258676.21,27263839.21,27269002.21,27274165.21,27279328.21,27284491.21,27289654.21,130255.04,186078.62,0,0,0,0,0,0,0.0
28,投资性房地产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
