,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19911231,19901231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,69930543.62,73136275.79,74289552.48,73844414.07,61971784.08,53657989.06,58972665.95,62359743.38,48103880.00,50502561.10,39293612.28,22436402.35,12942799.42,15730595.62,10138212.31,24380958.26,10743124.95,8959818.27,9105841.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,流动资产合计,3169776073.08,3174838010.89,3474771101.57,3705590758.16,3902984250.73,4782109144.31,5174708068.18,4766865795.70,5726776713.24,4092677545.48,2805321590.70,2613610039.51,3052967379.45,3221945034.45,1999419487.30,1749783406.34,1233606015.27,1273863298.98,784154563.33,118880298.96,139445426.10,124497217.93,124185135.18,127198128.95,139266643.11,89100553.04,117671922.97,113251146.57,102097445.17,87328458.20,84929014.51,88651600.79,103084367.08,73334417.41,70902715.70,78150459.58,104891947.34,92461773.32,129648296.38,129526805.69,122237881.69,99295671.01,86932310.24,89903300.95,125115833.77,113992129.00,110541833.86,112937320.77,146886159.66,130018402.18,128107511.55,129686277.17,131136532.12,107443042.44,107674479.63,103917533.21,173704437.72,161889269.27,165571278.90,157967982.19,171491637.39,185464970.01,187475742.71,205088389.57,199594533.18,186922285.53,241752136.50,212633090.82,246951778.70,253604190.94,224069786.99,224877957.45,238027823.15,248999518.85,161901015.84,175142546.23,212897916.60,103621979.52,95851140.06,70507670.91,70847421.31,72857699.12,126688243.39,113056057.01,115735779.03,144359000.00,185489262.63,62952135.25,52779635.38,52780000.00,34457000.00,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,288976591.35,288976591.35,288976591.35,288976591.35,288976591.35,288976591.35,160026882.47,160026882.47,100000000.00,100000000.00,15000000.00,15000000.00,15000000.00,15000000.00,400000.00,400000.00,400000.00,12772500.00,12772500.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79693777.80,75908177.80,52434000.00,49169000.00,57502988.90,54382988.90,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4425003.33,4186276.83,4186276.83,4186276.83,5486276.83,5247550.33,5247550.33,5247550.33,6547550.33,6308823.83,6308823.83,6308823.83,6308823.83,7370097.33,7370097.33,7370097.33,7370097.33,8431370.83,8431370.83,8431370.83,8431370.83,9492644.33,9492644.33,9492644.33,10851461.50,10612735.00,10612735.00,10612735.00,10612735.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,44559789.35,57590621.23,66618237.08,75536873.26,79649908.32,79388442.97,80478754.76,80863664.90,83153771.97,85231758.11,86165524.42,86165524.42,69827465.24,70395150.25,66299059.88,66706185.61,130592927.33,67750855.66,62533339.99,33781030.86,29345244.63,38719192.49,39146343.89,39446350.12,37917675.64,37236278.12,36973375.66,36932307.32,36635140.21,37986440.98,39433547.13,40523853.18,41938167.96,42449495.81,42941111.00,43421608.78,15804742.34,16084274.98,16850903.70,17814028.73,14566550.22,14557865.14,14564890.77,14568832.32,14568064.67,14568036.08,14562325.68,14567014.09,14662334.06,14732855.58,14834581.37,14947825.62,13240096.14,13240096.14,13240096.14,13240096.14,18764011.58,18764011.58,19917783.75,19917783.75,19674509.11,20452749.11,20828281.28,20828281.28,21201451.24,21201451.24,21576983.41,21576983.41,21976955.24,21976955.24,22352487.41,22352487.41,22845339.74,23223677.58,25688281.64,13145743.49,13396393.48,3016943.37,3378766.74,0,45607104.16,47494624.16,3058854.56,13217280.56,13469432.91,3469000.00,2979657.91,2955429.91,3020839.35,0,0,0.0
28,投资性房地产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),814156925.39,797189406.77,739723294.88,765017109.80,1551780951.82,1120332808.41,538123396.53,512526762.65,0,376510363.88,0,328180002.52,0,280931739.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,0,748892325.58,0,717884877.39,1500885389.77,1072671433.72,490512538.41,466115910.60,337149087.41,320769009.07,293245833.79,279476508.52,245304589.93,230740972.40,217430196.63,213136000.89,164740001.72,157236583.55,141382206.55,10522515.04,2835140.54,2031125.54,2031125.54,2031125.54,3524971.41,2576914.54,2416914.54,1862325.54,7988271.13,7988271.13,7938271.13,7771937.13,7107382.83,4840160.10,2644482.10,2586477.50,3521400.92,2911998.92,2881998.92,2881998.92,4765216.17,3247364.15,3247364.15,2663273.92,20652178.71,15284261.71,6498869.92,1149261.32,4386399.32,1053336.20,956096.20,906096.20,132043292.55,128939792.55,125529473.05,123864444.87,146870638.30,137404816.16,128580512.56,126831287.70,112422468.66,110852519.67,109355770.18,106096624.63,58384798.01,54347676.56,39051126.20,34912576.41,61099682.83,53800698.47,55215718.59,47437287.70,94795882.24,86782476.66,80514010.91,67931582.38,73582670.27,30002765.72,44990572.25,39770970.02,34738313.25,24892830.44,123795536.22,69372161.96,51492255.35,30764000.00,47403478.78,25020726.61,265114.63,0,0,0.0
31,工程物资,0,48297081.19,0,47132232.41,50895562.05,47661374.69,47610858.12,46410852.05,57034535.56,55741354.81,49819462.04,48703494.00,49759250.30,50190767.22,4617241.54,4617241.54,4617241.54,4617241.54,4617241.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43987599.00,44152108.00,40333780.00,23728599.00,26519456.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),554699403.45,561145108.99,619233822.20,580523097.05,815577216.46,829618652.82,830506523.80,837889379.60,0,792858868.85,0,800260660.93,0,809131842.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,0,561145108.99,0,580523097.05,815577216.46,829618652.82,830506523.80,837889379.60,752607596.36,792858868.85,797810922.43,800260660.93,802558718.40,809131842.98,807023125.74,810509970.99,488793302.11,494279495.78,498114216.63,276788497.92,279592209.67,283743417.78,286978369.36,290986516.51,293448586.65,286018233.90,289797615.95,294323670.17,292370645.48,295833061.11,300203138.70,303893105.37,301545891.52,305293133.89,308959837.85,313552957.17,315777836.30,302300494.54,306659757.98,311055986.61,312198835.79,316117799.28,320058598.74,323937793.02,315957691.12,319136232.94,322668378.06,326307872.32,307735279.75,310754987.13,313654692.39,316050634.08,312846697.04,315980534.99,318409502.59,321480994.27,306551145.89,310710055.12,315819797.13,323640262.50,328991113.01,337619044.00,339603291.60,345279422.10,349796355.25,354879572.38,359831930.72,365633815.77,327711730.77,332212187.38,335675291.03,339904308.09,294605130.50,300591443.66,304944376.74,311541117.22,312746274.13,223387532.43,195996281.40,198905695.69,195479255.23,198598048.38,116297080.03,118976723.88,116469302.22,117310000.00,67791890.52,68511534.82,48215608.50,0,0,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113584.54,113584.54,0,0,0,0,0,0,2654.20,65263.12,0,0,224404.87,70921.72,0,0,0,147480.78,115831.04,115831.04,44908.02,94908.02,451691.36,521691.36,0,0,646940.17,646940.17,0,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,8485028988.36,8348982680.48,8115113826.03,8182607419.80,9016925623.54,8562040913.15,8312398597.62,8568933467.83,8455670364.20,8304438311.46,8142982216.94,7952595801.18,7210924180.03,7291676045.23,1205775918.51,1184019013.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
