,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
38,四、汇率变动对现金及现金等价物的影响,2617444.00,14851780.00,3270237.00,-6669594.00,10323102.00,12559095.00,-3918780.00,-12640408.00,-8616361.00,-19075753.00,-7302032.00,-295020.00,33575.00,-264904.00,1311299.00,817442.00,19140.00,326746.00,-3088.00,10871.00,490.00,0,0,-4757.00,-448.00,0,0,0,-242778.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,五、现金及现金等价物净增加额,432592239.00,588720686.00,778330202.00,593734637.00,-154621264.00,-11902188.00,-89086047.00,75692828.00,100548504.00,234036991.00,235198544.00,29896968.00,44371315.00,89610460.00,170125588.00,23839008.00,54615565.00,54940978.00,10408464.00,7580853.00,-375545461.00,-154850711.00,-228566860.00,-176403822.00,-1031681924.00,-792644913.00,-847622956.00,-501273167.00,-94956879.00,63015375.00,13793531.00,116866575.00,98542501.00,256948005.00,91764770.00,79303233.00,1238155135.00,1256271550.00,95036613.00,123353498.00,-78609867.00,-184623784.00,-49980645.00,246918134.00,53468774.00,0.0
40,加:期初现金及现金等价物余额,261806365.00,261806365.00,261806365.00,261806365.00,416427629.00,416427629.00,416427629.00,416427629.00,315879125.00,315879125.00,315879125.00,315879125.00,271507810.00,271507810.00,271507810.00,271507810.00,216892245.00,216892245.00,216892245.00,241761421.00,592437706.00,592437706.00,592437706.00,591945435.00,1624119630.00,1624119630.00,1624119630.00,1816150176.00,1719076509.00,1719076509.00,1719076509.00,1719076509.00,1620534008.00,1660285808.00,1660285808.00,1620534008.00,382378873.00,382378873.00,382378873.00,382378873.00,460988740.00,460988740.00,460988740.00,214070606.00,160601832.00,0.0
41,六、期末现金及现金等价物余额,694398604.00,850527051.00,1040136567.00,855541002.00,261806365.00,404525441.00,327341582.00,492120457.00,416427629.00,549916116.00,551077669.00,345776093.00,315879125.00,361118270.00,441633398.00,295346818.00,271507810.00,271833223.00,227300709.00,249342274.00,216892245.00,437586995.00,363870846.00,415541613.00,592437706.00,831474717.00,776496674.00,1314877009.00,1624119630.00,1782091884.00,1732870040.00,1835943084.00,1719076509.00,1917233813.00,1752050578.00,1699837241.00,1620534008.00,1638650423.00,477415486.00,505732371.00,382378873.00,276364956.00,411008095.00,460988740.00,214070606.00,0.0
42,附注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,净利润,1205980495.00,0,478398629.00,0,570448021.00,0,196551335.00,0,203517728.00,0,102974284.00,0,130505061.00,0,30343892.00,0,5537976.00,0,-41899308.00,0,-12109197.00,0,17530004.00,0,179991985.00,0,127614740.00,0,296446285.00,0,149212546.00,0,327892834.00,0,169243054.00,0,326129752.00,0,0,0,306157439.00,0,0,237154665.00,126317412.00,0.0
44,少数股东权益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
45,未确认的投资损失,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
46,资产减值准备,87354726.00,0,56416948.00,0,71274375.00,0,57902893.00,0,83378778.00,0,54532172.00,0,54182139.00,0,-468791.00,0,34698608.00,0,-4342687.00,0,30784588.00,0,10460076.00,0,7027823.00,0,2675378.00,0,7096538.00,0,8922860.00,0,-2477448.00,0,1604638.00,0,-5977988.00,0,0,0,-7340681.00,0,0,-9034089.00,4219396.00,0.0
47,固定资产折旧、油气资产折耗、生产性物资折旧,313603980.00,0,155960400.00,0,301701006.00,0,149577274.00,0,286230988.00,0,141229973.00,0,282751043.00,0,139884604.00,0,260293388.00,0,127908185.00,0,189256749.00,0,78470566.00,0,127282467.00,0,64782387.00,0,139667838.00,0,71133855.00,0,131714825.00,0,65920958.00,0,135634749.00,0,0,0,144977683.00,0,0,150331937.00,143973869.00,0.0
48,无形资产摊销,5390427.00,0,2829366.00,0,5867382.00,0,2929942.00,0,5976330.00,0,2950412.00,0,6851374.00,0,3334930.00,0,7018196.00,0,2159727.00,0,6338265.00,0,1395369.00,0,4795115.00,0,2176212.00,0,2825787.00,0,1324744.00,0,2802691.00,0,1450034.00,0,2721909.00,0,0,0,2931586.00,0,0,2148094.00,1547763.00,0.0
49,长期待摊费用摊销,339962.00,0,203977.00,0,528728.00,0,298470.00,0,1545191.00,0,1201404.00,0,694328.00,0,316802.00,0,1151508.00,0,544034.00,0,630149.00,0,0,0,86722.00,0,62000.00,0,336132.00,0,173119.00,0,205680.00,0,172200.00,0,494780.00,0,0,0,-1070260.00,0,0,11811.00,134813.00,0.0
50,待摊费用的减少,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
51,预提费用的增加,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
52,处置固定资产、无形资产和其他长期资产的损失,514481.00,0,587418.00,0,1399850.00,0,1442349.00,0,296336.00,0,63442.00,0,133215380.00,0,6152604.00,0,4522639.00,0,3523826.00,0,17401769.00,0,8722930.00,0,12716550.00,0,7609084.00,0,85493.00,0,67454.00,0,1102365.00,0,1062009.00,0,923821.00,0,0,0,4173051.00,0,0,1326772.00,427080.00,0.0
