,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,购建固定资产、无形资产和其他长期资产所支付的现金,239704580.59,338765199.46,53985292.51,26843205.01,8537450.99,42166373.70,60220811.46,24578275.81,17777812.13,28835553.52,39181672.27,21317356.91,12171223.18,63446137.46,52056893.68,43674678.60,12840007.22,61224048.01,32123532.36,26300609.81,13845204.00,47393806.95,37578946.32,20172843.32,12460552.40,174980422.70,102571002.12,40184926.65,9600247.19,176241441.45,96368336.95,49657024.94,35348778.57,188578926.15,103961370.38,56004281.92,35697092.04,51934506.20,20892529.25,5646578.36,2260622.92,26471414.29,3967162.18,3541198.67,2807412.67,32359339.13,25461777.76,19660820.33,12054338.48,0.0
20,投资所支付的现金,158400000.00,1150520000.00,999746062.12,754230000.00,408300000.00,2013974763.88,1510816263.68,945810263.69,464840000.00,541873470.30,1416100000.00,716700000.00,198515200.00,2027111639.06,1438430790.00,1056401875.00,314340253.99,1177383586.33,526241278.40,222686000.00,214631257.19,1423250000.00,1164750000.00,564000000.00,249665000.00,992150277.75,450000000.00,400000000.00,300000000.00,300000000.00,0,0,0,0,0,0,0,8640000.00,0,0,0,328334.73,328334.73,328334.73,328334.73,897156.00,897156.00,5000000.00,0,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,0,473809034.79,475594004.85,475594004.85,512121087.45,0,0,0,0,66253681.62,0,0,0,132325433.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8317411.91,0,0,0,0,0,0,10409344.18,0.0
22,支付的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,4890020.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35000000.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,投资活动现金流出小计,398104580.59,1489285199.46,1053731354.63,781073205.01,416837450.99,2056141137.58,1571037075.14,970388539.50,482617812.13,1044518058.61,1930875677.12,1213611361.76,727697530.75,2090557776.52,1490487683.68,1100076553.60,327180261.21,1304861315.96,558364810.76,248986609.81,228476461.19,1602969240.59,1202328946.32,584172843.32,262125552.40,1167130700.45,552571002.12,440184926.65,344600247.19,476241441.45,96368336.95,49657024.94,35348778.57,188578926.15,103961370.38,56004281.92,35697092.04,60574506.20,20892529.25,5646578.36,2260622.92,35117160.93,4295496.91,3869533.40,3135747.40,33256495.13,26358933.76,24660820.33,22463682.66,0.0
24,投资活动产生的现金流量净额,-261687083.47,407906163.84,571894579.52,455339974.05,263087613.15,414917035.19,282047557.33,176293187.47,48358937.35,-820609087.38,-668005592.74,-295079879.26,-582502420.09,-208778204.95,-386186827.94,-104879579.28,24559317.89,-223060471.54,172579670.71,177766743.74,-119895744.63,-694542014.50,-526113205.72,-82911051.99,-213548178.97,-338629584.89,-131124453.58,-125103555.45,-152154895.68,-152370481.44,-79337208.77,-36473827.88,-30707797.74,-161160939.58,-85286580.83,-47952682.77,-29960407.62,-40398401.84,-7392310.79,-1874126.69,-99277.49,-33472292.39,-3218259.13,-3467094.07,-2941246.35,-27738102.93,-26011600.76,-24429042.67,-22270633.68,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,0,11576120.00,11576120.00,0,0,522416861.95,468058695.66,465145228.47,455644061.95,20118946.59,20120320.00,20120320.00,0,23602222.90,23502222.90,1502222.90,0,5686000.00,6114227.00,5150000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,917083360.00,917083360.00,0,0,0,0,20440920.94,15488720.49,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,0,0,158920.00,158920.00,158920.00,0,23602222.90,23502222.90,1502222.90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,141794874.35,23579556.00,24326579.20,24055836.35,50502975.00,27452800.00,705678113.76,488258116.19,7086499.49,247500960.00,620688039.99,614687388.03,75892300.00,578377380.00,324840756.00,170000000.00,0,100000000.00,0,0,0,0,0,0,0,0,0,0,35000000.00,0,0,0,0,0,0,0,0,20000000.00,20000000.00,0,0,0,0,0,0,57800000.00,57800000.00,108000000.00,91000000.00,0.0
