,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
26,吸收投资收到的现金,780349999.60,500000000.00,0,0,190000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13770000.00,13770000.00,0,0,659760699.20,0,0,0,9800000.00,0.00,0,0,504601994.99,494801994.99,494801994.99,494801994.99,0,640250000.00,640250000.00,640250000.00,0,0,0,0,0,0,0,0,724590000.00,722162097.28,722162097.28,0,120060000.00,7338879.91,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,500000000.00,500000000.00,0,0,190000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13770000.00,13770000.00,0,0,39200000.00,0,0,0,9800000.00,0,0,0,9800000.00,0,0,0,0,550000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,1260470000.00,645000000.00,645000000.00,460000000.00,1632600000.00,1353600000.00,1134000000.00,679000000.00,1876286837.86,1223604653.35,1123217517.53,642217517.53,802608347.26,710026219.59,201301517.94,192390000.00,2163003981.60,1748603981.60,1358603981.60,772703981.60,1508000000.00,1145000000.00,965000000.00,651000000.00,1361620000.00,676620000.00,479000000.00,232000000.00,1251300000.00,610000000.00,330000000.00,330000000.00,580000000.00,520000000.00,520000000.00,390000000.00,750000000.00,550000000.00,400000000.00,400000000.00,1092000000.00,892000000.00,460000000.00,260000000.00,1410000000.00,1180000000.00,830000000.00,510000000.00,750000000.00,720000000.00,340000000.00,310000000.00,1046000000.00,120000000.00,50000000.00,0.0
29,发行债券收到的现金,0,450000000.00,450000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1295901000.00,640259000.00,640259000.00,640259000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640250000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,950000000.00,500000000.00,500000000.00,0,900000000.00,900000000.00,450000000.00,450000000.00,450000000.00,450000000.00,450000000.00,0,650000000.00,300000000.00,300000000.00,300000000.00,750000000.00,748600000.00,400000000.00,400000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2427902.72,2427902.72,0,28900.00,0,0,0.0
31,筹资活动现金流入小计,2990819999.60,2095000000.00,1595000000.00,460000000.00,2722600000.00,2253600000.00,1584000000.00,1129000000.00,2326286837.86,1673604653.35,1573217517.53,642217517.53,1452608347.26,1010026219.59,501301517.94,492390000.00,4208904981.60,3137462981.60,2398862981.60,1812962981.60,1521770000.00,1158770000.00,965000000.00,651000000.00,2021380699.20,676620000.00,479000000.00,232000000.00,1261100000.00,610000000.00,330000000.00,330000000.00,1084601994.99,1014801994.99,1014801994.99,884801994.99,1390250000.00,1190250000.00,1040250000.00,1040250000.00,1092000000.00,892000000.00,460000000.00,260000000.00,1410000000.00,1180000000.00,830000000.00,510000000.00,1474590000.00,1444590000.00,1064590000.00,310000000.00,1166088900.00,127338879.91,50000000.00,0.0
32,偿还债务支付的现金,2627000000.00,1314000000.00,1124000000.00,436000000.00,1589181000.00,1152511000.00,1047511000.00,801811000.00,1065020000.00,647970000.00,581470000.00,70000000.00,868090000.00,813770000.00,397770000.00,390000000.00,3813250000.00,2775470000.00,2109550000.00,1543500000.00,1289000000.00,991000000.00,856000000.00,671000000.00,1107000000.00,648000000.00,536000000.00,300000000.00,770000000.00,620000000.00,330000000.00,330000000.00,570000000.00,510000000.00,510000000.00,290000000.00,962000000.00,792000000.00,592000000.00,592000000.00,1090000000.00,890000000.00,458000000.00,278000000.00,1190000000.00,990000000.00,550000000.00,380000000.00,1134000000.00,1064000000.00,574000000.00,262000000.00,881819471.88,165000000.00,0,0.0
33,分配股利、利润或偿付利息所支付的现金,153309901.00,108121859.74,95982341.49,51509652.72,167692001.91,130952830.27,98682086.19,51550687.39,153485275.76,108863764.11,83577930.98,55924144.16,136667387.39,97524680.44,73564134.33,43672730.29,143051089.34,160940816.16,135391022.76,73779811.90,201412988.05,171111161.30,141705285.93,62024796.80,180150932.51,150493275.04,107554333.22,47908448.63,88021054.91,79047887.17,73293555.23,42194848.90,58963283.55,52893642.64,46815327.58,40496731.68,34207444.83,30150756.00,25815793.50,4957843.50,49020542.18,42483599.18,35678295.34,7393054.50,45983156.71,40479812.42,30590032.42,5408760.00,26940265.50,21729558.00,15544960.50,7651503.00,184514323.77,2104965.00,0,0.0
34,其中：子公司支付给少数股东的股利、利润,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819242.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,支付其他与筹资活动有关的现金,553780540.48,545062010.10,522601232.16,47733383.28,1000406332.07,969966788.85,495983526.30,23420191.80,742022827.10,719438937.37,346921769.30,322531879.50,442089244.85,68734085.35,46225681.96,23717867.60,114605090.45,91158391.63,67813979.01,44774637.74,208315.06,190371.83,142328.06,51225.15,245715.37,174160.47,144613.26,41903.00,434597.74,381532.34,93612.15,66020.72,551476.76,504019.86,438594.57,21795.94,872148.38,819242.29,800647.93,586178.02,91970.10,76292.32,61963.48,27678.85,56074.73,42054.89,23990.98,932.96,979486.82,946739.42,954534.82,111283.44,1814988.98,20706.57,17857.06,0.0
