,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20031231,20021231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,购建固定资产、无形资产和其他长期资产所支付的现金,21323350.90,11634421.15,5029071.33,30617262.23,28026441.46,18163490.09,12276074.95,42880967.53,35114127.99,25736230.69,3679959.59,82145686.00,68787831.11,46702835.12,27710128.27,129844158.70,127478475.24,103758537.77,77560420.05,140151593.08,71035240.18,26155001.98,17151525.35,98469652.00,87534090.91,13728252.33,8139257.67,18213289.33,8546391.51,4997233.89,2411042.59,16443498.77,12252001.13,7094201.74,4661045.91,13400030.10,10403218.32,6032752.24,946875.71,17895771.95,12959760.23,2706537.10,3391783.11,16904745.69,8879459.65,7270809.02,4760489.29,50408024.72,27297632.19,16629671.89,9337639.13,34923222.92,27365692.40,20728488.16,4334264.54,44313225.58,30258545.43,10467512.55,2848950.00,24369763.71,27250439.49,14993905.46,23224122.75,38321625.85,0.0
20,投资所支付的现金,1060000000.00,670000000.00,280000000.00,698140000.00,334140000.00,94140000.00,78140000.00,291000000.00,212000000.00,150000000.00,60000000.00,1092000000.00,710545791.68,470545791.68,0,511000000.00,0,0,0,619906718.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23795474.20,10000000.00,10000000.00,0,0,0,0,0,298350.34,0,0,0,0,5182600.00,5182600.00,0,0,0,0,0,14176658.81,14176658.81,14176658.81,14176658.81,0,0,0,0,19158450.11,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,0,0,0,2538423.39,0,0,0,0,0,0,0,0,0,0.00,0,0.00,4902225.23,4902225.23,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18260372.25,0,0,0,5182600.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,0,0.00,0,0,0.00,0.00,0,0.00,3263413.00,0.00,0,0,0,0.00,280000000.00,0.00,405000000.00,220000000.00,100000000.00,0.00,489906718.00,90000000.00,50000000.00,233491228.61,136314505.20,30000000.00,5400000.00,42690000.00,0,0.00,3066746.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30100.00,0,0,141231.00,265454.00,2155982.17,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,投资活动现金流出小计,1081323350.90,681634421.15,285029071.33,728757262.23,362166441.46,112303490.09,90416074.95,333880967.53,250377540.99,175736230.69,63679959.59,1176684109.39,779333622.79,517248626.80,307710128.27,640844158.70,532478475.24,323758537.77,177560420.05,760058311.08,560941958.18,116155001.98,67151525.35,331960880.61,228750821.34,48630477.56,13539257.67,60903289.33,8546391.51,4997233.89,5477789.32,16443498.77,12252001.13,7094201.74,4661045.91,37195504.30,20403218.32,16032752.24,946875.71,17895771.95,12959760.23,2706537.10,3391783.11,35463468.28,8879459.65,7270809.02,4790589.29,55590624.72,32480232.19,21953502.89,9603093.13,37079205.09,27365692.40,20728488.16,4334264.54,58489884.39,44435204.24,24644171.36,17025608.81,24369763.71,27250439.49,14993905.46,23224122.75,57480075.96,0.0
24,投资活动产生的现金流量净额,-33218249.22,-31496064.00,-82652085.03,-364660124.31,-195452123.47,12994663.48,5017202.87,118073420.50,47237008.66,111065877.76,-2841839.40,-247481099.24,-272986164.01,-21920729.66,-206780950.19,304112964.77,21990250.80,210502404.98,36444960.77,-540004376.78,-462275015.81,-65431714.31,-67151525.35,-188303819.64,-177545539.64,2574804.14,29249385.70,-55860289.33,-3546391.51,2766.11,-5477789.32,-10927498.77,-6752001.13,-1594201.74,-3161045.91,-37008062.83,-20403218.32,-16032752.24,-946875.71,-17805771.95,-11677147.02,-2706537.10,-3391783.11,-23394051.15,3150940.17,-7073809.02,-4611589.29,-52930945.56,-29953602.19,-21920702.89,-9546093.13,-37049205.09,-27365692.40,-20728488.16,-4334264.54,-58489884.39,-29997338.76,-10206305.88,-2587743.33,-24369763.71,-27242729.54,-14986195.51,-23224122.75,-57480075.96,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,750000.00,0,0,4350000.00,4350000.00,4350000.00,0,6682000.00,5147000.00,1247000.00,1247000.00,140053000.00,140000000.00,140000000.00,0,0.00,0,0,0,776999994.00,776999994.00,776999994.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245676600.06,245676600.06,0,250000.00,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,750000.00,0,0,4350000.00,4350000.00,4350000.00,0,0,5147000.00,1247000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,0,0,0,0,0,0,0,0.00,0,0,0,40000000.00,10000000.00,10000000.00,0,40060160.00,40060160.00,39965535.88,0,94683392.00,94683392.00,94683392.00,57269492.00,80000000.00,80000000.00,30000000.00,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000000.00,20000000.00,0.0
29,发行债券收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0,0,0,0,0,2249.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4675256.37,0,0,0,0,0,0,200000.00,777315.34,0,306437.12,12262925.02,278604.05,0.0
31,筹资活动现金流入小计,750000.00,0.00,0.00,4350000.00,4350000.00,4350000.00,0.00,6682000.00,5147000.00,1247000.00,1247000.00,180053000.00,150000000.00,150000000.00,0.00,40060160.00,40060160.00,39965535.88,0.00,871683386.00,871683386.00,871683386.00,57269492.00,80000000.00,80000000.00,30000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,2249.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4675256.37,0,0,0,0,0,0,200000.00,246453915.40,245676600.06,306437.12,52512925.02,20278604.05,0.0
32,偿还债务支付的现金,0,0,0,0,0.00,0,0,30000000.00,30000000.00,30000000.00,30000000.00,60000000.00,60000000.00,6000000.00,0,40060160.00,40060160.00,0,0,174683392.00,174683392.00,62333260.00,30000000.00,0,976666.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000000.00,20000000.00,0,40000000.00,0,0.0
33,分配股利、利润或偿付利息所支付的现金,36387025.80,30747733.84,0,25205905.14,25205905.14,15499025.28,0,25205905.14,25544915.15,25544915.15,0,22277569.65,21291999.48,21291999.48,0,17890962.86,17890962.86,17706712.55,0,14734616.87,14734616.87,14544616.87,1944866.99,10911250.00,8775000.00,8114770.58,0,8775000.00,8775000.00,8775000.00,0,13500000.00,13500000.00,13500000.00,0,10822072.50,10800000.00,10800000.00,0,8100000.00,8099997.35,8099997.35,0,13500000.00,13500000.00,13500000.00,0,8099997.52,8318174.92,9212734.92,0,8804100.00,9000000.00,9000000.00,0,9000000.00,9000000.00,9000000.00,0,10057229.24,10506999.12,8458049.24,16472225.44,3480433.98,0.0
34,其中：子公司支付给少数股东的股利、利润,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
