,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,购建固定资产、无形资产和其他长期资产所支付的现金,563025448.28,402675247.21,169929295.07,915002141.82,582387256.04,361726874.41,183349419.84,601213888.49,453281258.93,159539197.84,84386647.77,320849219.51,244667703.23,143053917.01,50780131.12,339729703.93,241498695.00,170033973.94,103896895.05,399860404.89,297472781.68,180085785.26,116476408.15,502609287.91,411739735.45,286111149.73,132823751.78,644176992.63,421768292.17,256966442.01,103721268.80,520691507.83,293110132.09,173871509.58,93444596.18,225629970.39,142528380.16,111914648.37,95372976.71,63925151.21,50047693.30,38522980.40,12458438.13,73772541.87,28646504.51,11177953.82,2288618.20,21974286.60,6100981.18,1922863.00,578850.00,19877786.16,16693736.94,14509254.28,10029168.45,34326762.27,29922796.98,24688755.10,38543020.17,0.0
20,投资所支付的现金,0,0,0,2400000.00,10930943.52,0,0,54500000.00,54500000.00,50000000.00,50000000.00,0,0,0,0,0,0,0,0,0,0,0,0,3000000.00,0,0,21741870.51,48048772.87,291960572.38,291960572.38,291960572.38,12940787.59,12940787.59,0,0,71680769.20,71680769.20,71680769.20,71680769.20,0,0,0,0,54719500.00,0,0,0,0,0,0,0,18000000.00,0,0,0,0,0,0,0,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,14438957.62,3406421.73,3406421.73,0,4402337.01,0,0,0,0,0,0,0,8959579.61,0,0,0,2315197.50,0,0,0,216451304.97,184324706.88,179242935.00,0,0,0,0,0,0,0,0,0,30367980.03,30367980.03,30367980.03,18667250.49,0,185265.41,0,0,2773272.60,0,0,0,1482860.00,0,0,0,42148730.87,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,42154279.36,27864757.37,698351957.35,710031090.60,37728510.76,87851037.99,1456763047.55,1195713990.99,237000000.00,6851840.39,1968255.10,270709646.15,335856630.05,230420599.09,61805028.32,99872520.64,451892338.45,226203067.57,31165733.51,430332343.06,613065971.52,302640201.81,21351333.69,5678400.13,24056432.98,21843875.24,28723720.29,720000.00,0,0,0,26947389.80,0,0,0,0,74000000.00,74000000.00,0,0,6403476.77,1091008.99,4553951.85,18086031.49,0,0,0,0,0,0,0,4000000.00,208074.59,0,0,0,150889.00,0,5000000.00,0.0
23,投资活动现金流出小计,605179727.64,430540004.58,868281252.42,1641872190.04,634453132.05,452984334.13,1640112467.39,1855830216.49,744781258.93,216391038.23,136354902.87,591558865.66,580524333.28,373474516.10,112585159.44,448561804.18,693391033.45,396237041.51,135062628.56,832507945.45,910538753.20,482725987.07,137827741.84,727738993.01,620120875.31,487197959.97,183289342.58,692945765.50,713728864.55,548927014.39,395681841.18,560579685.22,306050919.68,173871509.58,93444596.18,327678719.62,318577129.39,287963397.60,185720996.40,63925151.21,56636435.48,39613989.39,17012389.98,149351345.96,28646504.51,11177953.82,2288618.20,23457146.60,6100981.18,1922863.00,578850.00,84026517.03,16901811.53,14509254.28,10029168.45,34326762.27,30073685.98,24688755.10,43543020.17,0.0
24,投资活动产生的现金流量净额,541761318.41,227848099.26,261272719.28,-1279392206.75,-382390676.89,-167824395.71,-110877706.55,-1756256287.37,-254259433.23,128568622.32,107557071.87,-66777748.17,-45661451.55,-325174230.19,6146633.20,-331789748.02,98942806.80,135253378.31,-69979764.98,-687337123.94,-627093507.69,-479040833.83,-136055317.46,-668218629.85,-592066656.42,-474125949.43,-178963703.84,-603823616.01,-680778346.87,-524249464.81,-370251540.72,-530424657.11,-281909671.54,-156040659.14,-82983770.54,-297202601.02,-296614062.15,-268234285.46,-176299728.67,-36738745.08,-14295430.41,-10606156.63,-4898513.05,-84885880.22,-27918299.28,-9611253.93,-2288618.20,-15981653.89,-6050531.18,-1922863.00,-578850.00,-61054876.53,-16451416.53,-14059254.28,-10029168.45,-27189128.92,-29635685.98,-24685755.10,-43133313.03,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,3609000.00,3609000.00,0,106632768.00,106632768.00,20170668.00,2000000.00,1312131520.00,1314131520.00,4900000.00,1288980.00,8963566.80,8963566.80,0,0,407007199.99,13007200.00,13007200.00,1630000.00,3000000.00,3000000.00,3000000.00,3000000.00,0,0,0,0,0,0,0,0,3430000.00,3430000.00,2800000.00,2800000.00,980059980.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210089908.81,205561908.81,205561908.81,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,3609000.00,3609000.00,0,20170668.00,20170668.00,20170668.00,2000000.00,4900000.00,4900000.00,4900000.00,1288980.00,8963566.80,8963566.80,0,0,13007200.00,13007200.00,13007200.00,1630000.00,3000000.00,3000000.00,3000000.00,3000000.00,0,0,0,0,0,0,0,0,3430000.00,3430000.00,2800000.00,2800000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,1512133700.00,652992773.64,1522542200.00,1370093254.86,1000818238.00,591968038.00,528039500.00,1247348569.71,806640788.00,313422200.00,0,347892368.75,283516848.35,225994748.35,189740100.00,1974169849.68,1380928139.00,1047834876.00,412110164.00,1302578929.97,2096391461.92,1484020516.23,327574289.67,1518445754.35,1207606536.60,868227188.51,559206450.00,1173140867.93,738535258.00,438209900.00,180000000.00,991235155.28,439796423.32,237815555.04,237815555.04,530286898.28,327901733.64,252202548.39,172273419.48,543200579.59,140796500.00,140796500.00,123183153.00,616434512.70,60675950.00,40675950.00,20000000.00,75000000.00,55000000.00,55000000.00,35000000.00,65000000.00,65000000.00,35000000.00,20000000.00,66000000.00,66000000.00,66000000.00,97164578.92,0.0
