,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20081231,20080930,20080630,20080331,20071231,20070930,20061231,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
31,筹资活动现金流入小计,8149089837.15,4985548754.70,2377200000.00,12599808711.96,9639100000.00,5836700000.00,2851150000.00,13011275268.81,9973698178.24,7054348178.24,2160671840.00,11909640000.00,7824760000.00,5315490000.00,1658450000.00,12460775020.58,8787377066.93,5850509395.58,2608207262.41,12164440119.50,9779149274.52,7152950000.00,2106398949.57,12425912461.06,12145814586.48,7074454382.20,2740559528.67,13783624637.08,10997830684.23,6670318754.14,2901900000.00,9427043600.00,9920347519.61,5238320818.62,2778082543.61,7116480628.01,6870096547.09,4794930000.00,2505063559.87,9277145616.36,6704985755.37,2686263978.54,4009203123.26,3081127055.76,2043581952.19,1254607467.67,3159276355.00,3161281689.50,1638857119.79,586307721.13,625698679.75,0.0
32,偿还债务支付的现金,8110195000.00,5372000000.00,2265200000.00,12381076338.24,9901934738.24,6762734738.24,2472400000.00,14386783166.67,10567270578.45,7902783166.67,2601800000.00,12882156333.33,8491060000.00,6060760000.00,2105605426.13,11358898526.80,7928347922.38,5601790606.18,1622646000.00,11579958833.29,8480429991.34,5632900000.00,2380808887.91,9742480000.00,9224150760.75,4673785180.87,1380650000.00,8168500817.64,6746198905.38,3972500000.00,1583287069.70,5845703474.53,4234947516.90,2659703474.53,1272842091.57,4533057092.97,4023422874.64,2450150000.00,1112510587.03,4618220216.33,4935208711.45,1865870318.10,2538116787.48,1429795331.20,943631885.36,584319294.80,1731911240.89,922080415.00,1282260909.55,544658243.07,407083136.35,0.0
33,分配股利、利润或偿付利息所支付的现金,914740333.27,557293868.71,234461637.11,1025864508.08,808562669.33,514969870.87,238978292.85,1078845168.61,815681288.41,644707591.23,256201572.05,1349962883.33,1051191793.33,697086647.75,312739364.51,1342837253.08,1114494159.02,992763941.82,294836248.57,1474324667.28,1041329008.38,676911265.67,337458626.96,1403929196.96,525969317.81,655536593.42,152178493.41,1193741010.97,267730419.40,260545191.91,99199285.81,936368278.62,548830320.15,263259753.07,139030316.88,422057981.43,199445262.43,237442456.46,95177689.93,304758332.83,212909973.46,75891472.28,326640471.21,198136787.36,56613219.78,53113002.35,128707623.49,74677786.31,53596122.92,33013080.97,35609642.25,0.0
34,其中：子公司支付给少数股东的股利、利润,84320833.33,0,1837500.00,9313751.23,5085578.51,7119489.17,2186480.00,10836480.00,3600000.00,2600000.00,1800000.00,6710830.65,5247870.65,5247870.65,1800000.00,6300550.00,4300550.00,4261480.00,1875000.00,2223980.00,7680979.30,5223980.00,1837500.00,3612400.00,6078912.81,2198880.00,1800000.00,9434566.01,2196630.00,7702885.35,1725000.00,5133177.38,4756718.39,1500000.00,1500000.00,39844904.11,0,35522329.50,1425000.00,1455000.00,1370000.00,0,13820917.64,1021500.00,0,1312500.00,11225707.40,0,0,0,0,0.0
35,支付其他与筹资活动有关的现金,9347224.10,5947223.01,0,5324828.83,0,0,0,247157636.87,44403923.88,30556425.99,21608964.40,71515260.46,67443535.06,40530475.96,159563874.10,84900720.37,323843943.71,295561149.30,293810817.15,109059218.55,128364389.18,75750711.29,155810266.88,123740315.66,127158115.86,43877075.36,4201248.47,76519487.94,191291624.95,38524089.82,556751357.46,186684801.17,2669021673.99,8000000.00,549060019.75,1020604697.13,536447444.80,80440349.60,160607667.96,475680131.00,284105912.98,0,11888750.38,867290732.52,686804370.65,389320572.48,79500000.00,844314729.43,175423381.57,2138829.77,3636279.14,0.0
36,筹资活动现金流出小计,9034282557.37,5935241091.72,2499661637.11,13412265675.15,10710497407.57,7277704609.11,2711378292.85,15712785972.15,11427355790.74,8578047183.89,2879610536.45,14303634477.12,9609695328.39,6798377123.71,2577908664.74,12786636500.25,9366686025.11,6890115697.30,2211293065.72,13163342719.12,9650123388.90,6385561976.96,2874077781.75,11270149512.62,9877278194.42,5373198849.65,1537029741.88,9438761316.55,7205220949.73,4271569281.73,2239237712.97,6968756554.32,7452799511.04,2930963227.60,1960932428.20,5975719771.53,4759315581.87,2768032806.06,1368295944.92,5398658680.16,5432224597.89,1941761790.38,2876646009.07,2495222851.08,1687049475.79,1026752869.63,1940118864.38,1841072930.74,1511280414.04,579810153.81,446329057.74,0.0
37,筹资活动产生的现金流量净额,-885192720.22,-949692337.02,-122461637.11,-812456963.19,-1071397407.57,-1441004609.11,139771707.15,-2701510703.34,-1453657612.50,-1523699005.65,-718938696.45,-2393994477.12,-1784935328.39,-1482887123.71,-919458664.74,-325861479.67,-579308958.18,-1039606301.72,396914196.69,-998902599.62,129025885.62,767388023.04,-767678832.18,1155762948.44,2268536392.06,1701255532.55,1203529786.79,4344863320.53,3792609734.50,2398749472.41,662662287.03,2458287045.68,2467548008.57,2307357591.02,817150115.41,1140760856.48,2110780965.22,2026897193.94,1136767614.95,3878486936.20,1272761157.48,744502188.16,1132557114.19,585904204.68,356532476.40,227854598.04,1219157490.62,1320208758.76,127576705.75,6497567.32,179369622.01,0.0
38,四、汇率变动对现金及现金等价物的影响,0,0,0,0,0,0,0,0,-44317.22,95141.61,0,0,0,0,0,0,5643.06,-396.49,0,67542.34,266.29,70022.23,0,-79304.54,-153.53,-7981.85,0,-1751.84,0,1386.30,0,-8985.66,0,0,0,-52212.48,-39911.86,-39911.86,-21515.65,57584.01,14265.45,0,-82566.47,0,0,0,-25501.28,-18899.49,14031.20,0,0,0.0
39,五、现金及现金等价物净增加额,-752189794.09,-879985653.49,-1117149503.40,-113939669.94,-279349797.34,-1377019146.87,-871600871.04,-834712935.96,-1194445472.86,-942518129.70,-1159133906.80,-601156833.49,-2369704400.76,-2583480731.34,-1703192463.74,2228668640.72,856081557.21,542984320.41,447537934.74,-557420801.60,-376965114.83,-126795144.93,-1193611479.62,-471309804.41,-803072901.89,-535730746.44,42963294.14,-1583168.08,127321884.44,104436264.04,-358136934.45,212228841.40,36567865.35,467449903.86,260387354.93,819191509.51,1272423010.73,1482812888.60,881177481.88,2134783022.78,2368226864.35,1856939319.93,-105752489.84,381712730.61,120146810.77,87812687.57,-182222572.23,174588378.00,9338324.53,136938151.12,204702279.60,0.0
40,加:期初现金及现金等价物余额,3554594008.05,3554594008.05,3554594008.05,3668533677.99,3668533677.99,3668533677.99,3668533677.99,4503246613.95,4465790164.08,4465790164.08,4465790164.08,5066946997.57,5066946997.57,5066946997.57,5066946997.57,2838278356.85,2838278356.85,2838278356.85,2844770197.79,3395699158.45,3386933810.51,3386933810.51,3386933810.51,3867008962.86,3847478402.31,3847478402.31,3847478402.31,3849061570.39,3849061570.39,3849061570.39,3849061570.39,3636832728.99,3636832728.99,3636832728.99,3636832728.99,2817641219.48,2817641219.48,2817641219.48,2774946168.21,682858196.70,1363527965.73,1423891574.04,788610686.54,1051208080.69,1051208080.69,0,970833258.77,722859803.88,681077410.35,543341142.29,332221964.40,0.0
