,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,19991231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,购建固定资产、无形资产和其他长期资产所支付的现金,59308910.39,37252566.76,22945924.79,13305214.31,89016701.57,74316982.49,61741698.96,39625842.30,140483033.70,117988916.62,88736718.10,20992522.54,98898773.69,54941400.96,46106731.97,31643507.58,220078381.56,188766447.59,163569983.48,73212610.41,164126622.30,80765385.00,54027219.18,17484742.06,108606855.32,51363894.69,33790385.47,9200305.92,41695969.12,15847659.21,13821850.04,9587667.12,42258295.21,29591764.99,19791802.77,12814380.25,75963903.75,54367677.81,37539096.90,28986021.16,51508394.13,43185871.11,26906051.27,12140335.25,84011126.96,58957122.72,55876583.35,18258344.85,50276179.72,33316010.84,22535257.50,7708774.19,40807120.64,34189111.79,6408188.09,1800527.94,29286003.96,23324342.53,16041068.31,8457812.93,77942418.87,76159021.48,53063736.64,34426383.05,109885160.26,62908608.36,31247486.99,8575253.44,47067244.08,11127892.43,44660496.15,17074300.70,35786819.72,0,0.0
20,投资所支付的现金,2000000.00,2000000.00,2000000.00,2000000.00,70000000.00,70132750.00,67000000.00,67000000.00,413000000.00,310000000.00,260000000.00,190000000.00,195895747.33,162000000.00,0,0,569937279.26,342217944.80,198217944.80,53217944.80,510000000.00,338000000.00,300000000.00,0,31871020.00,21671020.00,21671020.00,0,9800000.00,9800000.00,0,0,0,0,0,0,0,0,0,0,314495.00,0,0,0,110217027.94,110217027.94,100210487.94,79401701.88,240861747.36,206878375.57,106590527.83,0,53394725.91,22387330.63,22387330.63,0,5421025.46,3500.00,3500.00,0,14923041.06,4936587.00,4936587.00,431730.00,22437822.01,10707022.14,8707022.14,0,0,0,36539697.25,28857172.05,0,0,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,333900.00,169700.00,105700.00,105700.00,475202.43,445797.39,0,0,5716855.90,6473261.45,6415250.34,455539.90,3254398.49,2408177.71,2055419.32,1554577.66,64936219.08,3537994.68,1683755.38,11417880.38,3628100.00,1304600.00,219190.00,0,150437400.00,0,0,0,0,0,0,0,0,0,0,0,0,516415.91,0,0,0,0,0,0,0,11794814.46,0,0,0,0,0,0,21061628.22,0,711.00,0,0,0,0,0,280238.61,5780114.36,5780114.36,0,20000000.00,0,0,0,0,0,0,0,2262210.16,0,0.0
23,投资活动现金流出小计,61642810.39,39422266.76,25051624.79,15410914.31,159491904.00,144895529.88,128741698.96,106625842.30,559199889.60,434462178.07,355151968.44,211448062.44,298048919.51,219349578.67,48162151.29,33198085.24,854951879.90,534522387.07,363471683.66,137848435.59,677754722.30,420069985.00,354246409.18,17484742.06,290915275.32,73034914.69,55461405.47,9200305.92,51495969.12,25647659.21,13821850.04,9587667.12,42258295.21,29591764.99,19791802.77,12814380.25,75963903.75,54884093.72,37539096.90,28986021.16,51822889.13,43185871.11,26906051.27,12140335.25,194228154.90,180968965.12,156087071.29,97660046.73,291137927.08,240194386.41,129125785.33,7708774.19,115263474.77,56576442.42,28796229.72,1800527.94,34707029.42,23327842.53,16044568.31,8457812.93,93145698.54,86875722.84,63780438.00,34858113.05,153262445.38,73615630.50,39954509.13,8575253.44,47067244.08,11127892.43,81200193.40,45931472.75,38049029.88,0,0.0
24,投资活动产生的现金流量净额,-39648125.34,-19542436.76,-5238294.79,-15347714.31,90831860.10,97596026.19,105092585.84,-38909995.26,-94930555.97,-27999467.54,-106067966.41,-73201089.84,50608035.03,129469.53,165263329.91,99055062.88,-192197007.03,-159377972.50,-171564943.97,-86474513.57,-418929510.70,-336243846.75,-322211368.15,-16749742.06,-135170356.14,58283650.75,-51907256.07,-8646156.52,-33572701.88,-23478791.97,-13652982.80,14912862.88,-41118057.27,-29278892.89,-19481598.67,-12652376.15,-58292165.94,-47650394.27,-37534396.90,-28981321.16,-47778982.58,-43118897.11,-26856051.27,-12140335.25,-73670728.96,-83123037.40,-59842118.11,-19989360.61,7406182.80,5576566.04,34609604.55,-7708774.19,-59985440.43,-28851350.09,-1038680.67,-1800527.94,-26242846.59,-14634749.29,-7391475.07,-8451887.93,-77231372.82,-61864544.70,-38809468.85,-20266751.24,-123466564.84,-73608514.50,-39947393.13,-8575253.44,-36740133.38,-10723533.55,-78342482.64,-45926672.75,-35134441.45,0,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,0,0,0,0,1487864.00,0,0,0,0,0,0,0,0,0,0,0,13500000.00,13500000.00,13500000.00,13500000.00,510112394.74,510112394.74,510112394.74,510112394.74,0,0,0,0,34300000.00,34300000.00,24500000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24060000.00,1560000.00,340857588.13,337288838.13,0,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13500000.00,13500000.00,0,0,9800000.00,0,0,0,0,0,0,0,34300000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,348192483.67,258570781.98,160603617.42,117616556.23,367531252.86,244551327.81,153036838.19,122246924.24,372783230.75,246673709.45,169887559.43,110209783.72,339826015.86,206925108.59,180238187.34,131682989.13,396163935.57,302025372.72,267033871.13,120236172.93,365000000.00,246000000.00,205000000.00,100000000.00,490000000.00,365000000.00,313000000.00,195000000.00,334000000.00,275000000.00,225000000.00,135000000.00,376000000.00,276000000.00,211000000.00,95000000.00,331000000.00,290000000.00,190000000.00,100000000.00,495000000.00,416000000.00,226000000.00,140000000.00,413000000.00,336000000.00,231000000.00,106000000.00,346000000.00,256000000.00,196000000.00,166000000.00,320000000.00,236000000.00,155000000.00,74000000.00,265600000.00,210600000.00,140600000.00,110600000.00,134500000.00,86500000.00,76000000.00,36000000.00,82000000.00,35000000.00,30000000.00,0,47200000.00,11200000.00,20600000.00,6400000.00,97630000.00,0,0.0
29,发行债券收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253050000.00,253050000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
