,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20041231,20031231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,购建固定资产、无形资产和其他长期资产所支付的现金,11148962.99,8444248.84,4153452.06,143139219.53,108262783.32,73898813.70,25215551.52,331664328.37,135190863.29,50093681.00,23211087.12,154399665.33,85520855.19,54923127.66,20876895.38,64790795.12,32403301.55,21714108.11,13821884.02,55692363.94,39702154.03,36083836.73,19518131.54,115511462.12,93012156.03,68133779.90,35148918.80,184901933.19,132292670.10,63841291.07,28951475.47,158922493.71,84256521.81,53390275.80,29002388.31,165967078.87,126429842.02,110986717.14,63402841.45,306345284.21,255594370.14,116600772.59,24729572.40,217763413.74,205630837.79,163294190.42,70934369.05,163142496.22,171087913.02,153343287.80,100235618.27,127522551.19,80592344.13,68099158.17,44191800.29,56129906.48,20475150.32,17624150.71,0.0
20,投资所支付的现金,0,0,0,124000000.00,78000000.00,78000000.00,78000000.00,8465000.00,0,0,0,241160000.00,244160000.00,80000000.00,314652404.00,0,0,0,0,200000.00,0,0,0,5000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3462500.00,3462500.00,3462500.00,0,0,0,0,0,0,0,0,0,-15894456.59,0,0,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,7378.14,0,0,0,0,0,0,0,438522200.56,442000000.00,430000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000000.00,0,0,0.0
22,支付的其他与投资活动有关的现金,0,0,0,0,0,0,0,3450000.00,0,0,0,13597309.08,0,0,0,5942800.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,投资活动现金流出小计,11148962.99,8444248.84,4153452.06,267146597.67,186262783.32,151898813.70,103215551.52,343579328.37,135190863.29,50093681.00,23211087.12,847679174.97,771680855.19,564923127.66,335529299.38,70733595.12,32403301.55,21714108.11,13821884.02,55892363.94,39702154.03,36083836.73,19518131.54,120511462.12,93012156.03,68133779.90,35148918.80,184901933.19,132292670.10,63841291.07,28951475.47,158922493.71,84256521.81,53390275.80,29002388.31,165967078.87,126429842.02,110986717.14,63402841.45,306345284.21,255594370.14,116600772.59,24729572.40,221225913.74,209093337.79,166756690.42,70934369.05,163142496.22,171087913.02,153343287.80,100235618.27,127522551.19,80592344.13,68099158.17,44191800.29,44235449.89,20475150.32,17624150.71,0.0
24,投资活动产生的现金流量净额,-11097570.99,-8392856.84,-4142060.06,-214124199.21,-182717229.21,-148431553.43,-99765551.52,-143343570.27,-79184886.78,-13173681.00,-23211087.12,-759659174.97,-763660855.19,-564903127.66,-335509299.38,-68733595.12,-30354001.55,-19688308.11,-11821884.02,-55827463.94,-36464077.70,-36055236.73,-19512131.54,-120249999.51,-93012156.03,-68133779.90,-35148918.80,-184803971.09,-132142997.03,-63820291.07,-28930475.47,-158870493.71,-84109524.52,-53390275.80,-29002388.31,-165921078.87,-126429842.02,-110986717.14,-63402841.45,-306265284.21,-255594370.14,-116600772.59,-24729572.40,-221225913.74,-209081337.79,-166756690.42,-70934369.05,-163083000.92,-171035652.50,-153343287.80,-100235618.27,-127522551.19,-80592344.13,-68099158.17,-44191800.29,-44235449.89,-20430150.32,-2713596.19,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,0,0,0,563871327.74,573914000.00,573914000.00,0,0,0,0,0,0.00,0,0,0,1346227600.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559000000.00,559000000.00,559000000.00,559000000.00,15410000.00,0,0,0,250312850.00,0,0,0,0,150000.00,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,631124900.00,541104900.00,259980000.00,1076652243.51,766514697.43,658925610.85,470000000.00,885499701.41,663986660.00,548986660.00,448314860.00,1112980200.00,868625000.00,651940500.00,434615500.00,1592349772.36,1581843631.14,1120596272.36,759146772.36,1663807843.62,1325357000.00,880357000.00,476357000.00,1431450088.00,1127450088.00,655086954.00,315284770.00,1310692600.00,982092600.00,528576073.33,207000000.00,729577180.00,454577180.00,266500000.00,82000000.00,849735492.19,620165670.99,304228667.98,106506911.34,725138282.05,613438282.05,452661628.07,179700000.00,741475343.44,452529092.42,252742184.87,130254966.11,586899215.28,347455092.49,175083148.78,76079630.00,302910312.98,187390187.92,177390187.92,102867090.41,159798200.00,103497100.00,81400000.00,0.0
