,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,购建固定资产、无形资产和其他长期资产所支付的现金,1006563610.62,787172853.41,144011151.22,2397633494.99,1029993244.31,304293776.92,103115076.41,340600778.73,131091860.75,48011611.81,23995930.76,339677152.16,173938785.06,138747159.05,122537699.28,550413954.93,243242102.44,198375250.74,70925384.61,747669162.32,438218456.10,358822437.11,216906045.76,631957238.04,312976778.99,174440974.04,94436252.81,626289064.53,446575328.53,200495429.27,122097807.54,714811103.92,413596918.25,199541081.23,39971605.33,854184574.60,1826187635.51,176753270.37,86212278.60,642215865.14,388851359.64,240719377.65,114055234.45,546887177.13,304357858.84,193496662.77,135782376.94,989265396.66,751552500.53,433640925.80,148700890.68,490684979.96,252972357.08,104532938.44,54400458.75,456381993.03,197528129.67,0.0
20,投资所支付的现金,33674000.00,33674000.00,0,9396450.00,9396450.00,9396450.00,9396450.00,3449650.00,3449650.00,3449650.00,3449650.00,20828500.00,20093700.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000000.00,44000000.00,34000000.00,0,0,0,0,0,0,0,0,0,54000000.00,40000000.00,40000000.00,20000000.00,26048547.00,25213922.00,15213922.00,0,0,0,0,0,24280275.00,19000000.00,19000000.00,18000000.00,15194239.28,9000000.00,0.0
21,取得子公司及其他营业单位支付的现金净额,1310000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7130893.64,0,0.0
22,支付的其他与投资活动有关的现金,0,0,0,30000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17400.00,17400.00,17400.00,17400.00,32503.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,投资活动现金流出小计,2350237610.62,820846853.41,144011151.22,2407059944.99,1039389694.31,313690226.92,112511526.41,344050428.73,134541510.75,51461261.81,27445580.76,360505652.16,194032485.06,138747159.05,122537699.28,550413954.93,243242102.44,198375250.74,70925384.61,817669162.32,438218456.10,358822437.11,216906045.76,631957238.04,312976778.99,174440974.04,94436252.81,676289064.53,490575328.53,234495429.27,122097807.54,714811103.92,413596918.25,199541081.23,39971605.33,854184574.60,1826187635.51,176753270.37,86212278.60,696233265.14,428868759.64,280736777.65,134072634.45,572968227.73,329571780.84,208710584.77,135782376.94,989265396.66,751552500.53,433640925.80,148700890.68,514965254.96,271972357.08,123532938.44,72400458.75,478707125.95,206528129.67,0.0
24,投资活动产生的现金流量净额,-2292437332.12,-763074353.91,-123807651.22,-2282571383.29,-935843958.74,-238427026.92,-65511526.41,-316445975.54,-134540910.75,-51461261.81,-27445580.76,-349001430.50,-189905732.06,-134620406.05,-122537699.28,-547185868.27,-240368189.44,-196425742.74,-69875876.61,-732302335.48,-428927970.10,-356592157.11,-216906045.76,-622379337.83,-312674414.99,-174363610.04,-94358888.81,-581952480.36,-396241354.36,-140816455.10,-71889807.54,-599232658.74,-298500993.07,-119238029.31,-22766972.97,-806404214.48,-1823407275.39,-173972910.25,-86212278.60,-680935827.64,-422571322.14,-275806453.02,-133975834.45,-567605545.73,-329152080.84,-208624884.77,-135696676.94,-714574638.92,-477558509.59,-159667934.86,51020109.32,-474829703.24,-271852907.79,-123421129.15,-72323649.46,-475197989.36,-205604211.72,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,1018920101.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1965039995.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745468000.00,745468000.00,745468000.00,0,0,0,0,0,0,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,7507900000.00,6093850000.00,804000000.00,3811200000.00,3137000000.00,1964000000.00,635800000.00,2510600000.00,2119000000.00,1958000000.00,589000000.00,3374000000.00,2771000000.00,2031000000.00,1079000000.00,4627000000.00,3825000000.00,3197000000.00,1737600000.00,3669800000.00,2659800000.00,1739800000.00,1189800000.00,1836500000.00,1436500000.00,730000000.00,340000000.00,2282000000.00,1592000000.00,929000000.00,602000000.00,1485391497.60,884391497.60,724391497.60,100000000.00,650000000.00,490000000.00,0,0,340000000.00,340000000.00,340000000.00,170000000.00,714000000.00,678000000.00,638000000.00,600000000.00,878400000.00,825400000.00,542400000.00,477000000.00,1030510000.00,738310000.00,512310000.00,205000000.00,1041000000.00,640000000.00,0.0
