,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
46,资产减值准备,0,4999127.16,0,7096351.70,0,2080377.78,0,1852465.37,0,2469514.52,0,4031793.54,0,3012044.44,0,3519093.61,0,2534686.20,0,1146444.44,0,172505.37,0,380565.71,0,-1941664.91,0,1289331.13,0,1100648.01,0,520297.33,0,1085929.84,0,2634531.50,0,1530767.96,0,957974.65,0,1070315.47,0,343935.66,0,-447960.71,1373462.19,0.0
47,固定资产折旧、油气资产折耗、生产性物资折旧,0,47518861.22,0,79864699.10,0,37503173.36,0,73623410.32,0,38010087.85,0,74462460.70,0,36568224.73,0,52946355.42,0,26016589.21,0,47335836.33,0,23098946.64,0,44972849.02,0,22208411.55,0,42364128.73,0,20818920.60,0,35581460.72,0,17255178.39,0,25503529.33,0,11190097.86,0,28429304.32,0,14066105.73,0,23319597.95,0,14188591.79,10801211.79,0.0
48,无形资产摊销,0,2066647.17,0,3872105.11,0,1896561.19,0,3716608.50,0,1864538.65,0,3892306.98,0,1886773.58,0,3236661.20,0,1504342.05,0,3048929.26,0,1524464.61,0,3034468.00,0,1513397.67,0,2848780.08,0,1398466.20,0,2778961.80,0,1389119.87,0,2051270.20,0,1022691.46,0,1652197.88,0,803370.54,0,1606741.01,0,1566741.08,547886.86,0.0
49,长期待摊费用摊销,0,3906518.62,0,2996916.90,0,1243860.64,0,447509.39,0,115062.73,0,117075.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
50,待摊费用的减少,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
51,预提费用的增加,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
52,处置固定资产、无形资产和其他长期资产的损失,0,0,0,92597.16,0,10616.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13179.34,0,0,0,0,0,0,0,0,0,0,0,0.0
53,固定资产报废损失,0,0,0,0,0,0,0,-211351.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
54,公允价值变动损失,0,-836630.00,0,836630.00,0,0,0,0,0,-703300.00,0,-234660.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
55,递延收益增加（减：减少）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
