,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20061231,20051231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
29,发行债券收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,100000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,465400.00,0,0,0,0,400000.00,0,0,0,0,0,0,0,0,0,0.0
31,筹资活动现金流入小计,1431603373.52,826153360.17,222900000.00,938227420.84,769252346.47,578051370.60,397401410.60,796877469.46,544571123.83,346088481.83,115110000.00,1536040038.69,1259150038.69,262529838.69,133446176.10,377074863.86,249434863.86,179910000.00,75700000.00,205010000.00,125260000.00,110260000.00,60110000.00,117010000.00,37210000.00,17210000.00,17210000.00,700537600.00,698390800.00,26910000.00,7000000.00,10010000.00,10010000.00,10010000.00,0,537114360.00,536448960.00,530648960.00,525648960.00,325000000.00,60400000.00,60000000.00,20000000.00,109000000.00,79000000.00,78000000.00,20000000.00,70750000.00,82980806.80,79770615.76,0.0
32,偿还债务支付的现金,695271944.17,374610031.04,306335104.83,603676932.01,423539069.77,379167876.50,258339920.08,465172025.83,359519838.69,329519838.69,213446176.10,420684863.86,229044863.86,159520000.00,113170000.00,232910000.00,145010000.00,135360000.00,90210000.00,127010000.00,86910000.00,66910000.00,66910000.00,206910000.00,91910000.00,57010000.00,47010000.00,125010000.00,10010000.00,10010000.00,0,10000000.00,15800000.00,11000000.00,0,500000.00,500000.00,500000.00,500000.00,183500000.00,31000000.00,31000000.00,1000000.00,90000000.00,60000000.00,60000000.00,50000000.00,62000000.00,88000000.00,33000000.00,0.0
33,分配股利、利润或偿付利息所支付的现金,85901716.31,43725160.05,21673022.51,83136248.20,67494375.11,41360748.39,21119574.92,61612627.21,45699597.12,23872364.07,6993704.54,48632304.97,42579363.49,27696607.55,8609501.57,19263348.57,21178599.30,15718759.31,2712299.19,27348416.64,22633120.19,5448249.44,1393513.67,45306599.83,32431014.04,30363114.86,5039774.21,27430182.92,23106249.72,19893310.04,5229899.65,19640914.69,16481065.81,6847305.55,6579123.51,12191982.83,12094802.54,9336062.27,3856690.95,19900113.23,4261973.71,2768085.21,1940508.33,9775374.88,7304058.88,6417488.28,3967012.16,15716396.91,30767728.74,9003325.75,0.0
34,其中：子公司支付给少数股东的股利、利润,20717236.97,13758236.97,7251036.97,18519039.66,17804419.72,10845419.72,4175400.00,24580300.51,4175400.00,4175400.00,4175400.00,13517880.69,14389994.50,7786280.69,1631060.41,11462885.79,11462885.79,9230565.79,0,1546240.00,1546240.00,1546240.00,0,19150390.74,8308861.12,8308861.12,0,6499250.00,5859250.00,5859250.00,3854174.90,3854174.90,3854174.90,3854174.90,3854174.90,4452537.06,4355356.77,4124060.95,3854920.95,2944599.33,2559299.33,1746208.33,1746208.33,3863999.95,3852833.95,3927063.28,2948203.28,6511803.86,9055194.79,2464625.58,0.0
35,支付其他与筹资活动有关的现金,0,0,0,1897821.46,1817799.09,1817799.09,1841656.87,5876658.24,0,169900.00,0,100000000.00,0,0,0,0,0,0,0,0,0,0,0,200000.00,0,0,0,1306372.03,536372.03,0.00,0,54311858.32,0,0,0,2941577.90,6433286.95,6433286.95,6433286.95,0,19400.00,14400.00,0,132100.63,0,0,0,0,0,39187189.58,0.0
36,筹资活动现金流出小计,781173660.48,418335191.09,328008127.34,688711001.67,492851243.97,422346423.98,281301151.87,532661311.28,405219435.81,353562102.76,220439880.64,569317168.83,271624227.35,187216607.55,121779501.57,252173348.57,166188599.30,151078759.31,92922299.19,154358416.64,109543120.19,72358249.44,68303513.67,252416599.83,124341014.04,87373114.86,52049774.21,153746554.95,33652621.75,29903310.04,5229899.65,83952773.01,32281065.81,17847305.55,6579123.51,15633560.73,19028089.49,16269349.22,10789977.90,203400113.23,35281373.71,33782485.21,2940508.33,99907475.51,67304058.88,66417488.28,53967012.16,77716396.91,118767728.74,81190515.33,0.0
37,筹资活动产生的现金流量净额,650429713.04,407818169.08,-105108127.34,249516419.17,276401102.50,155704946.62,116100258.73,264216158.18,139351688.02,-7473620.93,-105329880.64,966722869.86,987525811.34,75313231.14,11666674.53,124901515.29,83246264.56,28831240.69,-17222299.19,50651583.36,15716879.81,37901750.56,-8193513.67,-135406599.83,-87131014.04,-70163114.86,-34839774.21,546791045.05,664738178.25,-2993310.04,1770100.35,-73942773.01,-22271065.81,-7837305.55,-6579123.51,521480799.27,517420870.51,514379610.78,514858982.10,121599886.77,25118626.29,26217514.79,17059491.67,9092524.49,11695941.12,11582511.72,-33967012.16,-6966396.91,-35786921.94,-1419899.57,0.0
38,四、汇率变动对现金及现金等价物的影响,934231.19,-1437707.93,-2482528.34,7945274.49,8227388.83,-69735.61,-2302993.95,-656252.68,-336375.26,-73603.21,-5990.78,229988.94,158606.30,38616.93,4873.61,190877.09,151432.97,9377.62,16850.04,9333.89,25962.70,30477.38,25298.69,-76657.60,-48177.78,-38740.96,-6856.06,-3796.24,12232.96,7628.63,-4729.68,-148737.40,-115060.62,-60441.48,-21564.41,-100025.60,-59320.21,-14965.75,-853.58,-1613.31,-1364.37,-417.96,145.13,-328854.57,-326878.66,-307328.16,-214859.20,-163663.40,41125.57,-232.60,0.0
