,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,20000630,19991231,19981231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,购建固定资产、无形资产和其他长期资产所支付的现金,113384311.92,76479669.02,3590728.86,178203662.26,134136052.63,96727658.52,48914201.95,165787058.54,123213432.96,80995505.08,29716614.68,439290953.83,373944416.10,247705542.53,101812435.64,741279449.99,479686915.07,338171705.27,182797677.40,448482696.80,453445092.04,206848550.61,91707491.95,856634439.10,620786491.29,386231778.18,178865129.81,711155912.93,74316762.50,40759120.75,14429253.02,225901440.29,111401385.91,76387987.00,67677464.99,108635219.27,41402057.79,27882162.03,21816277.98,138154365.00,104420850.80,38139524.09,11137666.00,166778981.75,57790493.66,41688092.61,19918121.47,46450236.13,40431869.06,40901684.29,8395300.04,74454082.51,57460126.91,42407667.32,12854847.38,72200309.34,57512656.26,34277641.13,11442863.78,46958034.28,30911715.14,11226231.29,7981836.67,80536976.05,30888783.18,24789013.94,10567832.83,119886995.82,72096612.49,353480419.72,152985364.67,167937184.07,50060333.18,447687758.11,82680435.72,0.0
20,投资所支付的现金,17480000.00,17460000.00,0,387574.07,387574.07,0,0,0,13500000.00,0,0,108239086.97,88239086.97,88239086.97,0,450399086.97,118239086.97,118239086.97,10000000.00,22474172.00,9764172.00,0,0,49603624.00,49433624.00,11084224.00,11084224.00,7140000.00,1428000.00,0,0,391793.13,0,0,0,22000000.00,22000000.00,22000000.00,0,1.00,1.00,1.00,0,4673847.18,0,0,0,16142220.97,13169440.00,13169440.00,69440.00,34910745.80,33720979.80,26309972.70,0,31036875.00,31036875.00,18622125.00,15701215.00,0,0,0,0,0,0,0,0,23000000.00,0,14851298.00,72851298.00,46230000.00,59130000.00,10000000.00,0,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234373605.42,240373605.42,240373605.42,0,0,0,0,0,71366545.21,49336158.62,0,0,9425523.83,0,0,0,0,0,0,0,0,0,0,0,14997364.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,20000000.00,20000000.00,0,23413356.78,173000000.00,93000000.00,162425000.00,175010913.42,125000631.16,105000000.00,0,0,0,0,0,15306000.00,15306000.00,15306000.00,0,71534295.87,0,0,0,0,0,0,0,94988.10,0,0,0,155000.00,0,0,0,0,0,0,0,111.15,110.60,0,0,0,0,0,0,242357.42,0,0,0,0,0,0,0,0,0,200000000.00,100000000.00,20000000.00,0,0,0,0.0
23,投资活动现金流出小计,130864311.92,93939669.02,3590728.86,178591236.33,134523626.70,96727658.52,48914201.95,165787058.54,136713432.96,80995505.08,29716614.68,547530040.80,482183503.07,355944629.50,101812435.64,1215091893.74,770926002.04,549410792.24,355222677.40,880341387.64,828583500.62,552222156.03,91707491.95,906238063.10,670220115.29,397316002.18,189949353.81,804968458.14,140386921.12,56065120.75,14429253.02,307253053.12,111401385.91,76387987.00,67677464.99,130635219.27,63402057.79,49882162.03,21816277.98,138249354.10,104420851.80,38139525.09,11137666.00,186605193.69,57790493.66,41688092.61,19918121.47,62592457.10,53601309.06,54071124.29,8464740.04,109364939.46,91181217.31,68717640.02,12854847.38,103237184.34,88549531.26,52899766.13,27144078.78,47200391.70,30911715.14,11226231.29,7981836.67,80536976.05,30888783.18,24789013.94,10567832.83,142886995.82,72096612.49,568331717.72,325836662.67,234167184.07,109190333.18,452687758.11,82680435.72,0.0
24,投资活动产生的现金流量净额,-128731325.37,-93936155.05,-3564278.86,1339770105.33,162375109.39,-85152052.36,-47730135.13,83756440.26,52964046.03,107376797.92,-29709114.68,-434484471.12,-380207573.92,-297450532.78,-87773236.96,-510053843.24,-532342915.20,-389366379.44,-305220317.60,-643580093.85,-753438688.00,-552096094.91,-91694361.95,-858488847.05,-629443802.85,-362663689.74,-189949193.81,-712778283.43,-57996746.41,-10516946.04,28268921.69,-265666226.89,-105759499.37,-70748582.46,-67668464.99,-108267123.88,-59289696.25,-46030018.63,-19215884.48,-40641786.98,-84764193.77,-18866897.86,7796714.64,-79284184.72,49929269.62,48940458.44,69364442.17,224114837.28,70643643.32,-52088848.17,-8445480.04,-48635852.20,-87756726.85,-66645787.46,-10810664.05,-102224400.28,-88499287.27,-52868543.60,-27127785.64,-33346286.85,65037239.03,-10776764.69,-7638516.07,-47848038.61,-30465445.74,-24368553.94,-10567832.83,-25773555.67,-71013612.32,-406248085.26,-176744333.45,-223619776.19,-108979175.98,-412516045.53,-82680435.72,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,11926293.75,11926293.75,11926293.75,11926293.75,69937751.75,55725328.00,16254728.00,0,436809003.08,425556851.08,425556851.08,0,4210526.32,4210526.32,4210526.32,0,778425500.00,30000000.00,0,0,20000000.00,20000000.00,0,0,558661.34,0,0,0,1628421.76,736359.48,0,0,3314110.96,1991393.00,1991393.00,1441393.00,1945333.59,1000000.00,1000000.00,1000000.00,17649219.00,10249219.00,0,0,582000.00,0,0,0,0,1661000000.00,0,0,0,0,0,0,0,0,7824995.55,73835.55,765787799.85,0,0,623400000.00,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,11926293.75,11926293.75,11926293.75,0,69937751.75,55504728.00,16254728.00,0,26324797.00,15960632.29,15960632.29,0,4210526.32,4210526.32,4210526.32,0,59175500.00,30000000.00,0,0,20000000.00,20000000.00,0,0,558661.34,0,0,0,1628421.76,736359.48,0,0,0,0,1991393.00,1441393.00,1945333.59,1000000.00,1000000.00,1000000.00,0,10249219.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,947355041.42,282840000.00,175000000.00,1514531633.00,811076259.05,469705624.05,269505624.05,4676223593.00,3595439621.01,1600384135.62,838423115.62,4379308404.01,3084642757.25,2282283919.19,850919605.87,4555032707.97,3698178039.75,2114204213.52,911139218.74,8556167202.83,7351270697.64,3566539952.43,1204596499.70,7283365614.36,5428740942.46,3663353480.51,1900636516.65,4174317140.37,2960000000.00,2120000000.00,630000000.00,3265394528.35,2765227848.94,1738153144.00,707593381.15,2693156637.39,2264000000.00,1407000000.00,649000000.00,2333799429.21,1899571637.08,1387200000.00,808000000.00,1926750000.00,1367500000.00,838500000.00,528500000.00,2131588348.73,1354944948.73,874464948.73,507414948.73,2149964544.00,1579944544.00,1144944544.00,500000000.00,2272800000.00,1786000000.00,1274000000.00,581000000.00,2480007660.15,0,1091500000.00,561643839.06,2339872682.22,1890290000.00,1594390000.00,755090000.00,1997773034.87,1202923034.87,1933100000.00,1107600000.00,1375910000.00,675000000.00,1278222432.50,391461333.00,0.0
