,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
20,投资所支付的现金,2410000000.00,1870000000.00,1260000000.00,1060000000.00,2567000000.00,1367000000.00,952000000.00,520000000.00,2066000000.00,1555000000.00,966000000.00,543000000.00,811500000.00,444500000.00,214500000.00,169500000.00,674500000.00,564500000.00,290000000.00,70000000.00,400000000.00,220000000.00,65000000.00,15000000.00,110000000.00,30000000.00,0,0,0,0,0,0,0,12500000.00,0,0,0,0,0,0,0,0,0,8000000.00,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49562092.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12371436.26,0,0,0,0,0,0,0,0,0,3000000.00,1540000.00,0.0
22,支付的其他与投资活动有关的现金,0,0,0,0,52631.08,0,0,0,1137556.21,0,0,0,0,0,0,0,3725000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,投资活动现金流出小计,3057898457.06,2491334642.98,1761272085.34,1121816814.76,2859028201.48,1581861687.84,1097602054.94,598142562.63,2152447695.96,1613402073.28,998719520.86,560755681.99,859897080.81,489393559.67,247270125.59,188380538.39,830050883.41,632228340.56,343101577.10,107829532.14,511088781.44,302776739.80,127920761.79,65600728.30,207477126.71,93489620.41,41476936.93,26614099.43,92409790.75,81573307.01,47323439.66,28453165.51,118996810.80,84020792.44,49949567.76,8935244.44,46889787.54,27195459.73,24900203.29,5603565.08,12246284.44,11534152.94,58056083.71,56880612.21,0.0
24,投资活动产生的现金流量净额,-612733642.68,-713719125.59,-930822619.76,-718433777.24,544588345.55,492709458.38,108577348.81,33842516.18,-600225408.94,-276622895.49,-236073105.12,-260691506.05,-322020245.88,-88438327.71,-9772633.36,-21790796.16,-265423232.15,-198252592.08,-60352337.55,33751152.79,-206044929.47,-114249086.30,-60348316.68,-8087351.59,-132120662.14,-93434620.41,-41421936.93,-26559099.43,-92371710.35,-81553846.61,-47320999.66,-28452725.51,-118462604.96,-83528702.60,-49464577.92,-8933494.44,-46808841.04,-27110859.73,-24815603.29,-5603565.08,-12041398.71,-11372435.25,-54844883.71,-56879612.21,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32062505.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523768909.64,0,0,0,0,0,100208659.50,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42500000.00,42500000.00,42500000.00,0,178220000.00,178220000.00,213000000.00,133700000.00,0.0
29,发行债券收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
