,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,20000630,19991231,19981231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,购建固定资产、无形资产和其他长期资产所支付的现金,24095058.50,16346754.55,13298022.09,6346038.57,21750505.55,10165804.25,5928384.97,1901021.70,14182475.48,9417510.39,6323957.89,1818250.37,6312675.78,3204174.26,2202764.86,1115865.48,17876377.33,15302647.88,2001918.00,527032.15,21384740.15,12695117.70,8473910.52,3797254.69,36679783.37,25021335.03,19316544.72,5006950.52,20498830.46,15350536.69,9151216.89,4752160.16,58758882.46,47344431.14,26692683.33,3916969.59,17777778.93,13066870.56,8827338.16,3561460.15,6215047.96,3261630.97,1286868.33,299915.46,19441785.71,11036703.45,4972796.94,3356306.54,22872046.99,18130133.81,15755773.62,7551456.79,58973433.32,44637546.14,24288350.91,7333789.50,116114628.56,54228139.06,2154318.65,981802.02,24081802.86,21803440.11,16716732.30,1754936.51,27503107.38,22926454.44,4256441.21,918837.30,39676953.06,27477028.36,147420070.29,33798813.88,67208616.66,26985368.25,8585904.18,282696516.66,0.0
20,投资所支付的现金,630560000.00,630560000.00,300260000.00,300000000.00,525390000.00,525390000.00,295090000.00,154690000.00,800000000.00,700000000.00,400000000.00,300000000.00,580000000.00,300000000.00,340000000.00,230000000.00,260000000.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3430948.48,0,0,6000.00,4836407.50,1906074060.01,1013255273.91,488893873.24,498908832.96,34665394.50,95236441.62,107304121.50,209000000.00,0,201733078.78,168938897.32,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,1372793.77,1372793.77,1372793.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.50,134516.00,0,0,35000000.00,137265000.00,0,0.0
23,投资活动现金流出小计,654655058.50,646906754.55,313558022.09,306346038.57,547140505.55,535555804.25,301018384.97,156591021.70,814182475.48,709417510.39,406323957.89,301818250.37,586312675.78,303204174.26,342202764.86,231115865.48,277876377.33,15302647.88,2001918.00,527032.15,21384740.15,12695117.70,8473910.52,3797254.69,36679783.37,25021335.03,19316544.72,5006950.52,20498830.46,15350536.69,9151216.89,4752160.16,58758882.46,47344431.14,26692683.33,3916969.59,17777778.93,13066870.56,8827338.16,3561460.15,7587841.73,4634424.74,2659662.10,299915.46,19441785.71,11036703.45,4972796.94,3356306.54,22872046.99,18130133.81,15755773.62,7551456.79,58973433.32,44637546.14,24288350.91,7333789.50,116114628.56,54228139.06,2154318.65,981802.02,27512751.34,21803440.11,16716732.30,1760936.51,32339514.88,1929000514.45,1017511715.12,489812710.54,538585786.02,62142473.36,242791027.91,141102935.38,276208616.66,61985368.25,246717443.57,367165965.32,0.0
24,投资活动产生的现金流量净额,-42560060.43,-338966116.04,-313542662.17,-306341538.57,-138456462.62,-433255103.02,-301015884.97,-156591021.70,-3691144.81,-304183112.40,-305319421.68,-301787658.00,2483299.75,-299103459.01,-341718100.54,-231074355.48,-14236526.90,-15229256.44,-1933390.43,-527032.15,-21245824.61,-12623675.55,-8454768.37,-3778112.54,-36415599.12,-24969193.41,-19263794.49,-4959984.37,-19878700.04,-15087316.67,-8949540.80,-4632443.27,-58193995.64,-47073265.40,-26659717.59,-3888896.16,-14457745.47,-10866716.77,-6642841.36,-3561460.15,-7312418.32,-4430840.07,-2650530.70,-290784.06,-12868397.33,-10984308.45,-4949621.94,-3356306.54,-22652596.99,-18127833.81,-15753473.62,-7549956.79,-58859765.32,-44635546.14,-24288350.91,-7333789.50,-106759524.78,-44929035.28,-1619012.19,-492833.56,-9949791.48,58210259.89,-8741454.59,-1498674.57,63926660.20,-23796957.74,86854843.40,172098.48,-129995035.47,-34216848.49,-131639659.90,-118059292.07,-83521619.77,-56580918.25,-12766321.64,-308143484.42,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7500000.00,7500000.00,14924000.00,10000000.00,0,0,110678570.76,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140000000.00,130000000.00,90000000.00,80000000.00,170000000.00,150000000.00,70000000.00,70000000.00,160000000.00,160000000.00,90000000.00,90000000.00,200000000.00,160000000.00,90000000.00,20000000.00,255000000.00,135000000.00,85000000.00,60000000.00,250000000.00,90000000.00,250000000.00,70000000.00,50000000.00,0,0,0,0.0
