,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,购建固定资产、无形资产和其他长期资产所支付的现金,1236394805.62,957047948.57,575317874.54,332246184.00,1112999948.12,709274097.10,515197420.60,370208880.94,1219485175.61,742670870.79,410867195.82,186311976.38,524055399.28,282157188.65,227172245.18,146995670.97,873326566.91,635328459.32,386700096.24,330326832.91,681722418.30,502235868.53,339450548.53,210041382.59,1108949148.69,762526738.60,493854405.70,276792193.01,858306780.66,541400074.73,358520026.46,204746890.80,929793628.68,661864773.32,439927389.51,233999069.05,725844839.75,430866482.56,323210896.76,220591535.50,837080402.65,740932490.45,489997188.03,226892793.70,1233489952.21,833437592.88,492453954.59,219766365.31,800952255.98,490212577.28,263153120.98,119552773.14,713060821.28,413613410.64,211944261.12,57277037.89,425965036.88,165570020.85,134654016.84,117506441.40,480834461.81,360571125.73,259445156.51,106126882.44,1493712086.42,915994159.37,758526067.64,583308511.51,101910405.31,18045515.08,123383405.47,0.0
20,投资所支付的现金,3000000.00,3000000.00,0,0,0.00,0.00,0,0,200000000.00,100000000.00,100000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215000000.00,399210000.00,100000000.00,250000000.00,300000000.00,150000000.00,0,0,0,0,0,0,0,0,0,0,17556000.00,17556000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25335000.00,0,46631456.39,46631456.39,66033912.38,48033912.38,50900000.00,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184210000.00,0,184210000.00,184210000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,1714891560.00,1279476100.00,700000000.00,0,60000000.00,510000000.00,0,0,230000000.00,210000000.00,70000000.00,220352307.52,45000000.00,165000000.00,95000000.00,230000000.00,185000000.00,177223213.31,150000000.00,50000000.00,0,771597159.56,406597159.56,672500000.00,488402840.44,0,0,0,0,0,0,0,50000000.00,0,0,0,49507.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950000000.00,950000000.00,950000000.00,950000000.00,400000000.00,174842.14,0,0,0,0,0,0,274646456.39,299981456.39,0,0,0,0,208515965.71,0.0
23,投资活动现金流出小计,2954286365.62,2239524048.57,1275317874.54,332246184.00,1172999948.12,1219274097.10,515197420.60,370208880.94,1649485175.61,1052670870.79,580867195.82,406664283.90,569055399.28,447157188.65,322172245.18,376995670.97,1058326566.91,812551672.63,536700096.24,380326832.91,681722418.30,1273833028.09,746047708.09,882541382.59,1597351989.13,762526738.60,493854405.70,276792193.01,1257516780.66,940610074.73,642730026.46,638956890.80,1279793628.68,811864773.32,439927389.51,233999069.05,725894347.54,430866482.56,323210896.76,220591535.50,837080402.65,740932490.45,489997188.03,226892793.70,1251045952.21,850993592.88,492453954.59,219766365.31,800952255.98,490212577.28,263153120.98,119552773.14,1663060821.28,1363613410.64,1161944261.12,1007277037.89,825965036.88,165744862.99,134654016.84,117506441.40,480834461.81,360571125.73,259445156.51,106126882.44,1793693542.81,1215975615.76,805157524.03,629939967.90,167944317.69,66079427.46,382799371.18,0.0
24,投资活动产生的现金流量净额,-1716710610.67,-1422967172.74,-722234293.93,-243200865.86,-714135025.76,-1147009042.35,-168502345.09,-295434398.22,-1477410063.34,-895566531.59,-554495643.65,-388463464.04,-404766483.74,-286051504.11,-271157900.62,-372883684.85,-1014423053.56,-788741401.90,-533841967.99,-380053876.02,196746125.87,-802787270.00,-595252713.29,-880189127.30,-1550765805.61,-718984383.52,-450659785.65,-272671994.60,-1242751950.50,-925209830.99,-639899596.55,-634153676.71,-1259170845.60,-798893293.82,-434991877.10,-232162345.30,-681087435.96,-412273050.83,-304989310.13,-218217641.77,-832346355.79,-736519534.24,-487831989.30,-225944537.06,-1244771820.19,-847121806.04,-488990408.13,-218729517.21,-791577796.24,-437472594.59,-261011378.31,-119552773.14,-1658906386.06,-1360555215.88,-1159223340.43,-1005999115.27,-822106002.48,-162050828.07,-132074506.16,-115943496.99,-466989113.98,-349169569.34,-257899324.03,-105530693.02,-1743339311.15,-1214183405.11,-803832889.24,-629932361.48,-116414949.26,-63703935.73,-322783522.01,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242353041.00,60000000.00,60000000.00,0,0,0,0,0,0,22500000.00,13500000.00,3000000.00,15000000.00,15000000.00,0,0,30000000.00,30000000.00,12000000.00,12000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542245988.55,0,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242353041.00,0,60000000.00,0,0,0,0,0,0,22500000.00,13500000.00,3000000.00,15000000.00,15000000.00,0,0,0,0,12000000.00,12000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,545000000.00,345000000.00,345000000.00,0.00,190600000.00,120600000.00,120600000.00,120600000.00,252790000.00,197560000.00,171350000.00,77720000.00,855190000.00,794970000.00,722730000.00,724800000.00,771440858.76,632893423.23,431578000.00,280460000.00,959523700.00,444077700.00,251727700.00,173537700.00,603074970.71,393074970.71,162727970.71,70000000.00,505300000.00,355300000.00,236300000.00,67300000.00,211000000.00,161000000.00,136000000.00,70000000.00,389400000.00,224900000.00,135000000.00,0,4555000000.00,3050000000.00,2260000000.00,885000000.00,3085000000.00,2045000000.00,1895000000.00,945000000.00,2746000000.00,1521000000.00,1276000000.00,70000000.00,3326000000.00,2135000000.00,1710000000.00,900000000.00,500000000.00,150000000.00,150000000.00,0,580000000.00,125000000.00,125000000.00,65000000.00,633280000.00,208280000.00,0,0,0,0,165000000.00,0.0
