,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
20,投资所支付的现金,26837500.00,6500000.00,6000000.00,0,23027000.00,23027000.00,7027000.00,0.00,24180261.79,49260600.00,45760600.00,6997000.00,57660897.44,57660897.44,912000.00,0,162344662.62,160976662.62,160976662.62,500000.00,6625000.00,2125000.00,2125000.00,2125000.00,22400000.00,26800000.00,21800000.00,21800000.00,11087300.00,21087300.00,21087300.00,0,5333969.50,0,0,0,3743952.27,0,9200285.50,0,450000.00,450000.00,450000.00,0,0,18297370.00,0.0
21,取得子公司及其他营业单位支付的现金净额,140000.00,0,0,6000000.00,157817780.99,157817780.99,157817780.99,152622284.32,45267631.43,167515.91,167515.91,0,14214772.06,14214772.06,14214772.06,6571424.65,20000000.00,20000000.00,20000000.00,14626835.03,59140723.94,61886355.93,61886355.93,39675056.03,10000000.00,0,0,0,9006814.95,0,0.00,0,206000.00,206000.00,206000.00,206000.00,57505614.48,35378021.36,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,132350000.00,149750000.00,32550000.00,5900000.00,43510000.00,109360000.00,62300000.00,146250000.00,326599000.00,330500000.00,12500000.00,60000000.00,282000000.00,192000000.00,90900000.00,105000000.00,155500000.00,166900000.00,24400000.00,0,405000000.00,225000000.00,225000000.00,115000000.00,430000000.00,305000000.00,205000000.00,5994345.00,0.00,246099000.00,221000000.00,80000200.00,32000.00,142000000.00,77000000.00,2000000.00,414000000.00,3050000.00,3050000.00,400000.00,0,0,0,0,300000.00,0,0.0
23,投资活动现金流出小计,263062797.01,228754744.08,64458796.85,19323803.86,265746931.51,318244399.83,248469901.62,306547530.96,431052904.96,404679852.50,76546720.64,72100795.59,374704690.06,279720287.78,117741801.30,119421772.41,364796440.57,367616298.47,219147995.71,20738480.44,510913482.55,323287322.91,310885874.21,167986602.89,581267495.41,434096604.40,293552123.25,44371545.96,118106728.79,335529987.91,287891179.33,112511015.85,89634334.81,198476942.11,117384184.48,17397716.69,536367403.33,86794420.02,42194508.23,17001421.72,59449185.31,47521374.59,33420284.25,12852250.99,78162126.34,44395084.31,0.0
24,投资活动产生的现金流量净额,-188841253.27,-169531919.42,14485003.22,83382033.32,106583313.85,94734180.37,138584012.67,61896713.79,-26461293.68,-48166528.79,51779242.15,4970825.11,-310288300.54,-230688080.63,-98793381.06,-75899897.38,-307018990.79,-276554369.46,-216727577.54,130603468.90,-133922998.00,-25648510.17,-152238056.81,-86975663.59,-192712641.57,-286937968.43,-227264638.75,-38186082.96,346295.81,-56791062.41,-105414978.53,2622734.15,144563164.99,167537557.69,40430315.52,88286983.31,-536085923.03,-86159750.02,-41616838.23,-16601421.72,-59274185.31,-47346374.59,-33245284.25,-12852250.99,-74454126.34,-39568850.89,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,0,0,0,0,3862960.96,3862960.96,3262960.96,0,35326095.90,35109670.08,32109670.08,0,0,0,0,0,100000.00,100000.00,100000.00,0,1600000.00,1600000.00,0,0,6000000.00,6000000.00,6000000.00,3000000.00,6000000.00,6000000.00,3000000.00,3000000.00,10154400.00,10154400.00,7154400.00,0,816300000.00,812800000.00,812800000.00,0,0,0,0,0,0,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,600000.00,600000.00,0,0,120000.00,0,0,0,0,0,0,0,100000.00,100000.00,100000.00,0,1600000.00,1600000.00,0,0,6000000.00,6000000.00,6000000.00,3000000.00,6000000.00,6000000.00,3000000.00,0,10154400.00,10154400.00,7154400.00,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,12983169.54,9992626.34,6785297.30,1834076.00,2143631.25,2143631.25,0,0,1300000.00,1300000.00,0,0,7494819.10,6994819.10,6994819.10,6994819.10,59400000.00,59000000.00,47000000.00,29000000.00,73000000.00,61000000.00,61000000.00,8000000.00,28000000.00,20000000.00,18000000.00,0,2300000.00,0,0,0,0,0,0,0,23000000.00,23000000.00,23000000.00,6000000.00,116000000.00,81000000.00,44000000.00,0,101000000.00,14000000.00,0.0
29,发行债券收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,14291699.00,134582925.68,109619210.64,50778020.96,215520.00,69362135.79,30583321.76,13355573.27,782753.75,8940636.45,5213484.05,1291285.50,8444873.90,12143301.96,10534164.89,9141949.09,26144755.29,43874485.27,36519025.25,7467793.32,5941243.18,13148567.96,8839617.76,3512598.36,10087615.16,8837115.16,8837115.16,1500141.16,6356273.94,0,0.00,0,21285798.94,25700502.34,21285798.94,11059732.74,5331449.75,5265805.20,5265805.20,4296698.72,6427511.43,8914856.87,6893083.30,4070769.32,8076131.50,1090762.90,0.0
31,筹资活动现金流入小计,27274868.54,144575552.02,116404507.94,52612096.96,6222112.21,75368728.00,33846282.72,13355573.27,37408849.65,45350306.53,37323154.13,1291285.50,15939693.00,19138121.06,17528983.99,16136768.19,85644755.29,102974485.27,83619025.25,36467793.32,80541243.18,75748567.96,69839617.76,11512598.36,44087615.16,34837115.16,32837115.16,4500141.16,14656273.94,6000000.00,3000000.00,3000000.00,31440198.94,35854902.34,28440198.94,11059732.74,844631449.75,841065805.20,841065805.20,10296698.72,122427511.43,89914856.87,50893083.30,4070769.32,109076131.50,15090762.90,0.0
32,偿还债务支付的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48000000.00,30000000.00,10000000.00,7000000.00,62000000.00,35000000.00,23000000.00,0,0,0,0,0,28731000.00,7131000.00,7131000.00,0,0,0,0,0,100000000.00,107046349.22,94000000.00,6000000.00,107000000.00,67000000.00,35000000.00,15000000.00,41000000.00,11000000.00,0.0
33,分配股利、利润或偿付利息所支付的现金,48880684.10,47770908.67,48301549.43,0,68751852.22,68751852.22,68552617.05,0,39673200.00,39673200.00,39673200.00,0,34273200.00,34273200.00,34273200.00,0,33389557.78,33245077.78,32759682.79,437528.91,28401700.04,27841700.04,27259833.36,331500.02,21029966.73,20812046.91,20365066.67,0,15997036.89,15600000.00,0.00,0,18016839.63,18000000.00,18000000.00,0,1511104.72,1320965.76,1266980.76,514295.63,24116510.43,22850931.19,21490264.66,882431.91,21651643.51,19283876.80,0.0
34,其中：子公司支付给少数股东的股利、利润,0,0,0,0,0,0,0,0,5400000.00,5400000.00,5400000.00,0,0,0,0,0,5400000.00,5400000.00,5400000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800000.00,0.0
