,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
31,筹资活动现金流入小计,27372419.66,29618466.94,27898466.94,8447896.16,9420610.77,0.00,0.00,0.00,21500000.00,3363333.33,0.00,0.00,1361489067.93,1312834067.96,1312429930.08,1642204.66,373600469.68,263635751.18,183648235.77,11950876.67,44992292.92,33100862.76,15895523.35,15341741.70,32279248.02,23662384.84,19238880.00,19200000.00,35306675.36,34997782.86,17960255.36,0.00,2000000.00,0.00,0.00,0,1000000.00,0,0,0,344100000.00,344100000.00,17500000.00,17500000.00,60750000.00,45050000.00,10000000.00,15400000.00,0.0
32,偿还债务支付的现金,9890316.14,27052139.57,27052139.57,4872951.18,0,0,0,0,0,0,0,0,358534946.06,306000000.00,202000000.00,2000000.00,50000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15263888.89,14827777.78,2616666.66,1308333.33,10436111.11,10000000.00,10000000.00,9600000.00,0.0
33,分配股利、利润或偿付利息所支付的现金,788212.98,1147154.99,1147154.99,0,1471410.21,0,0,0,119984357.92,119355980.84,119355980.84,0,8854084.44,8423953.96,6893420.11,109321.22,109800350.73,103800290.28,431684.31,0,106042285.96,106042285.96,107441848.69,0,52645526.01,52645526.01,43993098.68,0,26800000.00,26800000.00,26800000.00,0,13400000.00,13400000.00,13400000.00,0,13400000.00,13400000.00,13400000.00,0,624688.30,562156.51,432055.83,227118.50,10154383.85,10000000.00,826512.00,541063.20,0.0
34,其中：子公司支付给少数股东的股利、利润,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,支付其他与筹资活动有关的现金,14607395.07,13097076.27,10160155.07,10160155.07,35709486.72,33710175.87,11712420.29,0,67114360.00,57120360.00,12418460.00,6000.00,65675040.00,330284.81,280238.44,182.70,2345050.90,2344967.00,1876560.29,0,296219.44,237562.32,237562.32,0,139197.07,139197.07,139197.07,0,151583.27,0,0,0,162371.41,0,0,0,1325551.00,1325551.00,1325551.00,0,4030000.00,0,0,0,17526000.00,0,0,0,0.0
36,筹资活动现金流出小计,25285924.19,41296370.83,38359449.63,15033106.25,37180896.93,33710175.87,11712420.29,0.00,187098717.92,176476340.84,131774440.84,6000.00,433064070.50,314754238.77,209173658.55,2109503.92,162145401.63,106145257.28,2308244.60,0.00,106338505.40,106279848.28,107679411.01,0.00,52784723.08,52784723.08,44132295.75,0.00,26951583.27,26800000.00,26800000.00,0.00,13562371.41,13400000.00,13400000.00,0,14725551.00,14725551.00,14725551.00,0,19918577.19,15389934.29,3048722.49,1535451.83,38116494.96,20000000.00,10826512.00,10141063.20,0.0
37,筹资活动产生的现金流量净额,2086495.47,-11677903.89,-10460982.69,-6585210.09,-27760286.16,-33710175.87,-11712420.29,0.00,-165598717.92,-173113007.51,-131774440.84,-6000.00,928424997.43,998079829.19,1103256271.53,-467299.26,211455068.05,157490493.90,181339991.17,11950876.67,-61346212.48,-73178985.52,-91783887.66,15341741.70,-20505475.06,-29122338.24,-24893415.75,19200000.00,8355092.09,8197782.86,-8839744.64,0.00,-11562371.41,-13400000.00,-13400000.00,0,-13725551.00,-14725551.00,-14725551.00,0,324181422.81,328710065.71,14451277.51,15964548.17,22633505.04,25050000.00,-826512.00,5258936.80,0.0
38,四、汇率变动对现金及现金等价物的影响,4323.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8296.10,0,0,0,0,0,0,0,0,0,0,0,-0.47,0,0,0,0,0,0,0,-105.00,-105.00,-100.98,0,-3098.01,-2483.60,-1463.60,-60.96,-1432.28,-4870.23,-12.28,-14381.59,0.0
39,五、现金及现金等价物净增加额,-13596223.87,-50261658.65,76225577.43,65925893.52,-142841561.36,-360255320.22,-319938589.84,-654382183.83,222512689.05,-532409633.46,-235677417.35,-284654507.08,430268015.15,668389607.60,805943901.71,-209377126.37,-135864328.51,-418304367.30,-251879232.69,-179527166.47,142843571.47,-255513316.95,-258911780.28,-127584655.00,143706628.31,-72848013.72,-169244118.63,-35643298.33,222418985.82,-44041702.86,-44446225.81,-63552493.60,-14325507.37,-91484681.75,-76385647.26,-27525860.73,-30137362.45,-78876730.93,-98142021.75,-81487108.63,363483579.37,349306374.97,14791109.01,8465606.23,35720040.19,41419060.29,48779.79,6296476.92,0.0
40,加:期初现金及现金等价物余额,1248124788.83,1248124788.83,1248124788.83,1248124788.83,1390966350.19,1390966350.19,1390966350.19,1390966350.19,1168453661.14,1168453661.14,1168453661.14,1168453661.14,738185645.99,738185645.99,738185645.99,738185645.99,874049974.50,874049974.50,874049974.50,874049974.50,731206403.03,731206403.03,731206403.03,731206403.03,587499774.72,587499774.72,587499774.72,587499774.72,365080788.90,365080788.90,365080788.90,365080788.90,379406296.27,379406296.27,379406296.27,379406296.27,409543658.72,409543658.72,409543658.72,409543658.72,46060079.35,46060079.35,46060079.35,46060079.35,10340039.16,10340039.16,10291259.37,3994782.45,0.0
41,六、期末现金及现金等价物余额,1234528564.96,1197863130.18,1324350366.26,1314050682.35,1248124788.83,1030711029.97,1071027760.35,736584166.36,1390966350.19,636044027.68,932776243.79,883799154.06,1168453661.14,1406575253.59,1544129547.70,528808519.62,738185645.99,455745607.20,622170741.81,694522808.03,874049974.50,475693086.08,472294622.75,603621748.03,731206403.03,514651761.00,418255656.09,551856476.39,587499774.72,321039086.04,320634563.09,301528295.30,365080788.90,287921614.52,303020649.01,351880435.54,379406296.27,330666927.79,311401636.97,328056550.09,409543658.72,395366454.32,60851188.36,54525685.58,46060079.35,50803677.95,10340039.16,10291259.37,0.0
42,附注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,净利润,105590441.68,0,82050407.21,0,-226755870.90,0,20709352.44,0,-117922419.67,0,73795384.15,0,112248434.81,0,75470906.84,0,252862829.85,0,118995978.44,0,282040368.57,0,114448032.13,0,241436835.62,0,96348199.42,0,168304197.51,0,59219228.33,0,107151778.05,0,43534502.06,0,53895442.23,0,25256329.38,0,44034027.38,0,18847176.95,0,25509813.93,0,10980785.86,3145091.47,0.0
44,少数股东权益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
45,未确认的投资损失,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
46,资产减值准备,37177944.38,0,10326172.31,0,267877102.16,0,47419190.07,0,250283610.52,0,-22167717.06,0,57843834.12,0,-1850557.61,0,57171693.94,0,11958469.16,0,53358807.57,0,20285125.04,0,44942974.88,0,-608592.85,0,25871757.61,0,-7532947.90,0,25509332.86,0,52601.82,0,3250687.48,0,76395.81,0,4087767.58,0,156196.83,0,723740.69,0,-312271.17,362583.07,0.0
47,固定资产折旧、油气资产折耗、生产性物资折旧,8115870.85,0,4463453.48,0,11630262.65,0,7093895.96,0,15274095.39,0,7011014.24,0,9416907.75,0,4174448.12,0,8649206.52,0,3709292.97,0,8696776.35,0,4204976.54,0,8770351.14,0,4201057.72,0,8420367.58,0,3977445.85,0,4769972.06,0,2149704.59,0,3178228.12,0,1395868.33,0,1530193.43,0,724884.45,0,696815.64,0,928986.30,816082.57,0.0
48,无形资产摊销,4315428.78,0,1947601.66,0,4913763.75,0,2030365.57,0,4462508.42,0,2156449.18,0,5513708.53,0,2450413.59,0,4197963.63,0,1832952.43,0,3611498.45,0,1509145.22,0,2452560.35,0,1193540.79,0,2167806.11,0,652362.03,0,570136.27,0,369480.78,0,304256.71,0,137006.96,0,262660.18,0,105568.16,0,131323.11,0,62511.51,47880.04,0.0
49,长期待摊费用摊销,2854532.09,0,325431.60,0,11287178.77,0,2566813.54,0,2302763.46,0,2075603.98,0,4015324.00,0,1743371.82,0,746083.95,0,306282.76,0,1246576.49,0,698022.88,0,1963896.94,0,1055194.72,0,2713952.62,0,1962527.01,0,2993139.92,0,2116609.06,0,1834888.82,0,1463095.25,0,1350750.67,0,317151.98,0,1048007.50,0,202492.08,280619.47,0.0
50,待摊费用的减少,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
51,预提费用的增加,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
52,处置固定资产、无形资产和其他长期资产的损失,-42671350.77,0,-42643321.31,0,90132.53,0,2585.74,0,14023.07,0,3191.24,0,88361.41,0,115375.74,0,24487.87,0,23560.30,0,65604.76,0,7228.86,0,8608.61,0,4799.54,0,-13222.97,0,-13222.97,0,105532.73,0,40872.71,0,22401.41,0,22365.64,0,109094.09,0,35828.01,0,774435.94,0,36557.75,0,0.0
53,固定资产报废损失,0,0,0,0,0,0,0,0,5142.07,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
54,公允价值变动损失,-7088398.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
55,递延收益增加（减：减少）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
56,预计负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
57,财务费用,792536.89,0,1159514.67,0,1471410.21,0,0,0,628377.08,0,-10340126.31,0,9273783.62,0,6893420.11,0,7324761.06,0,432528.68,0,25328.01,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,-2059869.60,0,0,0,-1682747.12,0,624688.30,0,396512.57,0,297751.10,0,892512.01,823814.21,0.0
58,投资损失,-5561249.03,0,2211053.03,0,-17393958.99,0,-10108053.85,0,-31579321.75,0,-3571552.51,0,-1591637.42,0,-13080.63,0,-206065.03,0,-403615.00,0,-2876487.61,0,-1233041.46,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-162377.71,0,0,0,0.0
59,递延所得税资产减少,7085164.40,0,1203519.88,0,7762810.99,0,5725308.45,0,-1966888.54,0,2728753.20,0,-18980132.04,0,-998351.80,0,-11933551.58,0,0,0,-5791845.88,0,0,0,-10665167.85,0,0,0,-8631827.85,0,0,0,-8055171.98,0,0,0,-347712.92,0,0,0,-521320.89,0,-39049.20,0,-111265.83,0,118603.11,-106772.40,0.0
60,递延所得税负债增加,0,0,0,0,-384726.95,0,-361515.11,0,-1312282.59,0,-572980.98,0,-5335495.63,0,-3269208.95,0,8068623.83,0,0,0,0,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
61,存货的减少,-48067864.08,0,76143515.79,0,-33288619.87,0,-78357402.35,0,-10057516.06,0,13521163.50,0,246504127.20,0,-40397599.36,0,-226103675.65,0,-49260425.66,0,-57766940.20,0,-48318127.73,0,-169844895.76,0,-55047761.40,0,-9795227.60,0,67747143.40,0,-113671371.15,0,-25104943.44,0,-21036856.89,0,6849248.59,0,-22524169.56,0,6092125.30,0,-15854664.18,0,-17783461.23,-5780829.52,0.0
62,经营性应收项目的减少,-201164872.78,0,-99434433.41,0,-1361315.31,0,-5959076.31,0,-207453527.92,0,-71357229.29,0,-135146532.64,0,-160774340.77,0,-364073982.64,0,-57959593.30,0,-30027220.35,0,-13467337.67,0,-81811412.09,0,92945877.99,0,-28616971.93,0,-25073025.79,0,-15429881.54,0,-27737555.77,0,-8794097.67,0,-14045510.68,0,-4181064.75,0,-1714189.62,0,8761715.20,0,-3634216.55,127247.19,0.0
