,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010930,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,购建固定资产、无形资产和其他长期资产所支付的现金,6239118115.22,4552210216.22,1853592838.35,7314652863.53,4593658131.08,2052320460.86,874566086.57,5410550683.93,3524122280.77,1859932674.80,1226181909.55,4432569119.75,2581153939.00,1799714100.00,167591900.00,952996407.00,225485736.00,146759356.00,84537979.00,687649611.00,738464534.00,515258610.00,315914615.00,429476281.00,347213960.00,223385162.00,257937211.00,462891906.00,191414492.00,123507321.00,90198302.00,355631143.00,224249604.00,200765077.00,211169457.00,596129287.00,288371083.00,180089240.00,101336377.00,941865880.00,645211775.00,428921528.00,394818028.00,2515136655.00,1289214149.00,115469450.00,144847680.00,1314058302.00,580288489.00,324454012.00,162817486.00,1597271964.00,1144607264.00,613816255.00,187963444.00,1116020912.00,866316668.00,564148698.00,207871266.00,180016573.00,20066431.00,18347016.00,5387935.00,83612281.00,7640874.00,4680695.00,423325.00,837827954.00,685543973.00,5377515.00,4107915.00,6430459.00,0.0
20,投资所支付的现金,1456080000.00,1456080000.00,0,7023416707.60,442100000.00,434000000.00,0,7242799971.22,0,12500000.00,12500000.00,3904499993.27,2403503910.00,73713400.00,73713400.00,0,12500000.00,0,0,0,823425252.00,0,0,0,62245712.00,136500000.00,71000000.00,0,344171417.00,87360000.00,0,515067300.00,500000000.00,25500000.00,0,0,0,0,0,0,0,0,0,519183000.00,528000000.00,0,0,0,0,0,0,0,0,0,0,0,0,20000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,51000000.00,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,2782651157.26,1536695647.98,9578632.78,9578632.78,0,37500000.00,10000000.00,10000000.00,146503916.41,0,0,0,171594317.00,0,0,0,1118924952.00,99949700.00,99949700.00,0,141082712.00,0,0,0,344171416.00,0,0,49920000.00,0,0,0,0,0,0,0,0,0,0,0,0,528000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,500000000.00,0,0,500530000.00,4600000000.00,2200000000.00,1130000000.00,10824016.29,9573488.75,7621666.58,6743214.58,117821363.86,1575484800.00,1039612050.00,17861283.00,297973571.00,510243327.00,482413496.00,467463450.00,1834998299.00,116666856.00,921220317.00,95861695.00,1024910573.00,851622548.00,767395578.00,80909829.00,235748435.00,224202429.00,183634775.00,130196377.00,732925224.00,339393885.00,236318891.00,0,0,0,0,0,0,0,0,0,0,0,0,75837.00,0,0,0,0,0,20501721.00,10501721.00,12573751.00,15000000.00,0,99957970.00,103195087.00,7000000.00,103320000.00,107320000.00,0,3000000.00,0,0,0,0,0,0,0,30000000.00,0.0
23,投资活动现金流出小计,8195198115.22,6008290216.22,1853592838.35,17621250728.39,11172453779.06,4695899093.64,2014144719.35,12664174671.44,3571195769.52,1890054341.38,1255425124.13,8601394393.29,6560142649.00,2913039550.00,259166583.00,1422564295.00,748229063.00,629172852.00,552001429.00,3641572862.00,1778506342.00,1536428627.00,411776310.00,1595469566.00,1261082220.00,1127280740.00,409847040.00,1042811757.00,759788338.00,394502096.00,270314679.00,1603623667.00,1063643489.00,462583968.00,211169457.00,596129287.00,288371083.00,180089240.00,101336377.00,941865880.00,645211775.00,428921528.00,394818028.00,3562319655.00,1817214149.00,115469450.00,144923517.00,1314058302.00,580288489.00,324454012.00,162817486.00,1597271964.00,1165108985.00,624317976.00,200537195.00,1214654511.00,866316668.00,684106668.00,311066353.00,187016573.00,123386431.00,125667016.00,5387935.00,86612281.00,7640874.00,4680695.00,423325.00,837827954.00,685543973.00,5377515.00,4107915.00,87430459.00,0.0
24,投资活动产生的现金流量净额,-6136377773.78,-4046971375.04,-246659839.35,-8368826238.63,-4348204144.74,1213024472.73,-803573385.45,-9934461897.07,-1440144636.88,-945068165.18,-355423704.13,-3343360967.50,-981327697.00,-1941683686.00,28833417.00,-46545060.00,717662110.00,459337843.00,259045515.00,-2821211487.00,-1758309495.00,-1516428627.00,-411775788.00,-903453552.00,-623205685.00,-491796518.00,-265562818.00,-1029894929.00,-753385412.00,-390737585.00,-267361726.00,-1571295597.00,-1054375776.00,-457601318.00,-211169457.00,-590526792.00,-283715342.00,-175434819.00,-101336377.00,-932897958.00,-636811775.00,-420521528.00,-394818028.00,-3558534970.00,-1813614149.00,-111869450.00,-144923517.00,-1313832617.00,-580288489.00,-324454012.00,-162817486.00,-1572271964.00,-1165108985.00,-624317976.00,-200537195.00,-1191068950.00,-866316668.00,-684106668.00,-311066353.00,-102919483.00,-123386431.00,-118939494.00,-5387935.00,-85592460.00,-7040874.00,-4680695.00,-423325.00,-834014187.00,-685543973.00,-1674775.00,-2214011.00,-87430459.00,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4900000.00,4900000.00,4900000.00,0,92900000.00,92900000.00,92900000.00,92900000.00,433500000.00,254500000.00,254500000.00,24500000.00,24500000.00,24500000.00,0,0,40000000.00,0,0,0,0,0,0,0,85490000.00,85490000.00,0,0,16000000.00,0,0,0,0,996000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1294538841.00,1306742511.00,0,0,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4900000.00,4900000.00,4900000.00,0,92900000.00,92900000.00,92900000.00,92900000.00,433500000.00,254500000.00,254500000.00,24500000.00,24500000.00,24500000.00,0,0,40000000.00,0,0,0,0,0,0,0,0,0,0,0,16000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,10247849747.62,8525400000.00,1563400000.00,10704110000.00,5346200000.00,2013200000.00,526960000.00,7427910000.00,66000000.00,66000000.00,66000000.00,7716320450.00,7658500000.00,7658500000.00,1500000000.00,792341486.00,566836660.00,560256660.00,348527222.00,4986641875.00,5074128000.00,3250128000.00,1354300000.00,4263142808.00,3671145676.00,2453300000.00,1600000000.00,5219400000.00,4226000000.00,3626000000.00,2962000000.00,1200000000.00,850000000.00,400000000.00,0,868000000.00,868000000.00,650000000.00,550000000.00,1130000000.00,1130000000.00,1030000000.00,530000000.00,3360000000.00,2010000000.00,0,0,100000000.00,1042000000.00,0,8000000.00,1110000000.00,100000000.00,0,0,5000000.00,5000000.00,0,0,112000000.00,112000000.00,112000000.00,12000000.00,210000000.00,0,0,0,167000000.00,0,0,0,50000000.00,0.0
