,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,购建固定资产、无形资产和其他长期资产所支付的现金,129341215.34,122205980.81,35617210.92,20021140.37,105297945.08,62998611.20,44214920.93,30389361.80,27890598.95,10443324.85,9238851.02,2772777.85,108994063.21,94557946.04,87565621.07,42266782.92,106497179.22,73496713.59,50571592.01,13725206.41,57413924.77,34928387.85,29424708.49,18057111.77,58874745.85,43138754.15,26328761.03,16642596.83,35989292.67,16910679.86,13177292.92,3936744.28,142336473.10,135541944.00,38402731.00,33468216.00,28027280.97,3672944.34,2905127.02,1206468.20,6459499.00,4959822.24,2830064.00,1787926.00,25695868.00,15152764.00,7701693.03,7618624.21,0.0
20,投资所支付的现金,12610000.00,0,0,0,0,0,0,14000000.00,0,20000000.00,20000000.00,20000000.00,0,32580000.00,32580000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5729620.00,607335.00,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,15441446.86,15441547.10,15441547.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3932699.33,3783198.63,3783198.63,0,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,413689681.69,722060000.00,645860000.00,108000000.00,300000.00,2062500000.00,1491000000.00,849500000.00,31511387.74,251230000.00,163230000.00,61330000.00,180060000.00,158551000.00,96500000.00,0,0,293000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,投资活动现金流出小计,555640897.03,844265980.81,681477210.92,128021140.37,121039391.94,2140940158.30,1550656468.03,893889361.80,59401986.69,281673324.85,192468851.02,84102777.85,289054063.21,285688946.04,216645621.07,42266782.92,106497179.22,366496713.59,50571592.01,13725206.41,57413924.77,34928387.85,29424708.49,18057111.77,58874745.85,43138754.15,26328761.03,16642596.83,35989292.67,16910679.86,13177292.92,3936744.28,142336473.10,135541944.00,38402731.00,33468216.00,31959980.30,7456142.97,6688325.65,1206468.20,6459499.00,4959822.24,2830064.00,1787926.00,25695868.00,15152764.00,13431313.03,8225959.21,0.0
24,投资活动产生的现金流量净额,-542343847.05,-542398439.04,-483537159.56,-12003039.01,-49685711.32,-534965759.28,-517459259.41,-14039760.03,25612493.18,89520888.07,39167853.31,44266039.89,-105330289.04,-100644511.96,-120969195.74,-15611594.92,130375396.21,-182573101.91,32442050.70,16323037.30,-35156343.10,-24057487.85,-27620619.49,-17063511.77,-49488793.85,-40920554.15,-24726761.03,-15616596.83,-15981162.67,-13900079.86,-12677292.92,-3436744.28,-138003873.10,-133591944.00,-36452731.00,-33468216.00,-21726780.30,-7456142.97,-6688325.65,-1206468.20,-6459499.00,-4959822.24,-2830064.00,-1787926.00,-25629868.01,-15146078.59,-4995461.96,-6798851.27,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,856928800.00,0,0,0,0,0,5000000.00,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000.00,10000000.00,10000000.00,0,7500000.00,0,0,0,0.0
