,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030630,20021231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,购建固定资产、无形资产和其他长期资产所支付的现金,218369115.86,84230171.67,31657079.75,146639523.76,120154144.66,74753816.95,47546405.64,97811720.16,50405191.53,31748969.67,20433597.25,172454063.80,47207191.26,24536465.81,16527224.65,111978718.99,90540996.12,57547204.85,34432141.03,96603916.29,70479500.51,32266338.61,22656870.69,66201970.75,49276508.83,34920383.99,20528977.95,21529483.52,18014899.36,9495073.22,3650816.14,25320855.21,17476314.54,10485566.72,3336879.59,11884316.23,7421396.93,3674383.17,1814025.91,14351009.13,10590195.85,5746200.78,31382926.57,24805507.45,44851487.87,28276039.49,18163721.69,59429287.42,45465694.31,17466381.20,10946012.16,34760073.13,32723819.83,29300256.66,27303257.56,27816204.57,24741158.51,21232645.85,10921046.29,61361909.37,44267299.39,33601611.76,4986646.35,16401440.24,8156749.87,8862982.18,0.0
20,投资所支付的现金,5848799115.09,3032784167.41,1596133836.41,7472922219.61,5252608291.31,3936196063.45,2550328328.68,6696480791.28,5237880911.09,2943353428.80,1183256775.54,5747285622.76,4107226197.08,2674905084.22,1535617304.79,4734323396.62,3357127077.28,2230625719.66,992432489.67,2943522372.22,1844407399.72,1217442849.72,394879963.52,2845253709.65,1879787517.54,1093436590.00,527100000.00,1876636263.78,1182411053.65,717411053.65,504904053.65,1625201972.50,1271155472.50,1191936297.50,776110785.00,507564104.72,256594809.72,239013469.53,150529195.00,471088758.67,376564474.50,286277730.18,198656730.18,603906850.63,320749485.23,84004813.78,33989157.39,247231389.70,199807072.87,180166729.31,15167549.94,98903365.93,58070868.00,47171009.33,25000000.00,38998632.79,50435817.22,35969289.00,6300000.00,111475661.85,107805661.85,79705661.85,27925760.00,94908241.78,21400000.00,11639104.02,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,299446563.22,11218414.36,0,0,146220.29,80000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41972274.89,62793808.95,50428808.95,59082000.00,13229743.59,0,0,0,2730917.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,0,0,0,326156.84,0,0,0,14000000.00,14000000.00,9500000.00,0,7000000.00,0,0,0,588282836.21,583477750.21,583477750.21,0,0,0,0,0,0,8805913.90,8805913.90,883908.90,1085000.00,965000.00,410000.00,50000.00,31996739.95,1034000.30,1034000.30,0,26358892.32,50000.00,50000.00,0,30000000.00,0,0,0,4319879.82,0,0,0,56983476.25,84759.90,84759.90,84759.90,50000.00,13957200.00,13957200.00,12912200.00,14321169.40,1721169.40,1827815.00,476000.00,15000000.00,0,0,1093000.00,0,0,0,0.0
23,投资活动现金流出小计,6067168230.95,3117014339.08,1627790916.16,7619887900.21,5372762435.97,4010949880.40,2597874734.32,7107739074.66,5313504516.98,2984602398.47,1203690372.79,5926885906.85,4154513388.34,2699441550.03,1552144529.44,5434584951.82,4031145823.61,2871650674.72,1026864630.70,3040126288.51,1914886900.23,1249709188.33,417536834.21,2911455680.40,1937869940.27,1137162887.89,548512886.85,1898165747.30,1201390953.01,727316126.87,508604869.79,1682519567.66,1289665787.34,1203455864.52,779447664.59,587779588.16,326860015.60,293166661.65,211425220.91,528669511.39,387154670.35,292023930.96,230039656.75,635763155.25,365600973.10,112280853.27,52152879.08,363644153.37,245357527.08,197717870.41,26198322.00,133713439.06,104751887.83,90428465.99,65215457.56,81136006.76,76898145.13,59029749.85,17697046.29,187837571.22,152072961.24,113307273.61,34005406.35,111309682.02,29556749.87,20502086.20,0.0
24,投资活动产生的现金流量净额,138882877.67,511904214.77,489773943.43,-393722222.18,168528388.82,484258015.25,352684302.63,-680392928.48,83908841.21,290996185.73,342928720.66,-491578940.09,264786457.49,383906646.07,192615303.42,-1403102989.93,-858132342.85,-711857825.50,-3866732.27,-362719797.75,154823603.10,267818974.91,160923322.77,-323928129.76,175720771.52,255103539.40,70175748.98,-366747533.14,-49713372.39,-14539029.49,-15522171.41,1671001.81,25130819.67,38654515.64,131577171.56,-366818972.87,-191672733.65,-167314883.66,-120577574.53,85848006.45,122234706.60,161013539.43,-16004055.27,-137069743.26,-88611201.44,-28069555.56,-24879809.24,-132524105.84,-62133380.21,-47578224.42,-13855926.59,-12415801.65,-21070746.05,-22342697.94,-40863393.56,649393.80,-41107484.45,-31564590.74,6348028.69,-55579125.40,-54278385.03,-33851605.76,-27499856.35,-102539795.48,-27097703.47,-14903800.65,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,50173862.40,50173862.40,15553862.40,103778000.00,42200000.00,42200000.00,42370000.00,126453545.00,72178545.00,23835000.00,6000000.00,260800000.00,92800000.00,24000000.00,24000000.00,332886200.00,336817000.00,336817000.00,0,26655000.00,26655000.00,0,0,1070139.54,475617.54,475617.54,0,2728386.46,0,0,0,26500000.00,0,0,0,0,0,0,0,82182702.50,21000000.00,35000000.00,0,140000.00,0,0,0,14600000.00,0,0,0,107155.50,0,0,0,10883373.38,795000.00,795000.00,0,0,0,0,0,251113585.00,60000.00,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,50173862.40,50173862.40,15553862.40,103778000.00,42200000.00,42200000.00,32000000.00,126453545.00,62100000.00,23835000.00,6000000.00,260800000.00,24000000.00,0,24000000.00,332886200.00,336817000.00,336817000.00,0,26655000.00,26655000.00,0,0,0,0,0,0,1663963.87,0,0,0,26500000.00,0,0,0,0,0,0,0,82182702.50,0,0,0,0,0,0,0,14600000.00,0,0,0,107155.50,0,0,0,0,0,0,0,0,0,0,0,0,60000.00,0,0.0
28,取得借款收到的现金,249910047.03,243047295.03,240000000.00,150000000.00,100000000.00,100000000.00,100000000.00,0,0,0,0,0,0,0,0,0,0,0,0,30130000.00,30130000.00,11210000.00,7310000.00,16330000.00,7900000.00,0,0,2250000.00,2250000.00,2250000.00,0,0,0,0,0,250650000.00,259650000.00,156000000.00,0,50000000.00,50000000.00,50000000.00,32000000.00,10000000.00,10000000.00,8000000.00,8000000.00,126000000.00,94750000.00,91750000.00,43750000.00,158000000.00,100250000.00,100250000.00,20000000.00,77000000.00,77000000.00,58504100.00,10000000.00,86500000.00,77280000.00,33280000.00,0,104000000.00,69000000.00,48000000.00,0.0
