,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20081231,20071231,20061231,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
20,投资所支付的现金,40000000.00,0,0,0,0,0,0,240000000.00,240000000.00,240000000.00,240000000.00,994990000.00,562990000.00,0,0,70000000.00,70000000.00,70000000.00,52000000.00,370475992.15,221475992.15,154315992.15,20000000.00,227350000.00,167350000.00,45190000.00,0,0,10000000.00,0,0,115000000.00,0,0,0,0,0,0,0,0,440375.00,0,103750.40,0,450000.00,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,900857338.56,897581173.12,549560270.90,0,0,0,0,0,0,0,0,0,13171474.95,8451366.00,8451366.00,0,0,0,0,0,187113322.01,176490000.00,176490000.00,70990000.00,0,0,0,0,0,0,0,0,63587714.31,2065374.56,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,0,0,0,0,0,0,0,760257419.54,731225417.93,731354240.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74566730.09,73333426.30,72078850.87,75602740.88,1000000.00,7100000.00,0,0,0,0,0,0,0,0,4800.00,1655699.50,0,0,0.0
23,投资活动现金流出小计,608355567.54,350861584.22,147051132.78,1792133866.60,1594613065.88,1420483971.63,1151942211.47,3335587202.35,2927929867.29,2541473911.87,942061460.77,2056704532.16,994247404.60,230638053.72,132734754.25,415504109.42,310203925.91,241769622.78,122193944.45,596448633.60,385738697.57,273909925.27,65018183.59,589368940.91,393246894.56,212350438.50,75343614.67,509702911.62,460844006.48,353840332.69,184363452.19,326123661.57,163560254.05,44225245.68,15154875.22,66972156.43,54928178.26,41410600.00,31893510.14,102477029.06,20289752.47,6122800.00,29146347.95,17653378.54,38330761.92,0.0
24,投资活动产生的现金流量净额,-573797140.58,-324037459.91,-142346093.98,-1731474717.41,-1591710406.20,-1417347975.39,-1150939286.29,-2965004077.64,-2580566562.48,-2183330181.03,-605158520.54,-1149543536.78,-990572596.15,-227528790.29,-130618176.38,-206060062.44,-113311332.35,-114294703.99,-32963132.33,-229276156.36,-165142929.36,-140499127.05,3493431.46,-393040116.76,-248786430.43,-211624176.87,-75321615.67,-474069142.35,-424994261.70,-318863429.79,-149401861.30,-325820643.04,-163242810.86,-44224847.68,-15154875.22,-66824855.77,-54780786.41,-41370000.00,-31865210.14,-102148472.83,-19534623.26,-6122800.00,-26679399.04,-17653378.54,-38330761.92,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,11261200.00,0,0,104961307.27,10566386.60,10566386.60,10109340.48,779724535.69,46930532.66,40725898.28,49335565.78,2131370810.06,2082310988.25,0,0,28074558.62,25143697.84,11624279.97,11624279.97,0,0,0,0,0,0,0,0,20300000.00,0,0,0,1295000000.00,1295000000.00,1295000000.00,0,58080000.00,58080000.00,58080000.00,58080000.00,5000000.00,0,0,0,0,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,250000.00,250000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,4098798940.47,3063485879.04,965375159.41,4491447629.40,3735351421.86,3029425385.93,1358770458.53,4585557748.81,4037530146.14,3199986172.52,1231817404.87,1892409110.21,1561797810.21,1151416997.82,502719127.47,1327463925.44,857836987.38,674504008.26,529587194.95,1324143360.04,1060309930.67,586045336.13,249950649.00,860946243.64,581171587.39,309185798.80,264450056.16,393384311.00,355432791.39,197261053.10,122086799.39,222089133.33,186872756.72,132882856.45,47167944.63,331768564.43,223173668.93,86429500.00,34280837.40,293952516.16,151352863.06,153130800.00,133785322.76,30000000.00,40000000.00,0.0
29,发行债券收到的现金,0,0,0,1000000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,0,0,0,150000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2590000.00,0,0.0
31,筹资活动现金流入小计,4110060140.47,3063485879.04,965375159.41,5746408936.67,3745917808.46,3039991772.53,1368879799.01,5365282284.50,4084460678.80,3240712070.80,1281152970.65,4023779920.27,3644108798.46,1151416997.82,502719127.47,1355538484.06,882980685.22,686128288.23,541211474.92,1324143360.04,1060309930.67,586045336.13,249950649.00,860946243.64,581171587.39,309185798.80,264450056.16,413684311.00,355432791.39,197261053.10,122086799.39,1517089133.33,1481872756.72,1427882856.45,47167944.63,389848564.43,281253668.93,144509500.00,92360837.40,298952516.16,151352863.06,153130800.00,133785322.76,32590000.00,40000000.00,0.0
32,偿还债务支付的现金,3896542390.94,3151377245.39,1259651560.29,4324803300.39,2311707161.92,1584248086.00,542147643.52,913104829.26,470805075.76,393444341.49,318267614.93,2419388446.36,2185940445.76,659726272.78,324012730.08,1110441607.14,881424133.61,647863958.30,429466449.15,1187153566.49,1032041454.75,558863732.74,311697903.56,349509975.50,279523066.36,169117449.29,133357596.53,278015406.38,184205030.94,116765536.20,36510915.72,396872777.69,325392197.38,79800774.55,37510417.42,341602763.88,243427008.43,91494200.00,33631688.69,156096368.05,149574322.53,112550000.00,103053937.45,28221775.18,15093533.74,0.0
33,分配股利、利润或偿付利息所支付的现金,148430497.99,154020762.88,41209487.08,273043082.76,203356343.25,95660919.71,50821825.45,155792350.34,116493368.32,86946000.58,8941803.25,90261184.47,87213389.96,75179190.78,9368278.47,53099764.34,41343148.14,34420583.88,9185206.68,54219336.70,42990712.82,36731172.44,6443010.72,32374080.23,24919097.08,20999659.04,3505442.15,26717641.96,22562340.46,20114386.73,2103788.95,12195703.46,8368504.94,6652815.84,3056399.57,14858651.74,7766618.40,5187200.00,2201047.25,11280507.85,9420883.73,7181900.00,8279754.14,3629770.22,418264.92,0.0
34,其中：子公司支付给少数股东的股利、利润,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,支付其他与筹资活动有关的现金,9188114.64,10868039.38,3029695.24,181301968.49,6267122.04,8075988.51,2227640.59,5883632.19,0,0,0,0,0,471698.10,471698.11,8323900.00,0,0,0,5892852.84,6192852.84,5772852.84,1617020.08,123496558.03,67024109.75,10665893.08,0,1341534.99,140050.00,391774.21,0,5959164.35,5426090.04,4489884.86,517267.40,4526460.08,2400000.00,400000.00,0,3243790.93,1000701.41,12273800.00,397112.50,1100000.00,1325542.49,0.0
36,筹资活动现金流出小计,4054161003.57,3316266047.65,1303890742.61,4779148351.64,2521330627.21,1687984994.22,595197109.56,1074780811.79,587298444.08,480390342.07,327209418.18,2509649630.83,2273153835.72,735377161.66,333852706.66,1171865271.48,922767281.75,682284542.18,438651655.83,1247265756.03,1081225020.41,601367758.02,319757934.36,505380613.76,371466273.19,200783001.41,136863038.68,306074583.33,206907421.40,137271697.14,38614704.67,415027645.50,339186792.36,90943475.25,41084084.39,360987875.70,253593626.83,97081400.00,35832735.94,170620666.83,159995907.67,132005700.00,111730804.09,32951545.40,16837341.15,0.0
37,筹资活动产生的现金流量净额,55899136.90,-252780168.61,-338515583.20,967260585.03,1224587181.25,1352006778.31,773682689.45,4290501472.71,3497162234.72,2760321728.73,953943552.47,1514130289.44,1370954962.74,416039836.16,168866420.81,183673212.58,-39786596.53,3843746.05,102559819.09,76877604.01,-20915089.74,-15322421.89,-69807285.36,355565629.88,209705314.20,108402797.39,127587017.48,107609727.67,148525369.99,59989355.96,83472094.72,1102061487.83,1142685964.36,1336939381.20,6083860.24,28860688.73,27660042.10,47428100.00,56528101.46,128331849.33,-8643044.61,21125100.00,22054518.67,-361545.40,23162658.85,0.0
