,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
32,偿还债务支付的现金,4702234380.00,3168817765.00,1836542765.00,4344695584.59,3170624855.59,2577637083.17,1201796061.00,2712625000.00,2141925000.00,1686900000.00,1632950000.00,2733538839.83,2280630432.00,1944280432.00,1053778093.75,1792892508.69,1004285876.00,546805443.00,248449176.00,2166280000.00,1942390000.00,1014130000.00,578500000.00,2211400000.00,1548590000.00,1207710000.00,579030000.00,846168000.00,658670000.00,280170000.00,142500000.00,897310000.00,601350000.00,418610000.00,258600000.00,515891508.71,338950000.00,242492738.95,146950000.00,322286953.27,284132765.36,231176944.66,174802484.18,243880000.00,187200000.00,124200000.00,80000000.00,130460000.00,108476450.58,69050000.00,2000000.00,103450000.00,76860000.00,0,84000000.00,56100000.00,0.0
33,分配股利、利润或偿付利息所支付的现金,413118351.32,319018383.10,103445010.36,568621958.74,402835415.35,186539727.26,84506344.04,363046615.56,191200013.47,150738848.40,45564429.63,306534764.48,230671407.03,123037677.91,66032593.97,219788877.81,183232389.50,117193094.03,76908666.15,276628415.91,196619940.20,132196580.14,72914224.50,175262630.55,115606723.73,59632225.97,15590529.73,149503705.45,111472614.13,72753425.30,11518039.92,107447562.08,61904699.97,31193049.74,9919976.60,58785194.62,38930993.40,21139619.35,13172146.97,45290403.95,37239117.29,16018794.30,4966901.19,28768249.21,16398881.39,15307108.58,3073470.50,20030419.32,13173206.42,5916715.65,1408033.25,11364051.13,8931622.26,0,8904615.89,6390626.32,0.0
34,其中：子公司支付给少数股东的股利、利润,0,0,0,29944801.21,0,0,0,8054267.75,0,0,0,39418187.44,0,18466636.42,0,15958890.68,0,0,0,5944977.67,0,0,0,11381107.10,0,0,0,0,0,0,0,0,0,0,0,6223835.97,0,0,0,4997533.85,0,0,0,0,0,4749046.01,0,5915234.18,0,0,0,4763996.11,0,0,0,0,0.0
35,支付其他与筹资活动有关的现金,236223236.80,148589860.98,30696695.90,536357510.49,495666355.04,421445753.77,44796266.17,203595001.95,291763515.00,166517595.17,33148159.60,253696235.52,141358416.25,141358416.25,135699851.99,112234579.85,121843912.06,191433224.04,177423660.83,122433923.28,1855290.00,0,0,18322845.58,870000.00,870000.00,0,23607985.62,0,0.00,0,0,0,0,0,0,1203520.00,1203520.00,483520.00,945251.25,0,0,0,0,175900.00,120000.00,0,5576017.89,0,2103735.51,0,2310000.00,2976060.53,0,0,12000.00,0.0
36,筹资活动现金流出小计,5351575968.12,3636426009.08,1970684471.26,5449675053.82,4069126625.98,3185622564.20,1331098671.21,3279266617.51,2624888528.47,2004156443.57,1711662589.23,3293769839.83,2652660255.28,2208676526.16,1255510539.71,2124915966.35,1309362177.56,855431761.07,502781502.98,2565342339.19,2140865230.20,1146326580.14,651414224.50,2404985476.13,1665066723.73,1268212225.97,594620529.73,1019279691.07,770142614.13,352923425.30,154018039.92,1004757562.08,663254699.97,449803049.74,268519976.60,574676703.33,379084513.40,264835878.30,160605666.97,368522608.47,321371882.65,247195738.96,179769385.37,272648249.21,203774781.39,139627108.58,83073470.50,156066437.21,121649657.00,77070451.16,3408033.25,117124051.13,88767682.79,0,92904615.89,62502626.32,0.0
37,筹资活动产生的现金流量净额,1833678485.23,1462045869.34,436323917.03,1647626559.01,1668896798.44,1553075625.22,924089789.21,2466825935.26,1787667893.70,1167184578.60,171537410.77,1180571648.46,-284082692.57,-574132138.35,-311310539.71,1721155109.56,533094322.44,303661528.93,-5441502.98,759196562.81,751707669.80,602783419.86,474065775.50,1105724723.87,814451276.27,790792774.03,642704470.27,706176962.46,355361683.66,421460872.49,70731960.08,46309437.92,-16712699.97,20686950.26,24480023.40,633436572.67,606599486.60,597548121.70,583118333.03,488520014.23,422397688.75,167631146.07,121970614.63,65793591.79,62627059.61,93874732.42,101926529.50,255460962.79,260978625.11,56524925.55,59691966.75,24722948.87,-12484326.36,0,46920697.11,30366047.88,0.0
38,四、汇率变动对现金及现金等价物的影响,33869.88,-19600.20,-151875.62,-345420.67,44.67,44.67,44.67,203799.81,54.30,6.84,6.84,145652.44,123242.77,123242.77,12374322.60,-1344221.93,1478400.98,0.98,0,1772.38,-10.13,-10.13,32.89,-43.54,32.89,28.73,12.51,0.52,-0.52,-7.68,-7.38,-51.99,44.37,27.30,-11.98,7615.69,5743.43,5727.21,5723.20,0,11589.91,2662.86,-0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,五、现金及现金等价物净增加额,-315172945.23,606450131.37,-156106064.62,-170296560.60,-182968436.82,23112863.68,93112745.81,-800906602.21,-580299076.34,-382268300.23,-805447457.74,806110814.27,-510185229.35,-490903546.60,-389379708.04,1032382738.09,237564055.22,399629060.15,174741959.89,-49959082.67,50032456.59,284554402.98,257643122.49,-173276083.09,73729100.70,312238314.12,294523773.04,-59348305.82,-72130689.73,190184450.01,13834497.49,132391963.04,295787411.83,156470811.96,40872739.13,273345718.37,374197796.11,373355623.52,439399552.20,-88352023.88,-9422811.03,-54842813.76,4949928.52,38652682.39,40712244.61,61149312.30,65087361.95,110812031.21,176571820.17,-21445007.83,8814508.91,16789412.97,-5160035.91,0,26221803.60,3677471.29,0.0
40,加:期初现金及现金等价物余额,1143296740.06,1143296740.06,1143296740.06,1313593300.66,1407695506.07,1407695506.07,1313593300.66,2114499902.87,2114499902.87,2114499902.87,2114499902.87,1308389088.60,1308389088.60,1308389088.60,1308389088.60,276006350.51,403962330.25,259379411.88,259379411.88,309338494.55,325975494.55,325975494.55,325975494.56,482614577.64,482614577.64,482614577.64,482614577.64,541962883.46,541962883.46,532457372.46,527457372.46,395065409.42,395065409.42,395065409.42,395065409.42,121719691.05,121719691.05,121719691.05,121719691.05,210071714.93,210071714.93,210071714.93,210071714.93,171419032.54,178056463.79,171419032.54,171419032.54,60607001.33,63025001.33,63025001.33,63025001.33,43817588.36,54717588.36,0,28495784.76,24818313.47,0.0
41,六、期末现金及现金等价物余额,828123794.83,1749746871.43,987190675.44,1143296740.06,1224727069.25,1430808369.75,1406706046.47,1313593300.66,1534200826.53,1732231602.64,1309052445.13,2114499902.87,798203859.25,817485542.00,919009380.56,1308389088.60,641526385.47,659008472.03,434121371.77,259379411.88,376007951.14,610529897.53,583618617.05,309338494.55,556343678.34,794852891.76,777138350.68,482614577.64,469832193.73,722641822.47,541291869.95,527457372.46,690852821.25,551536221.38,435938148.55,395065409.42,495917487.16,495075314.57,561119243.25,121719691.05,200648903.90,155228901.17,215021643.45,210071714.93,218768708.40,232568344.84,236506394.49,171419032.54,239596821.50,41579993.50,71839510.24,60607001.33,49557552.45,0,54717588.36,28495784.76,0.0
