,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
24,投资活动产生的现金流量净额,117938825.05,146611287.16,10165336.73,-126796060.82,-95039419.36,-87810371.66,-18477675.58,-89039966.21,-7343432.69,-4225023.92,-4040477.88,-128401776.50,-25027601.84,-5944601.42,-4711924.24,-3033318.18,-14014532.66,-10701471.20,1674020.99,49213272.70,55280532.80,-4001553.58,-31884194.66,-48706742.48,-38959480.65,-46270831.79,-4744773.62,29847638.23,97822458.50,45023369.80,50571130.81,-203407954.12,-46669999.90,-32805626.56,-23176026.33,-23965947.55,-8908404.29,-4247101.61,-2448298.15,-29294944.48,-10205267.22,-9491815.75,-19780113.14,-7767925.66,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,0,0,0,0,0,0,0,35786400.01,0,0,0,179999992.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467828130.00,467828130.00,0,0,0,0,0,16800000.00,700000.00,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,0,0,0,10000000.00,5000000.00,5000000.00,5000000.00,5000000.00,0,0,0,10000000.00,0,0,700000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000000.00,20000000.00,0,20000000.00,3000000.00,0.0
29,发行债券收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,1000000.00,1000000.00,0,0,0,0,0,21751059.00,28153559.00,28153559.00,21000000.00,9005272.04,0,9005272.04,0,22120053.41,0,0,0,23165814.13,0,0,0,2353011.04,0,8241647.79,0,11531355.49,3256805.58,3256805.58,0,0,0,0,0,0,0,0,0,0,0,0,11000000.00,11290000.00,0.0
31,筹资活动现金流入小计,1000000.00,1000000.00,0.00,10000000.00,5000000.00,5000000.00,5000000.00,62537459.01,28153559.00,28153559.00,21000000.00,199005264.06,0.00,9005272.04,700000.00,22120053.41,0.00,0.00,0.00,23165814.13,0.00,0.00,0.00,2353011.04,0.00,8241647.79,0.00,11531355.49,3256805.58,3256805.58,0.00,0.00,0.00,0.00,0,467828130.00,467828130.00,0,0,20000000.00,20000000.00,0,47800000.00,14990000.00,0.0
32,偿还债务支付的现金,5000000.00,5000000.00,5000000.00,5000000.00,0,0,0,10000000.00,5000000.00,0,0,0,80000.00,130000.00,780000.00,0,7461200.00,0,700000.00,14805588.67,14321088.67,11321088.67,5871161.39,0,0,0,0,0,0,0,0,0,0,0,0,20000000.00,20000000.00,20000000.00,0,15000000.00,15000000.00,15000000.00,8000000.00,0,0.0
33,分配股利、利润或偿付利息所支付的现金,67516706.06,67449878.28,466625.00,70225440.78,69210897.82,69042619.13,887077.39,77728451.50,66437226.50,66303826.50,130500.00,21489969.60,21459945.29,23917148.94,1276353.66,22473147.20,23270685.36,21850338.15,406166.67,22264456.90,20890440.31,20725473.65,359432.49,51675000.00,47405569.35,47405569.35,0,51675000.00,51742115.04,51742115.04,0,43407000.00,43407715.62,12405311.10,7651106.96,283052.50,283052.50,283052.50,252225.00,771522.50,410000.00,410000.00,1082618.98,62925.66,0.0
34,其中：子公司支付给少数股东的股利、利润,0,0,0,2807400.00,0,0,0,11229600.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
