,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060331,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,购建固定资产、无形资产和其他长期资产所支付的现金,2575695567.57,1170989091.23,694263933.19,201406992.47,1434904884.43,917881999.93,386660313.79,192830452.20,2039535675.34,1410764265.82,1197918985.61,925378319.52,1888538668.81,1490742615.98,1160017788.34,466278953.36,1257255420.17,985555717.81,649606305.50,414017790.87,1914551891.03,1615122159.30,1399928014.65,262662904.23,2592661000.18,1977614639.96,1618628027.78,403500302.19,1638654611.12,1777316400.46,898349749.85,515618264.88,2223619212.53,1371379885.87,813179712.66,479047330.07,3095139702.39,1682472460.72,1188662715.12,467660620.97,2062862750.51,1416324687.53,807403731.33,338101937.00,3166869654.08,2088977354.50,1512935143.93,648204596.94,2900948677.05,1544330071.62,1228639371.25,543224352.36,6482256693.43,4410326351.55,693800949.98,5815528117.99,1863675905.91,0.0
20,投资所支付的现金,2565185197.78,727206471.48,14225339.21,0,7323042706.52,5918374131.90,1518386483.88,240000000.00,1075600000.00,665675000.00,252500000.00,259000000.00,14484927008.76,13844226470.15,136727675.36,126676745.77,753096500.00,511027611.00,405916500.00,17350000.00,1966120444.28,766582374.71,660246500.14,660246500.14,7264163642.81,2169918642.81,2000000000.00,0,2858660968.85,2783638000.00,933638000.00,98000.00,54961177.31,54961212.74,519455.25,0,1647725616.89,670999292.69,326081683.05,234278258.05,554226175.48,555942675.48,431860409.05,209464923.05,687193444.07,641137800.71,360114431.93,3803800.00,416248260.00,1441119657.60,1181741729.38,380103187.75,923298545.39,959182001.85,98384275.49,898787528.80,361165633.28,0.0
21,取得子公司及其他营业单位支付的现金净额,361053967.33,0,0,0,2179714787.76,2176614787.76,2176614787.76,6375219932.76,4335153.62,4335153.62,4335153.62,4335153.62,0,0,0,0,668333291.29,2060338508.51,116570647.51,116570647.51,44488358.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008673.22,0,0,0,0,0,0,0,0,0,0,36935090.66,0,0.0
22,支付的其他与投资活动有关的现金,1002766493.38,0,0,0,1278565329.82,0,0,0,13045395.20,0,0,0,31333729.50,0,0,0,6136817.62,0,0,0,1683504.56,1467321.23,1499725.08,15021092.84,263737844.79,232071152.49,232071152.49,136113279.19,0,0,0,7505344.00,0,1487.20,0,506773.41,4123493.57,7533840.66,4555996.84,6253642.50,0,0,0,0,10111672.87,16832777.55,16832777.55,19334235.54,0,0,0,8202149.14,0,258773933.55,0,0,77145.00,0.0
23,投资活动现金流出小计,6504701226.06,1898195562.71,708489272.40,201406992.47,12216227708.53,9012870919.59,4081661585.43,6808050384.96,3132516224.16,2080774419.44,1454754139.23,1188713473.14,16404799407.07,15334969086.13,1296745463.70,592955699.13,2684822029.08,3556921837.32,1172093453.01,547938438.38,3926844197.88,2383171855.24,2061674239.87,937930497.21,10120562487.78,4379604435.26,3850699180.27,539613581.38,4497315579.97,4560954400.46,1831987749.85,523221608.88,2278580389.84,1426342585.81,813699167.91,479554103.48,4746988812.85,2361005594.07,1519300395.01,708192521.52,2617088925.99,1972267363.01,1239264140.38,547566860.05,3866183444.24,2746947932.76,1889882353.41,671342632.48,3317196937.05,2985449729.22,2410381100.63,931529689.25,7405555238.82,5628282286.95,792185225.47,6751250737.45,2224918684.19,0.0
24,投资活动产生的现金流量净额,-3031122144.07,6224922.21,-186683361.61,147799196.23,6121664580.33,-4490348987.37,-647192294.73,-6345536079.99,1815169010.45,2003624688.25,2006595931.44,966111217.89,-14398758509.47,-14472243653.05,-1059982847.85,-454045473.95,-1291868314.40,-2961430532.28,-906436536.37,-520661992.46,-1886779132.87,-2022436972.08,-1998590722.94,-915431947.63,-7912556013.82,-2194296201.71,-3750782426.00,-514830758.99,-4230395425.10,-3881299126.26,-1725507160.07,-479249188.84,-1381283281.00,-604984098.62,-55822681.38,120773330.17,-4073491970.03,-2064443705.87,-1300655475.14,-679097451.75,-1092706018.60,-1010338901.55,-296512723.42,229345109.04,-2572527852.74,-1553933578.68,-804486398.94,-646960221.39,-1915133200.98,-1533719737.64,-1253321047.80,-211346604.48,-6136769545.78,-4400849220.66,-578461512.54,-6556517064.66,-1962504029.02,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,3307400000.00,3307400000.00,3307400000.00,3307400000.00,161000000.00,161000000.00,161000000.00,161000000.00,0,0,0,0,0,0,0,0,1726809100.00,1724309100.00,1722309100.00,0,0,0,0,0,15000000.00,5000000.00,5000000.00,5000000.00,59500000.00,59500000.00,23800000.00,0,91500000.00,91500000.00,60000000.00,0,13500000.00,10500000.00,10500000.00,0,124382664.56,80882664.56,80882664.56,35882664.56,19036529.40,0,0,0,386031609.97,1575000.00,1575000.00,0,999466508.10,953466508.10,20000000.00,4395893140.50,28648500.00,0.0
27,其中：子公司吸收少数股东投资收到的现金,3307400000.00,3307400000.00,3307400000.00,0,161000000.00,161000000.00,161000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000000.00,5000000.00,5000000.00,5000000.00,59500000.00,59500000.00,23800000.00,0,91500000.00,91500000.00,60000000.00,0,13500000.00,10500000.00,10500000.00,0,123500000.00,80000000.00,80000000.00,35000000.00,19036529.40,0,0,0,386031609.97,1575000.00,1575000.00,0,74750000.00,21550000.00,20000000.00,0,28648500.00,0.0
28,取得借款收到的现金,18005853223.74,16354533234.85,10644000000.00,5498101945.69,33499040634.84,30936464210.00,19113900000.00,11038800000.00,25888178888.94,18511447535.31,8465443610.41,366141141.75,30353728643.16,29836426000.00,11030000000.00,2000000000.00,9228791885.00,7352632600.00,7292632600.00,80000000.00,28303000000.00,25578000000.00,17728000000.00,7260000000.00,9107144000.00,5239800000.00,3220450000.00,3006200000.00,6994129000.00,4619329000.00,1490069000.00,1455967000.00,16340410000.00,12007310000.00,8604600000.00,2063300000.00,10171846584.36,8747976584.36,5147610000.00,2270000000.00,11491200000.00,7438200000.00,3808200000.00,2749200000.00,7414503612.00,7342444702.00,3267232472.00,132444702.00,9921957748.00,7145706165.57,5425397525.57,140000000.00,9673460107.89,1806932800.00,488134400.00,4555500000.00,5275000000.00,0.0
