,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20051231,20041231,20031231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
24,投资活动产生的现金流量净额,-3422941586.00,-2264456356.00,-1544070070.00,-336337735.00,-4941209018.00,-4196013415.00,-2259786272.00,-1429557618.00,-1808499081.00,-538452061.00,-458758633.00,132962123.00,-2856014799.00,-1433076537.00,-958809705.00,-504386060.00,-927937771.00,-429835712.00,-118330675.00,-111746236.00,-813538211.00,-160589777.00,-112468079.00,-241766692.00,-2118108497.00,-1040753247.00,-752738662.00,-398272529.00,-2298482047.00,-1033707374.00,-646681494.00,-190740243.00,-405612043.00,-444009215.00,-40368574.00,68950000.00,-1590225062.00,-553742895.00,-438616415.00,-194579361.00,-1998811560.00,-1478797225.00,-1214772159.00,-912711938.00,-2013275607.00,-1402194484.00,-833337273.00,-1013245771.00,-1819661035.00,-1170019870.00,-631451096.00,-229035773.39,-1129629999.00,-1242768204.67,-864371550.00,-1627224387.00,-1896439372.00,-315353432.93,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,2000000000.00,2000000000.00,0,0,170500000.00,170500000.00,170500000.00,170500000.00,165000000.00,0,0,0,600000000.00,600000000.00,600000000.00,600000000.00,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0,11688900.00,0,0,0,200000000.00,0,0,0,4898200.00,0,0,0,0,12000000.00,12000000.00,0,111989000.00,187539000.00,115000000.00,0,6200800000.00,6100788000.00,0,0,2000000.00,0,0,69221859.00,604073377.00,77423000.00,0.0
27,其中：子公司吸收少数股东投资收到的现金,2000000000.00,2000000000.00,0,0,170500000.00,170500000.00,0,170500000.00,0,0,0,0,600000000.00,600000000.00,600000000.00,600000000.00,0,0,0,0,0,0,0,0.00,0,0,0,0,11688900.00,0,0,0,200000000.00,0,0,0,4898200.00,0,0,0,0,12000000.00,12000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,15621955454.00,11831461529.00,6439643034.00,2796498615.00,10831506596.00,8410686379.00,6663744621.00,3440031651.00,8377978707.00,5978535959.00,3883653053.00,2432042496.00,8958754474.00,4111147785.00,2395872820.00,1520000000.00,7440694871.00,1898000000.00,628000000.00,0,9808192108.00,1696003361.00,1096003361.00,496848587.00,10911606533.00,1695080429.00,1380412815.00,164250000.00,7878380562.00,384595154.00,446637348.00,142402470.00,9638387793.00,4594398695.00,182671367.00,534980000.00,5495735849.00,3146600227.00,2922100227.00,4188200266.00,5651357526.00,2418000000.00,2068000000.00,648000000.00,5047897781.00,2009978000.00,1143000000.00,527771086.00,2244266493.00,1698812000.00,1401271445.00,835319292.23,4859629631.00,3617926460.41,2635200000.00,3059467791.00,2352424764.00,894300000.00,0.0
29,发行债券收到的现金,1287100000.00,0,1286326000.00,0,693000000.00,700000000.00,700000000.00,0,0,0,0,0,980000000.00,1000000000.00,1000000000.00,1000000000.00,1001750000.00,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,3968000000.00,0,3968000000.00,4000000000.00,3500000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,0,678064646.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,280119924.00,329040384.00,0,0,0,0,0,0,0,0,0,0,0,0,3182534171.00,132000000.00,47863794.00,37359771.00,0,0,96685200.00,19490000.00,49000000.00,0,54790.09,56131856.00,0,0,600000.00,0.0
31,筹资活动现金流入小计,18909055454.00,14509526175.00,7725969034.00,2796498615.00,11695006596.00,9281186379.00,7534244621.00,3610531651.00,8542978707.00,5978535959.00,3883653053.00,2432042496.00,10538754474.00,5711147785.00,3995872820.00,3120000000.00,8442444871.00,1898000000.00,628000000.00,0.00,9808192108.00,1696003361.00,1096003361.00,496848587.00,10911606533.00,1695080429.00,1380412815.00,164250000.00,7890069462.00,664715078.00,775677732.00,142402470.00,13806387793.00,4594398695.00,4150671367.00,4534980000.00,9000634049.00,3146600227.00,2922100227.00,4188200266.00,5651357526.00,5637357183.00,5262534171.00,3830534171.00,5291886781.00,2245380794.00,1295359771.00,527771086.00,8445066493.00,7896285200.00,1420761445.00,884319292.23,4861629631.00,3617981250.50,2691331856.00,3128689650.00,2956498141.00,972323000.00,0.0
32,偿还债务支付的现金,16239708916.00,10812587245.00,6077512546.00,2741159320.00,5899450941.00,3400647563.00,1987720796.00,947931239.00,8432358570.00,5359952066.00,3554746489.00,2580448367.00,10387051687.00,4719000000.00,3580000000.00,2965000000.00,7156736897.00,1145268661.00,513268661.00,61268661.00,11775035051.00,1758565352.00,1038411619.00,5000000.00,8867700186.00,638200000.00,638200000.00,94200000.00,7716083758.00,622614262.00,221258110.00,128872094.00,11046781899.00,3368516311.00,3067900226.00,2752993226.00,7024288094.00,2494967865.00,2024445220.00,1960304186.00,4917191031.00,4639308276.00,908542642.00,492907294.00,3749075248.00,1777935124.00,1269628306.00,353409834.00,3627516219.00,2837356031.00,2279218490.00,0,3799604092.00,2133537353.59,1765829166.00,1799574507.00,825308465.00,781020000.00,0.0
33,分配股利、利润或偿付利息所支付的现金,1034168677.00,797733441.00,578062895.00,344111662.00,1017967928.00,751461332.00,574732831.00,217096415.00,629208923.00,581957680.00,468484918.00,248078391.00,762619644.00,615823423.00,496331973.00,287008290.00,668107108.00,553377894.00,466545969.00,272376289.00,643568763.00,596504667.00,458867935.00,273557185.00,683773678.00,582936584.00,437856452.00,226898852.00,841791956.00,696618423.00,550556874.00,260192175.00,760120634.00,646429208.00,679329196.00,109882598.00,528942921.00,449258241.00,127255093.00,16714184.00,452887702.00,582499082.00,443935237.00,171824226.00,971927344.00,924981765.00,611879724.00,77324771.00,611846141.00,546734888.00,462982777.00,93901087.58,583966000.00,162177865.14,107932321.00,264203542.00,203801777.00,73202334.56,0.0
