,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,购建固定资产、无形资产和其他长期资产所支付的现金,236333487.84,175258725.53,159015353.25,81038906.72,470667651.24,285568025.77,168599731.02,64372436.90,422158262.00,288879463.84,163683231.30,56602359.05,472912938.93,311489726.34,243028624.28,132028392.86,455674962.96,332407882.43,243024286.78,162585174.10,849094749.58,538147490.60,361401686.12,112062930.17,582046859.46,407232641.03,238883418.45,85810834.13,366835390.94,205311984.77,98288802.16,24561188.17,127152791.52,67056586.34,23247078.25,13039379.03,13934687.12,11023990.53,6475185.16,3178893.67,51724433.09,39599960.04,11454533.68,6378905.16,63189935.98,55195109.42,31444097.12,17253813.19,44378640.73,37741815.31,31822617.83,27307443.63,44760787.23,18293377.72,16751854.15,9455047.28,36668761.75,23547246.47,15753904.60,11858532.25,85697192.56,77439170.67,71212556.92,50658983.64,133555548.02,125116235.44,93276832.68,27028070.84,52151212.44,20218709.69,77210129.19,60337742.70,1110063.30,0.0
20,投资所支付的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10717150.27,10717150.27,0,0,0,0,0,0,2020575.00,2020575.00,0.00,0,6000000.00,0,0,0,0,0,0,0,468817332.15,130817332.15,131497709.68,111737043.89,237415508.31,135141051.21,118467691.30,35562385.26,427511236.02,389939872.08,178203772.99,410022201.62,66830093.33,50320433.00,50320433.00,0,51956891.76,359999.00,359999.00,0,11673788.58,8695341.87,5298415.55,3575727.24,44246488.55,42016010.36,40818878.04,-32505200.00,493314285.98,293206447.62,162376597.62,1205635.12,143123757.90,55773777.90,412759881.42,11043641.00,1000000.00,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,300000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,23843116.01,21774046.39,8726745.89,0,10949506.88,0,0,0,5980053.23,0,0,0,88761772.30,0,0,0,75391757.97,0,0,0,0,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0,180000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800.00,1618152.00,0,0,139315283.70,0,0,0,24350726.39,0,0,0,0,0,0,0,0,0,0,0,310783.10,0.0
23,投资活动现金流出小计,260176603.85,197032771.92,167742099.14,81038906.72,481617158.12,285568025.77,168599731.02,64372436.90,428138315.23,288879463.84,163683231.30,56602359.05,561674711.23,311489726.34,243028624.28,132028392.86,541783871.20,343125032.70,243024286.78,162585174.10,849094749.58,538147490.60,361401686.12,112062930.17,584067434.46,409253216.03,238883418.45,85810834.13,374258496.10,205311984.77,98288802.16,24561188.17,127152791.52,67056586.34,23247078.25,13219379.03,482752019.27,441841322.68,137972894.84,114915937.56,289139941.40,174741011.25,129922224.98,41941290.42,490701172.00,445134981.50,209647870.11,427276014.81,111208734.06,88062248.31,82143050.83,27307443.63,96718478.99,20271528.72,17111853.15,9455047.28,187657834.03,32242588.34,21052320.15,15434259.49,164686916.47,119455181.03,112031434.96,18153783.64,626869834.00,418322683.06,255653430.30,28233705.96,195274970.34,75992487.59,489970010.61,71381383.70,2420846.40,0.0
24,投资活动产生的现金流量净额,-98434632.01,-152108767.41,-166722099.14,-81038906.72,-97490813.21,-219000493.79,-103087206.64,700763.10,-191167607.46,-264159232.93,-150049338.74,-46037841.19,-419551563.10,-303119299.72,-234658197.66,-124831754.80,-357728038.52,-282353688.85,-182849660.04,-162585174.10,-754566740.00,-521023163.26,-360545645.20,-112062930.17,-374336985.79,-358943145.94,-237182978.36,-85810834.13,-339788719.65,-202957878.77,-96751896.16,-24561188.17,-88500878.16,-64302766.34,-20493258.25,-13314169.03,-226376913.08,-260723020.69,42011327.54,39949181.31,45099810.75,45067346.36,24448570.56,-7405861.49,-53578953.79,-41752356.08,8825734.21,16095200.90,-36588273.57,-28672723.77,-23495682.56,-27307443.63,-1124803.53,-10292833.09,-14785105.53,-9454709.78,29334767.40,105596800.88,6802001.71,-11386265.20,-62314575.35,-84260243.81,-66037697.74,-15396666.57,-402973291.00,-278760380.10,-156089747.75,-26913539.47,-125376180.88,-24502878.42,-121822687.39,-71381383.70,-2420846.40,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0,0,0,0,15000000.00,15000000.00,0,0,2507740382.71,2507740382.71,2507740182.71,0,0,0,0,0,0,0,0,0,2000000.00,0,0,0,0,93669928.05,0,0,0,0,0,0,0,103000000.00,0,-43160000.00,0,2000000.00,2000000.00,2000000.00,0,0,0,0,882172200.00,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0,0,0,0,15000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,2319500000.00,2319500000.00,1569500000.00,1269500000.00,1900000000.00,0,0,0,700000000.00,700000000.00,700000000.00,200000000.00,1894300000.00,1894300000.00,1894300000.00,1894300000.00,1509202000.00,1409202000.00,1079202000.00,318000000.00,830000000.00,485000000.00,340000000.00,0,80000000.00,80000000.00,80000000.00,40000000.00,278000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,0,0,0,0,0,0,180000000.00,180000000.00,90000000.00,90000000.00,206000000.00,90000000.00,90000000.00,0,181400000.00,90000000.00,90000000.00,0,0,90000000.00,0,0,180000000.00,180000000.00,100000000.00,100000000.00,103000000.00,0,80000000.00,80000000.00,3000000.00,3000000.00,3000000.00,0,3000000.00,3000000.00,3000000.00,3000000.00,68000000.00,0.0
