,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,收到其他与投资活动有关的现金,0,0,0,0,0,10967355.35,9525929.71,9484673.30,6383049.12,5042506.04,7916069.45,26179484.49,31535973.88,14286183.30,13294182.31,556741.00,55658999.50,400186.30,425870.80,617323.24,4682839.89,6976592.52,2574197.52,2130282.62,8521268.82,4878652.65,3258731.55,2409593.76,12709854.42,8861799.89,7551599.32,1185881.28,28231682.52,27170261.33,12185166.18,7316027.13,36349443.87,3411157.09,682500.22,315553.95,2796086770.79,8242320.17,3384053.82,1020493.51,23236477.13,3191224.71,2132212.73,0,676064017.89,0,0,0.0
20,投资活动现金流入小计,22258364649.32,17789204695.18,9805957164.39,5902080983.92,32053870343.30,30161187351.01,16936718686.74,10841573984.50,87831906515.13,66567186913.67,53491939137.95,28810125607.86,61502727135.13,46367676110.30,29045914154.04,10225686089.77,42310778934.10,30032812000.07,17417129665.80,7270100899.06,35345937556.21,15455912266.91,6433072041.48,1363504843.49,11926256110.79,9968562361.61,7423718249.09,4904269816.42,5172057824.73,3953632668.30,1150038005.34,555684051.58,3818324055.35,3366783508.43,3022687834.66,1973070334.28,4602352635.27,3253349544.79,2273167754.60,128051973.23,5990284998.78,2437702858.55,1432777378.63,1349163038.41,2116046176.71,1835199855.46,806072431.22,173607360.27,1060868705.91,302403941.50,299543448.27,0.0
21,投资支付的现金,18600321005.85,18113249241.56,9670518845.45,6928727546.14,34866650276.79,33609998844.08,18289727699.10,13503593518.19,50364101919.13,38703394522.16,27768580072.50,16787670666.73,92628094351.03,60608169139.73,39075525890.89,11170072233.06,75896458647.17,39496412362.58,19887544513.48,7471642956.80,43607815430.08,17198730717.28,8166853231.69,7050545854.84,11038684069.31,11964644209.44,9667112472.81,4710822324.16,11311738706.56,8075267368.25,2783710227.23,1576224509.11,7313526905.87,7003837853.71,4708719874.93,3172963358.62,5875415678.59,3853978100.23,3035070449.04,826031306.04,5061600099.54,4599940671.14,1348406762.60,282715164.04,2873011646.42,2514428925.73,1364517866.65,451328.79,244493087.55,160636845.76,102779160.00,0.0
22,购建固定资产、无形资产和其他长期资产支付的现金,2606058442.04,1120049190.24,907261066.34,543893549.06,3958445971.65,1056183551.92,645269848.31,71632084.44,1825444151.22,1572483117.15,235989032.59,132273581.83,452430691.50,233339400.41,249984566.49,89258532.50,339072462.36,262254113.50,172467913.16,92486817.82,248368846.52,151549394.74,113976382.06,42306491.78,328474939.45,262301854.56,211138039.49,27699519.69,230296001.46,163961798.14,123495490.22,44498926.36,366306952.43,199680156.11,140818789.69,53484593.34,368843957.64,255426060.64,188418659.45,59538575.26,240797520.32,118634537.76,77200554.82,39039585.33,293792637.80,205726950.55,130026964.10,65667357.75,334647416.17,174947165.94,119858765.11,0.0
23,支付其他与投资活动有关的现金,0,0,0,0,0,0,0,0,1442008.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31977150.83,1977150.83,0.0
24,投资活动现金流出小计,21206379447.89,19233298431.80,10577779911.79,7472621095.20,38825096248.44,34666182396.00,18934997547.41,13936607639.53,52937953926.28,41022843486.82,28751534952.60,17674144145.19,93080525042.53,60841508540.14,39325510457.38,11259330765.56,78277172060.06,41800307426.61,20197601962.69,7564129774.62,47640221812.07,21134318186.29,12064867688.02,7092852346.62,11367159008.76,12236414262.24,9887762655.91,4738521843.85,11542034708.02,8239229166.39,2907205717.45,1620723435.47,7679833858.30,7203518009.82,4849538664.62,3226447951.96,6244259636.23,4109404160.87,3223489108.49,885569881.30,5302397619.86,4718575208.90,1425607317.42,321754749.37,3166804284.22,2720155876.28,1494544830.75,66118686.54,579140503.72,367561162.53,224615075.94,0.0
25,投资活动产生的现金流量净额,1051985201.43,-1444093736.62,-771822747.40,-1570540111.28,-6771225905.14,-4504995044.99,-1998278860.67,-3095033655.03,34893952588.85,25544343426.85,24740404185.35,11135981462.67,-31577797907.40,-14473832429.84,-10279596303.34,-1033644675.79,-35966393125.96,-11767495426.54,-2780472296.89,-294028875.56,-12294284255.86,-5678405919.38,-5631795646.54,-5729347503.13,559097102.03,-2267851900.63,-2464044406.82,165747972.57,-6369976883.29,-4285596498.09,-1757167712.11,-1065039383.89,-3861509802.95,-3836734501.39,-1826850829.96,-1253377617.68,-1641907000.96,-856054616.08,-950321353.89,-757517908.07,687887378.92,-2280872350.35,7170061.21,1027408289.04,-1050758107.51,-884956020.82,-688472399.53,107488673.73,481728202.19,-65157221.03,74928372.33,0.0
26,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,吸收投资收到的现金,2060918907.19,2047900133.85,2047900133.85,8838753.28,16143140.73,9525724.09,9525174.09,1780186.27,28311221.76,8265773.24,8103766.56,1659995.19,1278725615.87,75879103.08,75243389.40,1197800000.00,29525628857.18,29833718954.42,28941218954.42,3186457.67,646556935.73,645767123.63,644500529.48,0,661153118.22,590185180.14,276511372.14,0,11358722890.93,11328040592.15,11327674878.36,37769079.51,368357714.60,25751371.88,25751371.88,24500000.00,47558219.12,8282728.50,6537028.50,6531679.66,0,0,0,0,0,0,0,0,26632709978.48,731160488.86,707830488.86,0.0
28,取得借款收到的现金,24082502129.39,24848102306.52,12611794029.19,10122137589.34,59126985777.64,46864722688.61,43640927157.97,10648537655.53,42535411703.10,37823662460.62,34779193881.81,4962262274.42,33801217009.11,25413544098.95,19294439940.80,10985887420.50,23431341686.80,19360953079.94,14679401897.91,20935245456.15,18275765159.92,12527942243.45,13179271337.57,5933690985.47,2170080007.95,4851806315.85,1033831530.31,386337350.31,6105584283.17,0,0,0,0,0,473932377.94,381075256.03,1845726880.15,8699999083.37,1715715731.24,548355725.12,1373762256.31,408537259.26,276366259.26,0,0,0,0,0,0,0,0,0.0
29,发行债券收到的现金,133305457845.26,102398199373.58,73988268926.68,24811276374.79,111865436445.46,80802961375.49,63190478322.10,35192025389.95,102211552801.79,77292106563.46,44500824781.21,28754969471.19,103973048006.07,79155003684.96,55391526293.88,13647296552.66,189914601133.16,170920448750.36,140093569480.26,33331283644.29,61475912015.85,26951470878.24,6296392481.00,0,21264963630.80,596809106.40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67578594.04,67578594.04,0,153735824.00,1015239642.86,153735824.00,0,0,0,0,0,1469099928.44,861202255.03,862314694.68,481347331.70,0,0,0,196989210.41,0,0,0,0,0,0,0,0,0,0,0,0,123593906.49,123593906.49,123593906.49,0.0
31,筹资活动现金流入小计,159448878881.84,129294201813.95,88647963089.72,34942252717.41,171008565363.83,127677209788.19,106840930654.16,45842343231.75,144775275726.65,115124034797.32,79288122429.58,33718891740.80,139052990631.05,104644426886.99,74761209624.08,25830983973.16,242871571677.14,220182699378.76,183781768926.63,54269715558.11,80551969935.50,41140419888.18,20273900172.05,5933690985.47,24096196756.97,6038800602.39,1310342902.45,386337350.31,18933407102.54,12189242847.18,12189989573.04,519116411.21,368357714.60,25751371.88,499683749.82,602564466.44,1893285099.27,8708281811.87,1722252759.74,554887404.78,1373762256.31,408537259.26,276366259.26,0,0,0,0,0,26756303884.97,854754395.35,831424395.35,0.0
32,偿还债务支付的现金,151480626275.96,117201436412.33,69901552992.68,31991585778.33,149301670814.04,112369589668.14,88117989796.67,22460691538.49,129450084497.92,121746486003.67,97344111118.89,33031387930.08,91760790933.36,72192678846.53,50084821291.45,18011986418.35,136135385782.08,113129916043.10,73577985981.73,31338770611.11,31641376815.93,18015781966.48,6663863064.80,1711316248.74,5000000000.00,5000000000.00,0,0,0,491972699.52,817735197.50,215298057.50,401590762.56,201653056.36,0,0,0,0,0,0,936397076.40,408537259.26,0,0,0,0,0,0,0,0,0,0.0
33,分配股利、利润或偿付利息所支付的现金,13999606810.96,8974935110.25,5212293677.71,2119470540.39,13861713663.88,9250966282.75,5546639563.28,1142907446.12,11241205417.25,7113684681.49,5777589029.18,404630569.91,13619167374.46,9619677683.73,4806930975.59,375949430.21,8677358260.09,5577602564.58,4217100842.91,268877792.23,3266234918.70,1685175909.46,1810883754.77,224361871.29,1367438116.11,1301301640.58,85606290.96,18407070.42,1395158356.16,1388045777.87,59301613.71,7072198.89,1357188622.31,1329080320.99,1334470895.43,8400047.84,1736589243.21,1784645727.52,84643251.26,48532584.40,875248025.92,874337578.87,822782118.00,0,466376043.61,466376043.61,412256812.42,0,108391462.04,108391462.04,0,0.0
