,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
48,无形资产摊销,0,10873295.95,0,21699272.22,0,10827674.34,0,20847257.86,0,9649290.24,0,20602504.85,0,10231178.35,0,18773388.96,0,9232371.67,0,16044426.74,0,8013474.09,0,9781212.26,0,2810319.66,0,5360909.70,0,2603000.11,0,3985618.05,0,1870774.80,0,4304505.99,2803612.88,1868862.85,0,3714381.02,3448359.81,6287483.03,0.0
49,长期待摊费用摊销,0,4540227.51,0,954289.53,0,233095.68,0,833452.19,0,2503552.45,0,12500.04,0,146749.56,0,253499.12,0,100499.54,0,40999.08,0,20499.54,0,40999.08,0,20499.54,0,40999.08,0,20499.54,0,27332.72,0,6833.18,0,0,0,0,0,235263.24,1534829.04,4437347.12,0.0
50,待摊费用的减少,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
51,预提费用的增加,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
52,处置固定资产、无形资产和其他长期资产的损失,0,1405280.11,0,-1768759.12,0,36601.56,0,-483243.10,0,11936.92,0,-501839.22,0,-493839.22,0,-734676.31,0,0,0,-726680.69,0,-405477.15,0,310089.18,0,-31749.69,0,-874475.41,0,-1000299.09,0,862553.50,0,32309.44,0,462536.14,367972.95,0,0,-40408.36,1360457.80,-32871.08,0.0
53,固定资产报废损失,0,0.00,0,-35740.30,0,0,0,0,0,0,0,0,0,0,0,0,0,1777.79,0,0,0,0,0,727.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2737.48,0,0,0.0
54,公允价值变动损失,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
55,递延收益增加（减：减少）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
56,预计负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
57,财务费用,0,128418057.64,0,203332482.91,0,96239779.03,0,146155103.35,0,72023240.31,0,170767558.32,0,89952754.25,0,176630420.91,0,84830234.52,0,126457881.29,0,61666973.43,0,114934858.17,0,53936991.50,0,95842685.46,0,44710672.05,0,63009940.15,0,27265401.73,0,40949277.65,29425074.70,18786565.77,0,37288863.60,62597334.31,42000418.48,0.0
58,投资损失,0,-113827.89,0,-45498.28,0,0,0,-2226229.89,0,0.00,0,-2499666.05,0,-2499730.72,0,-16806091.68,0,-12365131.61,0,-21477368.62,0,-25602224.71,0,-8441934.36,0,-3740971.37,0,-8820714.74,0,-6253721.47,0,-3004967.27,0,-4868650.70,0,-3837358.61,-5854352.00,102075.48,0,6556484.17,-1535062.86,-19200.00,0.0
59,递延所得税资产减少,0,-4427902.83,0,-14362926.82,0,-808336.49,0,-7736260.84,0,-6846102.40,0,-4916642.46,0,-3682975.67,0,-3182119.47,0,-1777482.95,0,-860435.42,0,-3056870.76,0,-669982.94,0,1128717.47,0,-911228.36,0,-81568.19,0,-17534562.22,0,-16576041.14,0,4108670.88,2717643.83,2757092.56,0,-835330.04,-2471798.34,-1277078.20,0.0
60,递延所得税负债增加,0,601598.58,0,10099274.31,0,-1649350.85,0,-2574720.14,0,-778449.06,0,-2577387.56,0,-1277749.41,0,-9559420.90,0,-1315673.33,0,6179130.47,0,-965338.03,0,-1580229.32,0,-373777.95,0,-858876.37,0,0,0,0,0,0,0,0,0,0,0,-65020.70,-19994.26,85014.96,0.0
61,存货的减少,0,-137316616.87,0,-236483081.77,0,-138065702.99,0,-515694551.56,0,-262810559.60,0,-118234609.63,0,-30161180.78,0,-19674782.02,0,-116513517.30,0,-188682714.29,0,-123274865.54,0,-161405310.98,0,-97349717.91,0,57759198.05,0,-15011298.86,0,-150255580.75,0,-35130401.48,0,-121558942.78,-62251106.62,5586992.79,0,150758550.95,-95509643.50,-261001647.57,0.0
62,经营性应收项目的减少,0,-326312677.67,0,20809452.30,0,-127660027.71,0,-588900336.19,0,-117006038.16,0,-298977735.43,0,-196928594.54,0,-272956444.32,0,-88603191.53,0,-1031719948.74,0,-168498876.29,0,-704000590.33,0,-158613235.88,0,-393408180.55,0,-166292838.79,0,-400853537.48,0,-203742513.33,0,-114558681.90,-87987650.22,-112351650.24,0,-90979737.57,-97091304.79,-69238850.75,0.0
63,经营性应付项目的增加,0,200492810.53,0,-259874136.57,0,89364341.41,0,597649167.51,0,118954588.24,0,45055939.47,0,47085474.61,0,12603773.06,0,-11705386.45,0,934391369.49,0,36406661.98,0,479674743.47,0,12306630.72,0,78641618.50,0,-27399588.57,0,30841380.75,0,-65744629.50,0,10285408.23,-25650020.03,-2992653.15,0,-47525103.98,74210244.90,239154434.11,0.0
64,已完工尚未结算款的减少(减:增加),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
65,已结算尚未完工款的增加(减:减少),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,其他,0,2088101.55,0,-3860235.05,0,35880171.66,0,-17438971.81,0,46013788.27,0,-17960965.55,0,-8718146.34,0,-14522509.92,0,-7224297.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
