,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,购建固定资产、无形资产和其他长期资产所支付的现金,30974706.80,150758196.74,87814307.18,40597482.42,16010455.32,102866271.49,73293277.91,45434267.36,19672638.42,84131437.66,58823565.19,39357449.15,13061133.51,48509619.46,26854907.53,16343588.53,7885127.66,72515826.81,63404743.01,54103050.77,48046841.06,54824608.59,46482112.34,16933624.32,11904462.18,60687796.60,37618552.71,29855183.71,22064777.80,48988168.75,22200392.73,14279826.58,6209955.39,20437745.75,13581075.69,7113276.92,2167518.56,48994934.03,21250460.52,3640988.86,970324.86,7782648.47,8953906.40,6559565.91,690100.03,16993073.34,8301543.34,6293737.43,6345706.24,44294498.96,38438079.16,32972882.51,6345706.24,43623276.12,16701339.20,8882454.62,4455310.68,43729650.28,10060845.51,3537605.77,95838.00,43141328.46,23881170.67,19923244.04,12676133.29,13398727.77,16313312.13,1759070.24,1127913.84,5121294.11,4017610.81,41826625.86,38320441.41,23801091.13,17600553.86,15366596.59,14548201.80,119307361.76,0.0
20,投资所支付的现金,0.00,8660000.00,8660000.00,8660000.00,8660000.00,0,7500000.00,7500000.00,0,0,0,0,0,0,30050000.00,0,0,1075253.68,1075253.68,0,0,0,0,0,0,92496800.00,92496800.00,92496800.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000.00,40000.00,0,0,190000000.00,0,0,0,1000000.00,1796700.00,500000.00,0,2165400.10,2165400.10,1665400.10,6165400.10,5550000.00,4550000.00,4500000.00,0,0,0,27999456.24,37499456.24,0,19689.61,60000000.00,0,82000000.00,0.0
21,取得子公司及其他营业单位支付的现金净额,37757750.00,133510000.00,105000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,0.00,0,0,0,0,0,0,0,0,0,0,0,0,336040.88,0,0,0,1104458.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930.00,0,930.00,930.00,930.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5600041.91,0,0.0
23,投资活动现金流出小计,68732456.80,292928196.74,201474307.18,49257482.42,24670455.32,130586271.49,80793277.91,52934267.36,19672638.42,84131437.66,58823565.19,39357449.15,13061133.51,48845660.34,56904907.53,16343588.53,7885127.66,74695539.26,64479996.69,54103050.77,48046841.06,54824608.59,46482112.34,16933624.32,11904462.18,153184596.60,130115352.71,122351983.71,22064777.80,48988168.75,22200392.73,14279826.58,6209955.39,20437745.75,13581075.69,7113276.92,2167518.56,48994934.03,21250460.52,3640988.86,970324.86,7782648.47,8953906.40,6559565.91,690100.03,16993073.34,8301543.34,6293737.43,6346636.24,44334498.96,38479009.16,32973812.51,6346636.24,233623276.12,16701339.20,8882454.62,4455310.68,44729650.28,11857545.51,4037605.77,95838.00,45306728.56,26046570.77,21588644.14,18841533.39,18948727.77,20863312.13,6259070.24,1127913.84,5121294.11,4017610.81,69826082.10,75819897.65,23801091.13,17620243.47,45366596.59,20148243.71,160307361.76,0.0
24,投资活动产生的现金流量净额,-64717947.44,-173888310.70,-172886861.79,-44184787.80,-18495666.96,-117520561.31,-80706123.96,-52903213.41,-19663751.45,-81094974.68,-57196193.42,-39357449.15,-12459795.75,-37075384.89,-56706753.73,-16164757.31,-7836806.87,43349912.33,-9544675.61,795461.23,-20966841.06,78631058.07,-46481762.34,-16933274.32,-11904462.18,-152926110.55,-129944992.71,-122212983.71,-21982777.80,-40916071.93,-22007405.73,-14086839.58,-6018168.39,84812254.25,-13286194.49,-6818395.72,-2122637.36,56499987.97,72719539.48,16409011.14,-970324.86,21576082.24,19816093.60,-6559565.91,-690100.03,-16266092.58,-8234875.34,-6293737.43,-6346636.24,-37506827.13,-37651337.33,-32968812.51,-6346636.24,-233604739.84,-16529178.32,-8716693.74,-4455310.68,-29361382.26,3146064.49,10962394.23,14904162.00,-44310572.70,-25534445.15,-21578658.36,-18836557.61,-18948727.77,-20863312.13,-6259070.24,-1127913.84,-5121294.11,-4017610.81,-39744286.50,-75819897.65,-7501091.13,-12620243.47,-20366596.59,-20148243.71,-159888806.26,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,603750000.00,603750000.00,603700000.00,2125000.00,219399999.00,216499999.00,0,0,550649998.08,550649998.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5565400.10,5565400.10,5565400.10,1490784.56,5990459.87,5990459.87,0,0,0,0,0,230400000.00,569677.99,0,0,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,4250000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,182900000.00,303900000.00,203600000.00,40000000.00,40000000.00,260000000.00,100000000.00,10000000.00,0,535000000.00,101000000.00,0,0,505000000.00,505000000.00,300000000.00,70000000.00,946000000.00,871000000.00,525000000.00,305000000.00,1026000000.00,931000000.00,638000000.00,300000000.00,1253500000.00,1050500000.00,662000000.00,320000000.00,986000000.00,891000000.00,558000000.00,375000000.00,695000000.00,555000000.00,352000000.00,260000000.00,543000000.00,478000000.00,232000000.00,138000000.00,539000000.00,325500000.00,129000000.00,93000000.00,496200000.00,273200000.00,177200000.00,80000000.00,579500000.00,361300000.00,218300000.00,80000000.00,514300000.00,341800000.00,200000000.00,50000000.00,237800000.00,152800000.00,77800000.00,48800000.00,360650000.00,266200000.00,144700000.00,61700000.00,477550000.00,326500000.00,263500000.00,128500000.00,159100000.00,107800000.00,180450000.00,107450000.00,146800000.00,58350000.00,156650000.00,120700000.00,127700000.00,0.0
