,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,购建固定资产、无形资产和其他长期资产所支付的现金,651439162.65,471631560.48,233174795.39,2136593551.58,2160472439.22,1735038330.94,899481428.10,2225580672.78,1401479604.79,1201583345.22,863715783.31,558438373.51,630396856.93,513313482.97,128245145.88,179222880.48,168668484.62,149697231.82,73781553.77,256380212.39,222861616.33,86919148.06,30449854.28,126288967.93,132233774.33,64588542.56,38575925.06,228302567.70,187802075.19,98436028.75,58685859.16,201729145.24,102480898.31,63808596.30,25098222.39,268839258.39,221151277.28,168416179.26,101797950.79,267405990.08,138581245.28,89979901.01,24891752.65,162797706.31,64183639.73,44576061.65,21139838.51,91354650.96,72963957.31,48361147.49,41295003.20,73891960.39,74586696.67,25234806.27,0.0
20,投资所支付的现金,0,0,0,24550000.00,35670000.00,34670000.00,24550000.00,307054464.00,621665534.00,328910644.00,120490350.00,9800000.00,70635200.00,30585200.00,17935200.00,8750000.00,84063150.65,75313150.65,75313150.65,0,279247104.80,0,0,45000000.00,45000000.00,45000000.00,45000000.00,82000000.00,82000000.00,80000000.00,80000000.00,110000000.00,0,0,0,210700000.00,0,0,0,7504140.17,7504140.17,7504140.17,0,3001519.36,2289135.00,2435250.00,0,0,0,0,0,0,600000.00,0,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,297998787.40,0,0,26000000.00,18835200.00,0,0,0,823860087.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,476435137.85,87625074.65,24736367.33,1444508474.07,1341121923.79,991688479.35,669158255.33,461000000.00,46071412.12,26000000.00,15000000.00,479204000.00,87214130.00,1450670.00,610.00,0,0,0,0,979000000.00,225000000.00,0,0,0,0,0,0,0,0,0,0,37668000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,投资活动现金流出小计,1127874300.50,559256635.13,257911162.72,3605652025.65,3537264363.01,2761396810.29,1593189683.43,3291633924.18,2069216550.91,1556493989.22,1025206133.31,1066277573.51,788246186.93,545349352.97,146180955.88,1011832968.02,252731635.27,225010382.47,149094704.42,1235380212.39,727108721.13,86919148.06,30449854.28,171288967.93,177233774.33,109588542.56,83575925.06,310302567.70,269802075.19,178436028.75,138685859.16,349397145.24,102480898.31,63808596.30,25098222.39,479539258.39,221151277.28,168416179.26,101797950.79,274910130.25,146085385.45,97484041.18,24891752.65,165799225.67,66472774.73,47011311.65,21139838.51,91354650.96,72963957.31,48361147.49,41295003.20,73891960.39,75186696.67,25234806.27,0.0
24,投资活动产生的现金流量净额,-311394505.59,-303066085.77,-255964341.72,-2280166301.51,-1917797148.27,-1773460929.68,-900184865.97,-2733925015.68,-1776722608.90,-1380171084.09,-888105274.39,-359572306.64,-292735905.75,-177452856.22,-111849724.02,-967531264.70,-109422620.12,-205203657.53,-149094704.42,-124410642.87,-298740617.86,79639102.19,119917611.77,-120642951.49,-129110485.64,-62367181.83,-38244543.55,-182030207.47,-144919589.55,-55687199.12,-58269511.94,-236117582.00,-97148961.06,-59183002.81,-25098222.39,-256124084.07,-220937440.04,-168260664.02,-101797950.79,-266022707.16,-137378148.04,-91448443.88,-23289652.95,-164506092.67,-66414098.43,-46952635.35,-21096843.31,-83785273.19,-68067682.98,-44148048.16,-41274303.20,-72214593.29,-74025681.55,-25107802.27,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,1500000000.00,0,0,0,0,0,0,10810700.00,10810700.00,0,0,2611602999.90,1750000.00,1750000.00,0,855783325.90,980000.00,980000.00,0,279247104.80,279247104.80,279247104.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346976120.00,346976120.00,338476120.00,334976120.00,0,0,0,0,0,0,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,10810700.00,0,0,0,1750000.00,0,0,0,980000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000000.00,12000000.00,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,6971179782.35,4185606458.79,2745121928.60,7569883296.77,5502497143.31,3866171659.91,1498101973.90,3995333885.32,2454299097.59,1387459784.33,575506946.11,2772177764.77,2100590947.61,1248264263.29,735174857.30,1699922588.30,1090110934.75,647295885.75,358906928.57,828061687.88,681927116.73,304515338.76,176870575.12,412000000.00,317000000.00,150000000.00,105000000.00,530000000.00,480000000.00,220000000.00,120000000.00,236730000.00,165000000.00,118000000.00,50000000.00,215450000.00,190000000.00,122700000.00,87700000.00,170000000.00,115000000.00,65000000.00,40000000.00,104500000.00,57250000.00,17250000.00,17250000.00,179250000.00,128550000.00,143550000.00,34000000.00,107250000.00,29150000.00,19150000.00,0.0
29,发行债券收到的现金,0,0,0,0,0,0,0,0,0,0,0,793800000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,3427290983.83,1587918280.86,359907428.00,681362850.97,963614154.03,389651471.59,366713586.83,959274684.41,935568413.68,35252669.74,0,861992697.97,429361894.14,240355326.51,119460000.00,465526110.00,15197.71,8614.64,1599.26,0,150469604.16,2350.32,0,16805.20,13090.89,11955.48,1768.09,172461.03,157155.39,33988.08,15602.76,780710.65,188472.88,130701.58,0,1581782.53,1313032.27,1243425.29,0,9543864.85,5657356.54,5415112.25,0,3918322.56,0,0,0,0,0,0,0,3325918.05,621400.00,147500.00,0.0
