,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,20000630,19991231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,购建固定资产、无形资产和其他长期资产所支付的现金,2341115588.21,1423963201.02,665021621.84,1726648792.82,1104417671.23,862234373.73,361763855.31,1056893617.56,856929702.51,572196822.69,102296215.58,1047568717.61,791149065.55,602657174.55,200675834.53,2162466792.60,1807321184.02,1438836959.88,494909120.44,3446976441.81,2066781003.56,1399302764.39,892543903.40,3203426340.29,3298131686.54,2448092872.49,742577571.83,2736858144.60,2217789565.79,1176241188.19,446268063.02,3480410871.84,2084925459.59,1302764901.98,627651848.91,3291554723.90,2311834146.72,1396224496.69,601148415.96,1850545936.68,230494466.90,22038899.04,8620311.17,62886472.05,56197400.98,44330726.89,28629580.39,79382608.80,60266290.00,36907914.78,22979210.98,111716871.83,76981959.82,21239306.79,10940201.96,248485931.61,202139980.81,175321837.74,109224176.39,400701561.76,286858422.21,214789461.13,0,1037063731.23,1069997283.59,601710508.60,0,585243836.05,20542283.00,57447778.00,6613461.00,73871155.00,1481761.00,62071176.00,0.0
20,投资所支付的现金,10215625.00,1000000.00,650000.00,1907610000.00,1105610000.00,6890000.00,6890000.00,467295152.22,441885370.02,108754999.42,42999443.32,119293791.20,64539674.40,99754652.20,29633529.88,260185882.64,890000030.00,381017052.51,210346000.00,204525210.00,274589880.00,53547938.33,87496008.33,704621980.00,82251400.00,434441000.00,17220000.00,1161656316.00,238808369.30,5901948369.30,21200000.00,532265473.97,1289465000.00,1180225000.00,4125000.00,1600000.00,1600000.00,0,0,520331144.00,860621596.61,540121596.61,240000000.00,444000000.00,224000000.00,222000000.00,0,426873087.20,337723087.20,700000.00,700000.00,14310866.82,279296732.78,5000000.00,0,19000000.00,8000000.00,8000000.00,8000000.00,0,0,0,0,111139621.59,56339621.59,56339621.59,0,104100000.00,80000000.00,354800000.00,404800000.00,971500000.00,180000000.00,0,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,1826362000.00,1826362000.00,1826362000.00,0,0,0,0,0,15303672.49,300000.00,300000.00,0,105098899.57,61576804.63,31675877.30,23684994.84,107475343.11,36009783.54,36009783.54,0,9044411.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,93700631.15,39807249.40,10585503.40,63396386.96,101944207.65,24257580.37,59944594.72,28446610.56,26497852.38,13077698.00,3698498.00,64781405.16,51871536.38,44195587.83,18683408.46,57958304.07,51182226.40,21524508.81,15921057.71,73273364.33,161050304.60,54568909.20,18192319.56,985742195.73,610339807.90,461534472.74,596420380.87,735430824.09,9475755184.02,448799234.18,3507083774.91,741190866.09,118284077.37,28626159.55,88644959.55,358847268.56,215242836.13,145575033.43,131130461.52,33895120.57,379749037.70,10327640.82,6541929.52,0,0,105253.65,0,0,0,0,61331.18,1595150.91,1500000.00,0,0,214887.24,1521439.71,1108382.86,1872096.40,4591439.44,17131573.60,13056520.94,0,4047691.60,3092242.32,0,0,0,90089650.00,0,0,0,0,0,0.0
23,投资活动现金流出小计,2445031844.36,1464770450.42,676257125.24,5524017179.78,4138333878.88,2719743954.10,428598450.03,1552635380.34,1325312924.91,694029520.11,148994156.90,1246947586.46,907860276.33,746907414.58,248992772.87,2585709878.88,2810080245.05,1873054398.50,744861172.99,3832250359.25,2538430971.70,1543429395.46,998232231.29,4902834927.27,3990722894.44,3344068345.23,1356217952.70,4633945284.69,11932353119.11,7526988791.67,3974551837.93,4753867211.90,3492674536.96,2511616061.53,720421808.46,3652001992.46,2528676982.85,1541799530.12,732278877.48,2404772201.25,1470865101.21,572488136.47,255162240.69,506886472.05,280197400.98,266435980.54,28629580.39,506255696.00,397989377.20,37607914.78,23740542.16,127622889.56,357778692.60,26239306.79,10940201.96,267700818.85,211661420.52,184430220.60,119096272.79,405293001.20,303989995.81,227845982.07,0,1152251044.42,1129429147.50,658050130.19,0,689343836.05,190631933.00,412247778.00,411413461.00,1045371155.00,181481761.00,62071176.00,0.0
24,投资活动产生的现金流量净额,-2360556670.07,-1393836640.38,-658406909.21,-4856143085.77,-3956746748.53,-2613889646.98,-333747004.07,-684162217.14,-1272932271.78,-654682925.35,-125526281.66,-1194392831.50,-866246642.69,-716483461.55,-230414055.88,-2538210557.68,-2638017152.16,-1837154629.30,-737764732.57,-3717425620.97,-2330005004.13,-1461390865.93,-930092548.85,-2016019435.76,-2600489881.27,-2497518356.71,-1229894345.44,-2134030156.95,-2422248300.29,-1311466155.95,-1082682563.55,-3515717295.59,-1864318713.70,-1286697639.91,-548706392.92,-3465778185.91,-2465557389.37,-1493996077.09,-714269723.44,-2178584461.32,-1312433677.46,-570517706.47,-254148040.69,-495736328.52,-270141797.92,-262609769.22,-27407780.39,-248419262.90,-143421561.06,197875542.36,88124725.28,235047393.11,120242428.47,23935935.19,-2635959.90,-231284493.83,-211326343.41,-184178006.60,-118678515.34,-314492016.10,-224221351.60,-207744021.52,0,-1129593299.06,-1108945193.42,-637627103.19,0,-686506502.99,-189023213.00,-90041671.00,-39207353.00,-59144967.00,1443786.00,-62071176.00,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,8952000.00,8302000.00,0,4123679053.30,3993978826.44,3993978826.44,60000000.00,242150000.00,219700000.00,169700000.00,0,112877548.30,400461000.00,400406000.00,400000000.00,13879891.00,8250000.00,7200000.00,5100000.00,285703951.70,37470000.00,1470000.00,187114609.00,193764609.00,194164609.00,108947000.00,44207000.00,134597271.23,35384000.00,8920000.00,0,2246323414.00,2122616915.00,2119399984.00,0,45200000.00,6000000.00,6000000.00,6000000.00,428800000.00,0,0,0,0,0,0,0,98000000.00,0,0,0,0,267996732.78,0,0,0,0,0,0,0,0,0,0,45000000.00,45000000.00,45000000.00,0,0,10000000.00,9000000.00,0,368424647.00,330010918.00,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,650000.00,8302000.00,0,156600000.00,156600000.00,156600000.00,60000000.00,242150000.00,219700000.00,169700000.00,0,112877548.30,400461000.00,400406000.00,400000000.00,13879891.00,7200000.00,7200000.00,5100000.00,285703951.70,13030000.00,0,187114609.00,193764609.00,187114609.00,0,0,134597271.23,5000000.00,0,0,135923430.00,0,0,0,45200000.00,0,0,0,428800000.00,0,0,0,0,0,0,0,98000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,8560223269.50,6235307246.40,2780730737.55,9761315862.82,8195760417.08,4093436708.12,1694041795.52,13326527099.37,7562655473.96,6183689741.47,1482312099.80,11533004300.00,9216854100.00,7066180500.00,3964368510.00,11817350079.04,9073038952.68,6053475222.99,3384747634.38,15323560084.41,9072790180.00,5293425780.00,4133769033.36,5178278381.10,4178863399.92,4253474117.34,2010218000.00,3721691802.34,2666248301.79,1128520348.59,548225375.00,3346057342.17,2922804342.03,2358718374.39,1196566341.61,5009344275.51,4210327165.51,1672590265.51,524790258.80,3456601151.31,2995681680.00,829600000.00,426800000.00,897600000.00,794400000.00,535600000.00,190800000.00,964800000.00,774800000.00,335600000.00,210800000.00,723400000.00,649400000.00,286400000.00,130800000.00,514600000.00,452038900.00,206438900.00,100000000.00,652474036.80,408474036.80,298739432.63,0,1163273272.64,1006988497.73,657174068.16,0,692850000.00,82850000.00,255000000.00,50000000.00,120000000.00,0,91000000.00,0.0
29,发行债券收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992400000.00,1992400000.00,0,1992000000.00,2000000000.00,0,0,0,0,0,0,1986000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,1279591212.79,1088167000.00,296662000.00,1848572226.51,1339334055.25,1181722297.41,276000000.00,1281907000.00,1297886000.00,322886000.00,347509250.00,683723399.04,46524948.51,3992591.43,6996354.32,980496867.71,648308920.68,626390790.95,43113635.33,95266423.48,12697917.00,0,996000000.00,122525194.35,11994850.00,0,0,0,0,55631155.51,0,117779077.13,308786816.18,41237758.27,279068320.93,78913279.59,392798300.00,390000000.00,200000000.00,16298490.73,199305945.98,0,0,95085088.29,70895000.00,0,135000000.00,0,0,0,0,139349166.66,162849166.66,166081172.66,193064590.66,194441766.66,198559175.62,90789000.00,90389000.00,9780001.99,2879970.00,0,0,3833010.74,98157.38,3922087.09,0,0,0,0,0,2079423.00,0,0,0.0
31,筹资活动现金流入小计,9848766482.29,7331776246.40,3077392737.55,15733567142.63,13529073298.77,9269137831.97,2030041795.52,14850584099.37,9080241473.96,6676275741.47,1829821349.80,12329605247.34,9663840048.51,7470579091.43,4371364864.32,12811726837.75,9729597873.36,6687066013.94,3432961269.71,15704530459.59,11115358097.00,7287295780.00,5129769033.36,7486568184.45,6385022858.92,4362421117.34,2054425000.00,3856289073.57,2701632301.79,1193071504.10,548225375.00,7696159833.30,5354208073.21,4519356116.66,1475634662.54,5133457555.10,4609125465.51,2068590265.51,730790258.80,3901699642.04,3194987625.98,829600000.00,426800000.00,992685088.29,865295000.00,535600000.00,325800000.00,1062800000.00,774800000.00,335600000.00,210800000.00,862749166.66,1080245899.44,452481172.66,323864590.66,709041766.66,650598075.62,297227900.00,190389000.00,662254038.79,411354006.80,298739432.63,0,1212106283.38,1052086655.11,706096155.25,0,692850000.00,92850000.00,264000000.00,50000000.00,490504070.00,330010918.00,91000000.00,0.0
32,偿还债务支付的现金,7293427673.27,5212897465.65,1629378828.29,11398354104.55,9342610830.22,6338437917.79,1544170945.05,15093484666.66,8101512758.23,6009124007.23,2286794370.73,10535037802.50,9127369697.92,4936960058.43,3170143325.39,9269155749.38,6811048351.02,4776340247.55,3492898600.11,10356491837.62,7011991830.13,5024700018.99,2025200273.60,3976407252.65,2703681596.12,1568055910.68,724002311.32,2331410181.48,1572434202.19,963197872.74,394077431.88,1924347792.34,1532414613.99,653016936.21,411975070.98,1926552707.92,1295638360.74,643429052.28,315328612.51,1607901967.74,1389796584.22,466860000.00,178380000.00,1146939088.02,1034718975.65,671151198.85,355369240.00,822586487.10,743978382.69,457542345.39,321600000.00,758885876.65,617736037.95,325867078.67,134560000.00,649063698.01,557280366.03,215266585.29,84000000.00,815797776.67,485632232.24,325678800.00,0,462381000.00,289850000.00,149894855.52,0,323560000.00,104360000.00,125950500.00,0,55000000.00,55000000.00,36000000.00,0.0
