,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,购建固定资产、无形资产和其他长期资产所支付的现金,131629023.78,93028598.88,64168427.17,22384584.55,1430792211.31,1410658507.81,26035263.08,3473111.57,1349162918.28,1834476860.15,743065198.16,2838806.34,49684781.19,37366033.69,18630468.06,73797.00,1392058.24,670145.49,440810.00,235785.00,13652305.62,10265801.13,3596723.13,934337.47,10370823.45,6662620.45,5840895.50,2534447.50,23473809.70,31040356.37,10240929.00,3966141.90,23013762.73,10568302.73,7540493.73,654747.25,2789179.18,1864342.40,773148.00,249600.00,1022016.30,512670.00,287250.00,96550.00,939489.94,422681.38,366243.00,52373.00,717913.77,345117.00,262317.00,111232.00,234969.00,292236.00,231087.00,166287.00,2161999.00,1294104.00,863362.00,483256.00,3517941.01,1402418.25,2298841.26,327358.25,50255314.68,47077897.72,10851151.29,9455031.87,24048108.26,10610610.66,45999369.47,18410817.66,3483559.02,2125672.06,11134768.60,7275258.98,6426354.62,0.0
20,投资所支付的现金,37893397.30,48607182.23,38152698.03,8158598.93,213700712.10,189781450.78,180067988.78,95291610.32,1902664981.46,1682233885.03,1517452813.37,1800000000.00,3761274789.06,2586274789.06,729236261.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,119655.00,70741.85,0,0,0,0,0,0,0,0,0,0,0,0,0,32257136.30,32257136.30,32257136.30,25005040.90,7024122.40,405500.00,0,0,0,0,0,0,1250000.00,800000.00,800000.00,0,42400000.00,0,84950000.00,78950000.00,10219041.93,450000.00,0,0,0,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,201122.25,0,0,0,355200907.83,0,0,0,1955696118.73,1955696118.73,1954606980.58,1991611980.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,30000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48000000.00,48000000.00,0,0,293190000.00,208580000.00,106950000.00,80000000.00,170000000.00,90000000.00,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136443.13,136443.13,136443.13,0,0,0,0,50000.00,0,0,0,2391165.07,46749.50,0,0,0,0.0
23,投资活动现金流出小计,199522421.08,141635781.11,102321125.20,30543183.48,1644694045.66,1600439958.59,206103251.86,98764721.89,3607028807.57,3516710745.18,2260518011.53,1802838806.34,5766655688.98,4579336941.48,2702473710.60,1991685777.58,49392058.24,48670145.49,440810.00,235785.00,306842305.62,218845801.13,110546723.13,80934337.47,180370823.45,96662620.45,5840895.50,2534447.50,23473809.70,31040356.37,10240929.00,3966141.90,23013762.73,10568302.73,7540493.73,654747.25,2789179.18,1983997.40,843889.85,249600.00,1022016.30,512670.00,287250.00,96550.00,939489.94,422681.38,366243.00,52373.00,717913.77,345117.00,262317.00,111232.00,32492105.30,32549372.30,32488223.30,25171327.90,9186121.40,1699604.00,863362.00,483256.00,3517941.01,1538861.38,2435284.39,463801.38,51505314.68,47877897.72,11651151.29,9455031.87,66498108.26,10610610.66,130949369.47,97360817.66,16093766.02,2622421.56,11134768.60,7275258.98,6426354.62,0.0
24,投资活动产生的现金流量净额,111316189.32,140517755.81,168198670.29,-30086424.21,-1507762046.71,-1472405990.07,-127245181.58,-42698511.70,-2374652180.69,-2399922996.76,-1223353120.09,-217666077.29,-1678668939.54,-1698991323.21,-1733238120.30,-1940613751.16,102222942.00,44796939.31,40554951.40,6048415.00,2573343.41,1773872.13,47900063.98,-25695957.21,24331112.26,-1641620.45,-5822895.50,-2534447.50,-23393809.70,-31040356.37,-10240929.00,-3966141.90,-22397262.73,-9980852.73,-6953493.73,-254747.25,-1049942.01,-1768409.59,-702182.49,-207044.63,-263988.50,-304198.18,-287250.00,-96550.00,5061069.09,713582.44,742520.82,62186.03,-606913.77,5023471.00,3498903.00,3623368.00,20839704.11,-30433335.14,-31807523.46,-25040327.90,-8923623.40,-1479046.00,-763362.00,-483256.00,-1782741.01,-1249661.38,-2146084.39,-183801.38,5584067.43,-44216514.91,-10202140.58,-7723251.87,-63158110.79,-8790125.45,-120665776.68,-95053530.70,25203374.77,1850278.04,23115751.57,411129.02,-2709958.10,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,31084500.10,31084500.10,31084500.10,0,0,0,0,0,5000000.00,5000000.00,5000000.00,5000000.00,2179799989.29,2179799989.29,2179799989.29,2179799989.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526421.70,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,0,5000000.00,5000000.00,5000000.00,5000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,20344849093.49,13935084489.38,9350999845.44,3460133528.54,17040458676.91,12214843453.28,8905638369.92,4093889502.78,14045813054.59,8464168960.81,6115497145.09,3792405456.46,8712870596.30,5368990772.80,3700922321.28,1810000000.00,0,0,0,0,0,0,0,0,546700.00,546700.00,546700.00,546700.00,12496600.00,10750000.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16171000.00,27591000.00,27091000.00,23000000.00,84468954.93,33468954.93,29268954.93,29028171.47,136459469.71,174326898.50,64822043.68,3692723.87,301099755.32,211850017.98,82687072.64,43425430.00,589884600.00,360500000.00,458700000.00,291600000.00,677910633.08,443040000.00,592762527.55,151433120.00,527181859.24,0.0
