,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
24,投资活动产生的现金流量净额,-2745979.06,-35910168.89,22029489.98,-4832016.30,-5173380.64,-6953093.36,-3691057.84,-53993309.75,-22967612.67,-13680616.09,-1542444.42,47304993.65,6253919.07,6956784.28,-7391413.86,32626104.67,-12198637.68,-7744352.59,-4671265.20,-32775810.22,-18381420.79,-13969862.72,-4252844.53,-57326595.23,-49259861.43,-21215914.72,-10984652.50,-51499729.51,-40091351.77,-31908591.40,-8554697.47,-58096194.25,-41858709.36,-33730019.44,-9450374.59,-60965034.90,-28915921.73,-25395375.51,-1809406.32,-12008387.02,-6924517.36,-6010552.77,-1901230.09,-9203693.55,-6532562.25,-14078451.44,-5221849.10,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,20685000.00,20685000.00,0,575000.00,575000.00,440000.00,440000.00,1375538.12,1240000.00,930000.00,1210000.00,5550264.00,4480000.00,1230000.00,750000.00,4204200.00,3054200.00,2094200.00,244200.00,4325800.00,2240000.00,1920000.00,1730000.00,14917300.00,20960250.00,20960250.00,5726500.00,25430152.00,28290152.00,24795152.00,19930152.00,44097200.00,40986200.00,28024250.00,11005000.00,137717300.00,20900600.00,1775000.00,0,406685200.00,18650000.00,18439200.00,1515000.00,31863900.00,15948010.00,10367000.00,5240000.00,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0.00,0,575000.00,575000.00,440000.00,440000.00,1375538.12,1240000.00,930000.00,1210000.00,5550264.00,4480000.00,1230000.00,750000.00,4204200.00,0,0,244200.00,4325800.00,0,0,1730000.00,14917300.00,20960250.00,0,0,25430152.00,0,0,0,44097200.00,0,0,0,0,0,0,0,12525200.00,0,4679200.00,1515000.00,10490900.00,0,1540000.00,5240000.00,0.0
28,取得借款收到的现金,483215350.00,229351440.00,126560000.00,480089800.00,286644000.00,186444000.00,78444000.00,554704000.00,487400000.00,333900000.00,162500000.00,613300000.00,491300000.00,303800000.00,105800000.00,601000000.00,455500000.00,331000000.00,161000000.00,466822100.00,423222100.00,246186100.00,158650000.00,688482400.00,374010000.00,198000000.00,82000000.00,613600000.00,520900000.00,338300000.00,177000000.00,501000000.00,431000000.00,291600000.00,157000000.00,148450000.00,112100000.00,46000000.00,36000000.00,26810270.00,22861270.00,11910270.00,15052630.00,12051000.00,8978000.00,2000000.00,6500000.00,0.0
29,发行债券收到的现金,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,340915741.05,258884808.48,144348854.59,743676813.89,283607765.48,214225739.25,37125000.00,255728743.74,68085170.67,28342171.67,0,189779363.81,70374144.81,39631608.84,0,255540214.44,0,0,0,601869222.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
31,筹资活动现金流入小计,844816091.05,508921248.48,270908854.59,1224341613.89,570826765.48,401109739.25,116009000.00,811808281.86,556725170.67,363172171.67,163710000.00,808629627.81,566154144.81,344661608.84,106550000.00,860744414.44,458554200.00,333094200.00,161244200.00,1073017122.11,425462100.00,248106100.00,160380000.00,703399700.00,394970250.00,218960250.00,87726500.00,639030152.00,549190152.00,363095152.00,196930152.00,545097200.00,471986200.00,319624250.00,168005000.00,286167300.00,133000600.00,47775000.00,36000000.00,433495470.00,41511270.00,30349470.00,16567630.00,43914900.00,24926010.00,12367000.00,11740000.00,0.0
32,偿还债务支付的现金,406152510.00,236898740.00,152460000.00,470206000.00,380152000.00,277722000.00,122722000.00,569370000.00,473970000.00,324970000.00,136470000.00,671230000.00,606024775.96,411458658.52,196500000.00,348300000.00,279800000.00,182300000.00,136000000.00,643980100.00,484108000.00,354470000.00,137920000.00,670962400.00,436300000.00,266300000.00,117800000.00,596800000.00,464200000.00,226000000.00,121000000.00,174500000.00,174000000.00,46000000.00,36000000.00,20350000.00,9900000.00,6500000.00,5000000.00,28961270.00,15961270.00,3000000.00,3000000.00,2000000.00,0,2600000.00,5500000.00,0.0
33,分配股利、利润或偿付利息所支付的现金,44542688.69,27284112.63,15508041.71,56319025.67,24460386.47,14173273.60,7073408.70,45004407.81,36062901.51,23657383.90,11917968.67,46690410.46,26144017.42,18309075.98,10300306.30,40674866.21,25273844.00,16723054.75,7614401.46,51854138.10,51831140.94,25642552.86,17777579.13,61648387.12,41427507.06,22242648.67,12708588.91,59445186.42,60298157.89,33332268.36,8864252.71,56715741.95,36698290.51,25535449.98,2561660.53,27587052.27,19528294.03,19452351.25,0,2647748.04,1612389.20,947824.76,255857.85,1514643.63,1071112.74,146757.24,151918.55,0.0
34,其中：子公司支付给少数股东的股利、利润,6438639.72,5043341.26,5771268.14,9680768.33,4307874.19,1612136.09,1235241.84,12207913.39,11826601.74,6874743.62,0,10589815.10,4559637.04,3406056.79,0,4848189.38,0,0,0,12961765.40,0,0,0,22678337.85,0,0,0,1455621.12,0,0,0,14175462.37,0,0,0,5616496.62,0,0,0,0,0,0,0,0,0,0,0,0.0
35,支付其他与筹资活动有关的现金,464347999.60,373248448.45,160023000.74,641610524.39,256241483.49,155306300.17,7825000.00,300213155.79,60273159.19,6118354.50,0,252547436.42,77215986.00,3900756.97,0,453983509.83,4247661.36,620661.36,0,437480762.43,10646193.60,10646193.60,0,16699805.75,0,0,0,8625345.89,0,0,0,0,0,0,0,200000.00,200000.00,200000.00,339615.12,130600.00,130600.00,130600.00,0,32000.00,0,36000.00,83000.00,0.0
36,筹资活动现金流出小计,915043198.29,637431301.08,327991042.45,1168135550.06,660853869.96,447201573.77,137620408.70,914587563.60,570306060.70,354745738.40,148387968.67,970467846.88,709384779.38,433668491.47,206800306.30,842958376.04,309321505.36,199643716.11,143614401.46,1133315000.53,546585334.54,390758746.46,155697579.13,749310592.87,477727507.06,288542648.67,130508588.91,664870532.31,524498157.89,259332268.36,129864252.71,231215741.95,210698290.51,71535449.98,38561660.53,48137052.27,29628294.03,26152351.25,5339615.12,31739618.04,17704259.20,4078424.76,3255857.85,3546643.63,1071112.74,2782757.24,5734918.55,0.0
37,筹资活动产生的现金流量净额,-70227107.24,-128510052.60,-57082187.86,56206063.83,-90027104.48,-46091834.52,-21611408.70,-102779281.74,-13580890.03,8426433.27,15322031.33,-161838219.07,-143230634.57,-89006882.63,-100250306.30,17786038.40,149232694.64,133450483.89,17629798.54,-60297878.42,-121123234.54,-142652646.46,4682420.87,-45910892.87,-82757257.06,-69582398.67,-42782088.91,-25840380.31,24691994.11,103762883.64,67065899.29,313881458.05,261287909.49,248088800.02,129443339.47,238030247.73,103372305.97,21622648.75,30660384.88,401755851.96,23807010.80,26271045.24,13311772.15,40368256.37,23854897.26,9584242.76,6005081.45,0.0
