,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,20000630,19991231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,购建固定资产、无形资产和其他长期资产所支付的现金,826992531.89,439164988.44,236157267.00,115406692.57,1012454698.97,568871076.03,340743141.93,160326079.89,926704259.82,629915766.05,423240256.76,214882024.38,797375913.36,573422100.62,318921802.04,161001787.83,276391232.76,235553095.48,198203832.81,106355632.79,415224141.34,232950227.88,142977675.98,98380340.87,694471266.43,500344728.33,311837108.28,219328172.08,1280988531.11,823699620.78,550791717.29,154440893.90,509448886.03,314915993.65,212340713.15,125492682.79,322728723.32,298967498.16,157187272.22,62997197.96,267035953.39,175629880.45,104957849.04,60061154.77,476308322.56,343003813.92,188557671.06,52959108.06,302154065.28,202341929.75,113054847.04,34540952.09,147018765.46,115644609.47,86489056.67,35550624.45,166400812.22,92098657.45,67098068.51,40823656.06,132130025.22,82946732.36,29674852.47,3717635.79,73058534.58,65285059.29,50156998.14,28721548.63,115424538.22,57652786.83,187443566.63,78744573.05,51868973.40,6557847.26,19373496.13,0.0
20,投资所支付的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36403600.00,0,0,0,4534200.00,4534200.00,4534200.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000000.00,73034000.00,93824000.00,73000000.00,73000000.00,70053430.00,70000000.00,10255599.06,3391500.00,15444065.80,6507735.60,0,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1582896.05,-3800158.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22047000.86,0,0,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12694.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,投资活动现金流出小计,826992531.89,439164988.44,236157267.00,115406692.57,1012454698.97,568871076.03,340743141.93,160326079.89,926704259.82,629915766.05,423240256.76,214882024.38,797375913.36,573422100.62,318921802.04,161001787.83,276391232.76,235553095.48,198203832.81,106355632.79,415224141.34,232950227.88,142977675.98,98380340.87,694471266.43,500344728.33,311837108.28,219328172.08,1280988531.11,823699620.78,550791717.29,154440893.90,509448886.03,314915993.65,212340713.15,125492682.79,359132323.32,300550394.21,153387113.63,62997197.96,271570153.39,180164080.45,109492049.04,60061154.77,476308322.56,343003813.92,188557671.06,52959108.06,302154065.28,202341929.75,113054847.04,34540952.09,147018765.46,115644609.47,86489056.67,35550624.45,166400812.22,92098657.45,67110762.51,40823656.06,132130025.22,82946732.36,29674852.47,43717635.79,168139535.44,159109059.29,123156998.14,101721548.63,185477968.22,127652786.83,197699165.69,82136073.05,67313039.20,13065582.86,19373496.13,0.0
24,投资活动产生的现金流量净额,-815186499.48,-437267656.51,-234328904.58,-115405692.57,-1011722852.43,-568316427.87,-333514089.70,-160095210.86,-906639296.98,-626336083.23,-423200398.36,-214847815.98,-773328763.36,-573186162.61,-318696402.04,-160807787.83,-243350302.01,-235304179.88,-198177917.21,-106331877.19,-400351922.34,-232752791.88,-142782189.98,-98380340.87,-660970903.27,-499418905.29,-311830208.28,-219328172.08,-1278109151.72,-821288620.78,-550780717.29,-154429893.90,-508619757.81,-314755192.85,-212179912.35,-125487182.79,-343024964.97,-300539234.21,-153380553.63,-62997197.96,-261477793.61,-170081916.52,-99463980.11,-60061154.77,-474599272.82,-342974113.92,-188556471.06,-52958508.06,-272940148.35,-172536682.03,-83197206.62,-33360952.09,-145015540.17,-113442502.69,-84703865.12,-35480289.29,-163603520.47,-91203704.73,-66254497.21,-40736945.99,-126895150.23,-80298974.15,-27103057.15,-41644612.51,-122725962.95,-157576565.72,-122670765.89,-101598880.58,-101339152.52,-127290737.03,-177042534.77,-65040688.47,-67307068.12,-13064082.86,-19373496.13,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10800000.00,0,0,0,804910100.00,797710100.00,0,0,0,0,0,0,0,2157543.31,0,0,25111800.00,25111800.00,25111800.00,0,15000000.00,15000000.00,15000000.00,15000000.00,34892800.00,34892800.00,34892800.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9430050.00,0,0,400821303.50,0,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10800000.00,0,0,0,7200000.00,0,0,0,0,0,0,0,0,0,0,0,25111800.00,0,0,0,0,0,0,0,34892800.00,34892800.00,34892800.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,3797134790.54,3159556384.69,3155182264.69,1354400000.00,3281560622.06,2822523520.51,2001402535.17,1136267535.17,3900517763.72,3738190247.03,3253894247.03,2051775797.23,3914010445.74,3013894077.61,1752890127.41,1213523697.52,3094132294.26,1835936072.68,756293051.16,493068729.99,4344085340.58,3145421962.88,1920696018.91,1386816089.04,3118375036.70,3647686119.34,2330294889.04,1160745614.94,3987825047.90,3026133194.97,1400899683.45,940498332.00,1655075626.70,1161634116.14,724012874.40,409578000.00,1995532048.23,1435754440.35,808697185.00,406075850.00,1154600000.00,324800000.00,227748500.00,347100000.00,856161020.24,732649991.99,454470132.11,262909093.73,612798741.33,371195508.38,242446512.62,114921710.15,399163265.77,242242815.61,159824729.93,63886845.57,220249154.00,140297160.00,140526903.00,75418127.77,200000000.00,145000000.00,115000000.00,92000000.00,95000000.00,95000000.00,70000000.00,45000000.00,83930000.00,79930000.00,550000.00,500000.00,59000000.00,31000000.00,33500000.00,0.0
