,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,购建固定资产、无形资产和其他长期资产所支付的现金,60607960.39,39579189.86,14280671.66,154395513.18,127654384.73,91747851.64,43217434.29,136796851.73,87678862.43,47963303.50,27103020.89,77706682.93,99460436.13,81636829.62,29962814.38,133666626.26,72077072.88,53533738.06,25191566.55,114827914.41,81505599.09,56069299.93,22382213.39,126628332.31,54914643.52,36192989.56,25093605.99,22607783.12,13099473.56,9757702.99,4452614.97,33632923.12,29974953.98,25820894.27,10777990.47,36510975.07,22782812.85,11410536.80,1503142.90,16567370.54,6270739.12,3730685.98,1269061.08,13801894.07,10657146.32,9235413.14,6720494.21,12624221.86,11529280.08,3543762.20,1679623.08,28225857.58,25003595.14,12252481.77,2619061.00,9079463.48,6068125.02,3168393.74,1309784.56,4464004.15,1654742.09,905288.09,718039.09,1868765.57,0.0
20,投资所支付的现金,0,0,0,0,0,0,0,0,0,0,0,167000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000.00,10000000.00,10000000.00,10000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9460000.00,9460000.00,13945000.00,4485000.00,0,0,0,0,20000000.00,20000000.00,10000000.00,0,0,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,1500000.00,299921.16,299921.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,投资活动现金流出小计,60607960.39,39579189.86,14280671.66,154395513.18,127654384.73,91747851.64,43217434.29,136796851.73,89178862.43,48263224.66,27402942.05,244706682.93,99460436.13,81636829.62,29962814.38,133666626.26,72077072.88,53533738.06,25206566.55,114827914.41,81505599.09,56069299.93,22382213.39,126628332.31,54914643.52,36192989.56,25093605.99,32607783.12,23099473.56,19757702.99,14452614.97,33632923.12,29974953.98,25820894.27,10777990.47,36510975.07,22782812.85,11410536.80,1503142.90,16567370.54,6270739.12,3730685.98,1269061.08,13801894.07,10657146.32,9235413.14,6720494.21,12624221.86,11529280.08,3543762.20,1679623.08,37685857.58,34463595.14,26197481.77,7104061.00,9079463.48,6068125.02,3168393.74,1309784.56,24464004.15,21654742.09,10905288.09,718039.09,1868765.57,0.0
24,投资活动产生的现金流量净额,-58673942.82,-37705891.80,-12830671.66,-145485582.92,-112679391.41,-84793509.64,-42447434.29,-136655905.45,-88960604.04,-48250564.09,-27397281.48,-244642321.93,-99406775.13,-81621433.62,-29962418.38,-133620972.26,-72033518.88,-53515618.06,-25193400.55,-114709412.91,-81420249.59,-56016969.93,-22356133.39,-126220942.31,-54568253.52,-35891799.56,-24795605.99,-32508173.12,-23045038.56,-19736447.99,-14432829.97,-33608868.22,-29951899.08,-25803184.37,-10762385.57,-36507332.07,-22779169.85,-11407743.80,-1510039.90,-15885791.77,-5558660.35,-3035607.21,-1266016.08,-13744050.57,-10609081.82,-9212161.64,-6705344.71,-2819442.86,-11188280.08,-3402762.20,-1679623.08,-11159156.09,-7936893.65,329219.72,-7104061.00,-9057683.48,-6065625.02,-3165893.74,-1309784.56,-24464004.15,-21654742.09,-10905288.09,-718039.09,-1737275.32,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,17602200.00,17604316.13,0,0,0,0,0,479330584.00,479330584.00,479330584.00,0,4966500.00,0,0,0,64770500.00,0,0,0,0,0,0,0,207041997.00,207416997.00,0,0,0,0,0,0,0,0,0,0,43224760.00,43224760.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235837563.10,248700000.00,248700000.00,248700000.00,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,298105024.00,269172424.00,161507424.00,700722000.00,606872000.00,405000000.00,118000000.00,354000000.00,278000000.00,268000000.00,155000000.00,736718000.00,417730000.00,356750000.00,105980000.00,682742496.30,473358865.74,317942496.30,72500000.00,605774124.03,227500000.00,127500000.00,0,260000000.00,209000000.00,114000000.00,24000000.00,213900000.00,139000000.00,99000000.00,39000000.00,139500000.00,119000000.00,90000000.00,40000000.00,88000000.00,82250000.00,23000000.00,23000000.00,73100000.00,68000000.00,22000000.00,10000000.00,143875643.64,90825572.74,40000000.00,10000000.00,169800000.00,96800000.00,56800000.00,26800000.00,60000000.00,30000000.00,30000000.00,0,72253822.40,72184921.94,63449697.57,33449697.57,147994814.25,0,0,0,20000000.00,0.0
