,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,购建固定资产、无形资产和其他长期资产所支付的现金,25064023.50,15367592.81,277782813.07,17179512.56,11412600.16,9267635.04,2132123.37,259284908.84,12998372.02,9600366.55,1899666.72,46095015.19,4315664.16,3373799.48,2032954.33,9557082.89,6991876.34,1618957.28,753465.28,13314964.01,8105563.30,5393636.30,3895082.63,6042679.28,4198281.50,2955200.50,1005286.93,4183322.28,3219468.63,2297971.71,665545.01,12385000.80,7604034.68,4463291.81,1680009.93,56851325.02,80139387.05,54881734.96,15543440.92,306614427.95,17752025.63,987348.08,229742.54,4401619.00,4100439.20,506752.00,192250.00,9342842.44,1810376.00,2891473.15,888227.04,9499995.46,7679461.73,6604921.14,3306925.09,20592214.23,19565516.88,15278642.71,7181285.55,42798976.12,46820558.04,47138016.44,12179845.23,44131756.60,29592239.11,16963469.95,13618355.65,13993024.47,5110029.59,11127134.68,0.0
20,投资所支付的现金,1084893808.44,430358019.71,43940647.95,1641415687.68,245587021.86,155712022.00,88438022.00,1454382388.13,1944788399.30,833730899.30,14000000.00,828943485.00,507390385.00,416069110.19,385202125.00,299299501.00,54000000.00,15000000.00,0,551538800.00,525458800.00,0,0,194998930.00,0,0,0,17050000.00,17000000.00,17000000.00,17000000.00,0,0,0,15734700.00,424740000.00,298658057.48,38700000.00,38700000.00,290000000.00,0,0,0,0,0,0,0,124686784.15,65563679.00,65563679.00,63000000.00,51420000.00,50420000.00,40220000.00,0,45000000.00,45000000.00,45000000.00,45000000.00,34977148.99,34977148.99,34977148.99,34977148.99,119160000.00,119160000.00,50000000.00,0,0,0,0,0.0
21,取得子公司及其他营业单位支付的现金净额,104955942.32,69955942.32,0,0,0,0,0,0,0,0,0,399125870.94,27165665.60,0,0,156113135.83,7836105.08,7836105.08,49469500.00,0,0,18620000.00,0,3329385.35,184520235.35,171520235.35,168190850.00,167172983.75,0,0,0,-53737873.70,6338994.90,6338994.90,0,397718166.92,0,0,-1974700.88,-8782.90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,2029774742.13,169363704.66,402677004.85,3902696408.44,2042275290.37,1588177375.47,602528645.98,1447148152.86,2623046753.36,2786288778.78,297958160.00,870207656.00,1233569108.53,160368000.00,694980000.00,1070399950.00,0,0,0,0,0,0,0,0,0,0,0,308000000.00,0,0,0,0,0,0,0,448475.00,0,0,0,2600000.00,69451112.46,0,0,0,171922521.69,0,0,0,205105339.28,72902883.72,0,0,0,0,0,0,0,0,0,0,0,0,0,80000.00,80000.00,80000.00,0,0,0,0,0.0
23,投资活动现金流出小计,3244688516.39,685045259.50,724400465.87,5561291608.68,2299274912.39,1753157032.51,693098791.35,3160815449.83,4580833524.68,3629620044.63,313857826.72,2144372027.13,1772440823.29,579810909.67,1082215079.33,1535369669.72,68827981.42,24455062.36,50222965.28,564853764.01,533564363.30,24013636.30,3895082.63,204370994.63,188718516.85,174475435.85,169196136.93,496406306.03,20219468.63,19297971.71,17665545.01,-41352872.90,13943029.58,10802286.71,17414709.93,879757966.94,378797444.53,93581734.96,52268740.04,599205645.05,87203138.09,987348.08,229742.54,4401619.00,176022960.89,506752.00,192250.00,134029626.59,272479394.28,141358035.87,63888227.04,60919995.46,58099461.73,46824921.14,3306925.09,65592214.23,64565516.88,60278642.71,52181285.55,77776125.11,81797707.03,82115165.43,47156994.22,163371756.60,148832239.11,67043469.95,13618355.65,13993024.47,5110029.59,11127134.68,0.0
24,投资活动产生的现金流量净额,-1433832099.84,822353231.41,-240731784.81,-638986328.78,52502602.79,-520118118.88,-54987243.70,-2440399279.04,-3128430635.28,-3060985199.08,160097788.55,-1080719999.70,-781802644.37,-78744610.82,-780325274.48,-1493297320.50,-68573034.76,-24453992.36,-50222895.28,-353516233.57,-350711343.30,158742833.70,178816387.37,-158372994.63,-188177236.85,-174108755.85,-169121136.93,-479096696.77,-3030292.60,-2193795.68,-601368.98,80269272.76,15814270.42,18834713.29,13816199.33,-741714671.94,-378779349.53,-93579884.96,-52222118.96,-599205645.05,-87202968.09,-987348.08,-229742.54,-4454185.69,-176075527.58,-559318.69,-192250.00,34326400.39,-101058074.29,-27519569.95,-63888227.04,-58750526.09,-55986732.36,-44799103.14,-3306925.09,-63521805.82,-62560108.47,-58273234.30,-52181285.55,-70046350.31,-81732707.03,-82115165.43,-47156994.22,-153586775.81,-139730409.50,-67043469.95,-13618355.65,-13915284.90,-5110029.59,-10972134.68,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,2086643284.60,2161357824.60,486260677.20,2778579126.50,12901580.00,12631580.00,0,282608848.46,48737480.00,48184480.00,3876200.00,1031139980.00,302937500.00,98637500.00,98637500.00,3370378.00,0,0,0,1341260855.37,1374179797.70,0,0,10780000.00,255780000.00,10780000.00,0,18630000.00,18630000.00,0,0,50099400.00,50099400.00,50099400.00,14400000.00,9600000.00,0,0,0,3920000.00,3920000.00,0,0,0,0,0,0,502380000.00,0,0,0,2000000.00,2000000.00,2000000.00,0,3040000.00,1040000.00,0,0,0,0,0,0,0,0,0,0,305414000.00,0,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,1977999284.60,2052713824.60,486260677.20,1924579178.80,12901580.00,12631580.00,0,102575.00,26618920.00,21718920.00,3876200.00,17883794.60,302937500.00,98637500.00,0,3370378.00,0,0,0,0,0,0,0,10780000.00,255780000.00,10780000.00,0,18630000.00,0,0,0,50099400.00,50099400.00,50099400.00,0,9600000.00,0,0,0,3920000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,8975110000.00,8577110000.00,2096200000.00,6419050200.00,5150200000.00,4117000000.00,1058600000.00,7936500000.00,7719700000.00,4336700000.00,1762700000.00,7047750000.00,7066793600.00,3470400000.00,3040439225.08,6447680754.65,4327730000.00,4304250000.00,1897250000.00,6348846933.92,4130176233.92,2217160000.00,1137490000.00,5471687222.23,4040970000.00,2029900000.00,885000000.00,1942091570.09,1551902190.00,1081402190.00,599600000.00,1828900000.00,1314500000.00,742000000.00,370000000.00,1659000000.00,1434000000.00,791500000.00,406500000.00,1322218233.08,1111000000.00,688500000.00,339500000.00,1357367378.74,1302000000.00,756500000.00,201500000.00,475100000.00,475100000.00,395100000.00,160000000.00,256000000.00,205000000.00,150000000.00,30000000.00,268000000.00,208000000.00,138000000.00,20000000.00,260000000.00,210000000.00,150000000.00,10000000.00,240000000.00,180000000.00,90000000.00,0,60000000.00,40000000.00,181900000.00,0.0
