,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
20,投资所支付的现金,48015000.00,30000000.00,0,0,147029039.24,136740360.00,0,0,97582791.15,97582791.15,0,0,98149992.72,33000000.00,30000000.00,0,4000000.00,4000000.00,4000000.00,0,33865238.43,100000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000000.00,0,0,266159.00,266159.00,266159.00,0,0,0,0,300000.00,0,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80000000.00,0,0,0,104865097.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,1084000000.00,593000000.00,290000000.00,0,605000000.00,240000000.00,205000000.00,0,140000000.00,0,0,0,62779319.27,7429319.27,0,0,0,0,0,0,0,609858.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,投资活动现金流出小计,1167001372.34,651250038.01,305552382.20,9050978.62,806084603.52,426242910.51,242094557.73,18380065.42,292578658.50,131570632.22,19806601.41,7173086.07,205135808.12,70878476.91,54508421.55,13738108.14,153233785.61,52729126.75,24057402.29,11975735.49,181715986.08,132354651.08,12111848.58,6383438.43,35480454.06,21080129.35,18723252.08,6983346.71,63467996.14,45663784.97,21081029.70,4485833.97,31872413.02,12873969.75,7703483.27,995056.03,51772494.85,70579995.25,48643790.55,42301824.45,5581990.62,1287609.62,1006849.62,349908.12,976261.01,931437.01,876011.01,528498.00,1506172.00,0.0
24,投资活动产生的现金流量净额,-77054176.27,-54687606.35,-13667593.01,-8635416.98,-198118523.53,-205245831.03,-56189964.55,-18344065.42,-2489313.60,-130873999.22,-19109968.41,-6476453.07,-203701752.88,-70363476.91,-53993421.55,-13193108.14,-153107985.61,-52629126.75,-23957402.29,-11975735.49,-181715986.08,-132354651.08,-12111848.58,-6383438.43,-32547468.40,-18147143.69,-15790266.42,-6983346.71,-44167996.14,-45413784.97,-21081029.70,-4485833.97,-17637413.02,-12873969.75,-7703483.27,-995056.03,-51611753.45,-50559858.25,-48643790.55,-42301824.45,-5541990.62,-1247609.62,-966849.62,-309908.12,-896796.01,-931107.01,-876011.01,-526910.00,950955.49,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,26505000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245999974.70,-320700.00,-229068.00,0,20633316.00,20849916.00,20849916.00,20849916.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280620000.00,0,0,0,66625000.00,66625000.00,66625000.00,0,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31899250.00,24619250.00,0,0,50055380.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000000.00,5000000.00,5000000.00,0,5000000.00,0,0,20000000.00,18000000.00,0.0
29,发行债券收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
