,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,购建固定资产、无形资产和其他长期资产所支付的现金,44690884.57,30075829.70,22647837.38,12304353.70,49111272.55,41012279.23,26455818.90,8707437.66,39349261.91,24521611.35,15044078.71,2877774.73,64102689.00,28546223.18,23197020.11,3205913.92,58065208.52,18242906.12,13036779.54,3860366.33,31675369.26,23221253.71,10247627.35,8270481.03,148226058.36,33885224.00,13620975.69,3752305.71,56615261.55,23818373.65,17719894.50,12155508.07,62724482.82,33707868.54,28321798.95,8524347.81,149523901.11,118915712.94,111625247.44,104446241.06,52736516.33,28503703.18,22243244.44,8158685.04,192880334.70,124858050.79,103273304.29,68242776.39,102814730.16,41740582.96,32749609.03,17404398.40,181208144.04,13357309.20,104184344.05,0.0
20,投资所支付的现金,305873664.94,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0,0,0,0,0,0,0,0,0.00,0,150000.00,0,0.00,0,100000.00,0,0,0,0,0,0,0,1950000.00,0,0,0,0,0,0,0,0,0,0,0,0,883641.71,883641.71,0,0,20850000.00,0,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0.00,0,0,5000000.00,4988738.46,4988738.46,0,22578200.00,0.00,0.00,0.00,24200000.00,24200000.00,24200000.00,24200000.00,8776284.42,10400000.00,10400000.00,10400000.00,6919000.00,0,0,0,120659329.29,0,946500.00,0,0,0,0,0,0,0,0,0,883641.71,0,0,0,56153098.95,36000000.00,613440.00,0.0
22,支付的其他与投资活动有关的现金,1050000000.00,1050000000.00,670000000.00,570000000.00,696000000.00,674000000.00,554000000.00,60000000.00,1270500000.00,800000000.00,600000000.00,350000000.00,810900000.00,465000000.00,425000000.00,345000000.00,889300000.00,450000000.00,330000000.00,0,917444800.00,0.00,0.00,0.00,13000000.00,13274302.87,13126278.74,13018922.74,65840000.00,670153.16,179898.83,66476.30,0,0,0,1521577.30,0,3154658.17,3211713.34,2057055.17,3131691.70,0,0,4606087.35,0,3078929.04,10294284.32,3009967.56,0,72866.00,22866.00,633953.50,0,53739542.45,3000000.00,0.0
23,投资活动现金流出小计,1400564549.51,1080075829.70,692647837.38,582304353.70,745111272.55,715012279.23,580455818.90,68707437.66,1309849261.91,824521611.35,615044078.71,352877774.73,875002689.00,493546223.18,448197020.11,348205913.92,952365208.52,473231644.58,348025518.00,3860366.33,971698369.26,23221253.71,10247627.35,8270481.03,185576058.36,71359526.87,50947254.43,40971228.45,131331545.97,34888526.81,28299793.33,22621984.37,69643482.82,33707868.54,28321798.95,10045925.11,272133230.40,122070371.11,115783460.78,106503296.23,55868208.03,28503703.18,22243244.44,12764772.39,192880334.70,127936979.83,113567588.61,71252743.95,103698371.87,42697090.67,33656116.74,18038351.90,237361242.99,123946851.65,107797784.05,0.0
24,投资活动产生的现金流量净额,-287961134.25,-354355727.34,-671732631.70,-561393848.02,-31267334.05,-593217896.34,-529516458.47,-68679987.66,-3266467.82,-469905346.97,-463720791.04,-351816756.73,-30233722.32,-353453069.02,-348811483.44,-348137133.92,-26536747.60,-295486701.33,-297529468.00,-3839316.33,-31961557.96,-8106652.86,-8785290.60,-7062784.28,-92602539.22,-61173109.08,-40761306.64,-40906457.37,-118910900.62,-24114120.71,-27397234.05,-21800613.59,-58884754.75,-30943732.42,-25592060.15,-7334936.31,-264787582.73,-122024983.82,-115738073.49,-106477107.44,-47784194.20,-20273595.35,-13917311.94,-12574678.39,-186556418.41,-121676165.42,-107432523.44,-65141082.01,-73473137.71,-37411937.25,-28627584.56,-2009567.56,-207133937.01,-85512748.11,-86880063.74,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,0,0,0,0,0,0,0,0,0.00,0.00,0,0,500000.00,300000.00,300000.00,300000.00,490000.00,490000.00,490000.00,490000.00,338244674.55,340900018.55,340900018.55,0,3470000.00,1470000.00,1470000.00,0,2695000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600000.00,1470000.00,1470000.00,1471860.00,396340000.00,0,0,0,66450000.00,0,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,0,0.00,0.00,0,0,500000.00,300000.00,300000.00,300000.00,490000.00,490000.00,490000.00,490000.00,0,0.00,0,0,3470000.00,1470000.00,1470000.00,0,2695000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1471860.00,0,0,0,0,30450000.00,0,0,0.0
28,取得借款收到的现金,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0.00,0,0,0,0,0.00,0,45000000.00,45000000.00,45000000.00,0,0,0.00,0.00,0,10000000.00,10000000.00,10000000.00,0.00,314000000.00,314000000.00,264000000.00,154000000.00,285000000.00,138730000.00,86300000.00,51480000.00,290000000.00,245000000.00,195000000.00,135000000.00,285000000.00,255000000.00,180000000.00,120000000.00,230000000.00,200000000.00,200000000.00,150000000.00,100000000.00,68000000.00,97000000.00,0.0
