,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,购建固定资产、无形资产和其他长期资产所支付的现金,1931718212.75,1604525528.16,1293987017.93,660214675.92,6724533461.47,5311046657.15,3410695917.74,1499911413.68,3140722584.73,2086760753.38,1280697653.75,649303283.48,2764129397.43,1779630373.47,1048649962.04,228666080.22,1167299673.14,954946468.47,610412358.82,245992356.12,1061337379.11,653070239.37,495716049.44,223006186.72,1829731996.70,1330643496.66,1015756212.93,220328413.45,862624054.87,370038673.07,349789037.88,52220256.71,427488839.26,325276747.38,252158526.38,110374705.37,419884692.96,178110070.93,51834530.81,15860096.12,47758978.01,43935446.46,35588551.37,5086237.72,71983806.60,104167271.16,0.0
20,投资所支付的现金,0,0,0,1094059.08,25970255.00,35970255.00,35970255.00,25970255.00,4475460470.75,4471455326.23,4073231829.02,2872759000.00,5048752535.88,3732567690.68,2191896540.68,1463330441.56,3585288800.00,3343000000.00,1980000000.00,770000000.00,3190000000.00,1080000000.00,300000000.00,160000000.00,900000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687519.60,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,4910100.42,0,0,0,890215040.97,1456713481.53,1325970643.90,0,188172113.59,165154588.43,0,0,434639808.06,0,0,0,0,0,0,0,8422412.28,8422412.28,8422412.28,8422412.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,77253852.31,22345536.63,5072583.46,3469969.25,147979275.08,0,0,0,0,48.20,48.20,48.20,0,1190219.90,550000.00,0,0,0,0,0,0,0,0,0,0,185106000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2765454.42,0.0
23,投资活动现金流出小计,2008972065.06,1626871064.79,1299059601.39,664778704.25,6903393091.97,5347016912.15,3446666172.74,1525881668.68,8506398096.45,8014929609.34,6679900174.87,3522062331.68,8001054046.90,5678542872.48,3241096502.72,1691996521.78,5187228281.20,4297946468.47,2590412358.82,1015992356.12,4251337379.11,1733070239.37,795716049.44,383006186.72,2738154408.98,1524171908.94,1024178625.21,228750825.73,862624054.87,370038673.07,349789037.88,52220256.71,427488839.26,325276747.38,252158526.38,110374705.37,419884692.96,178110070.93,51834530.81,15860096.12,47758978.01,43935446.46,35588551.37,5086237.72,71983806.60,107620245.18,0.0
24,投资活动产生的现金流量净额,-1319282902.40,-1604882197.64,-1324022392.64,-644331275.15,-6642788523.97,-5098537844.15,-3199142794.74,-1525872988.70,-4036076865.75,-3472034520.51,-2665625550.78,-628986014.37,-3414314176.37,-2703575564.93,-1587421696.36,-605860247.80,-1271626725.53,-1112320123.55,-356057794.56,-92853018.77,-1395658186.13,-1431592615.02,-494286025.09,-222582927.86,-1831829532.01,-1524120119.20,-1024174427.69,-228750825.73,-861799820.37,-369244638.57,-349447756.49,-52068256.71,-427478339.26,-325266247.38,-252158026.38,-110374205.37,-419873592.96,-178098970.93,-51824530.81,-15860096.12,-47758978.01,-43935446.46,-35588551.37,-5086237.72,-71983806.60,-107620245.18,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,2990000000.00,2490000000.00,2490000000.00,0,40400000.00,0,20500000.00,0,84250000.00,-2689850.00,-1063750.00,2000000.00,1619556880.50,271177500.00,0,250000000.00,0,0,0,0,1961985840.00,1961985840.00,0,0,1454980600.00,1454980600.00,1454980600.00,1454980600.00,0,0,0,0,0,0,0,0,678000000.00,678000000.00,0,0,0,0,0,0,0,4500000.00,0.0
27,其中：子公司吸收少数股东投资收到的现金,1990000000.00,490000000.00,2490000000.00,0,40400000.00,0,0,0,84250000.00,0,0,2000000.00,0,0,0,250000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,17152260023.48,13124827542.19,10781132641.62,5370375739.77,26076360950.42,19174171069.14,13278961602.28,6029549918.22,12428938399.39,8498531344.37,6345664014.50,3100747524.68,3749963977.69,3593963977.69,2960964282.69,721820626.52,7429555828.82,6299226871.96,3965070240.34,2188606409.76,10641105614.05,9248938278.12,5252293522.14,2586942929.71,5527736790.59,4509513788.60,2387155749.67,935865468.89,2879343288.93,1656789006.95,1019003932.38,257149154.49,1150687356.52,860528431.40,688438431.40,336903960.00,257880000.00,209880000.00,98900000.00,25000000.00,105167929.96,51167929.96,46167929.96,30067929.96,112153944.96,71000000.00,0.0
29,发行债券收到的现金,0,0,0,0,998750000.00,0,0,0,2190700000.00,2190700000.00,997000000.00,997000000.00,0,0,0,0,794000000.00,0,0,0,892350000.00,892350000.00,892350000.00,892350000.00,0,0,0,0,199200000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,167764442.72,264442.72,212933.30,57950061.84,774981302.99,421423.41,305317.59,17561329.44,5192315.44,2115094.51,1536040.06,0,4041837.88,0,0,25518282.00,102121328.81,99114162.57,105044331.03,0,295138748.80,294716315.46,180367603.10,154890415.21,4460606.41,0,0,0,0,0,0,0,0,0,0,0,0,8542848.17,5751780.11,0,0,0,0,0,0,15500000.00,0.0
31,筹资活动现金流入小计,20310024466.20,15615091984.91,13271345574.92,5428325801.61,27890492253.41,19174592492.55,13299766919.87,6047111247.66,14709080714.83,10688656588.88,7343136304.56,4099747524.68,5373562696.07,3865141477.69,2960964282.69,997338908.52,8325677157.63,6398341034.53,4070114571.37,2188606409.76,13790580202.85,12397990433.58,6325011125.24,3634183344.92,6987177997.00,5964494388.60,3842136349.67,2390846068.89,3078543288.93,1656789006.95,1019003932.38,257149154.49,1150687356.52,860528431.40,688438431.40,336903960.00,935880000.00,896422848.17,104651780.11,25000000.00,105167929.96,51167929.96,46167929.96,30067929.96,112153944.96,91000000.00,0.0
32,偿还债务支付的现金,19233856450.99,15199097465.40,10912811896.31,4955295105.91,21084392409.60,14683165872.06,9159925468.31,3913599209.35,10253744353.31,5046698250.89,3103044811.33,1420000000.01,2733400395.14,1713080365.14,1415710853.52,1099681765.39,7937344324.31,5739804036.24,3375031373.32,2000180369.00,10817276440.93,6982501467.52,3803464580.32,1640020379.76,4731135740.87,2644286902.23,1741416679.09,954471853.13,1853513342.07,1107237927.64,497518179.37,173713995.96,345495403.06,150238793.06,66841000.00,2941000.00,173563596.22,170622596.22,53565375.00,11541000.00,78673153.04,37533126.54,28132153.04,22563050.28,67256828.57,9900000.00,0.0
