,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,购建固定资产、无形资产和其他长期资产所支付的现金,3258541204.95,297661263.33,100258397.67,2987822786.87,2230001141.14,1600065285.64,855058189.37,4932148953.38,2270743461.71,1843425705.57,1053489527.42,3820015290.39,2003552081.77,1622725525.11,570854865.58,1182153431.41,924471679.72,770123583.96,120953033.13,856026836.03,274526969.28,180060812.30,40499996.13,714136994.14,232559921.41,115284836.73,113540768.33,453106658.14,9818720.61,3324591.75,2775633.25,18589925.41,16453505.45,16977017.04,7519501.00,52098089.42,38458930.08,27498882.89,18283990.66,987995.82,4063393.94,3150840.71,858721.00,20638629.85,10704099.04,4880021.95,2006439.40,72161511.88,54208291.90,50651621.44,34246011.33,84165946.53,68229189.84,56128178.05,33297726.55,30754315.85,4518068.20,4070875.20,2653725.60,51763013.81,42593914.37,35816189.75,22207817.32,11729410.82,10038654.16,17982900.05,0,0.0
20,投资所支付的现金,4420008407.18,4023103919.74,1390645891.26,6993186339.96,11159381599.00,6943782794.47,217687980.59,6523700567.09,9171167810.57,6270148755.50,456950000.00,15580030306.40,20664081957.85,12595725611.11,2800000000.00,16061429675.00,11115800000.00,6606800000.00,2200000000.00,10911000000.00,7011929688.00,3211929688.00,0,8955000000.00,910972700.00,490000000.00,495226666.67,777825822.01,777875822.01,777875822.01,206229821.94,651893545.34,269600000.00,3534538.03,0,5000000.00,0,0,0,0,0,0,0,0,0,0,0,2256500.00,-916500.00,2256500.00,294000.00,2352000.00,2321049.00,2568000.00,2058000.00,8385600.00,8385600.00,8385600.00,0,18400000.00,45400000.00,1700000.00,1700000.00,0,0,0,0,0.0
21,取得子公司及其他营业单位支付的现金净额,1028456531.74,928456531.74,130000000.00,2707969608.72,2545039337.12,1763608054.11,141816446.17,14722462822.98,20108997901.90,16706086462.96,2669139673.89,12699900162.11,5437760427.17,4467571814.93,707477719.89,138561610.48,3174275191.61,91112069.43,27220000.00,523481449.82,733958749.82,318958761.00,318958761.00,1093401883.94,229278160.92,229278160.92,0,1409025443.74,659620600.00,0,0,236131177.67,259269304.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,0,0,0,948627778.00,200000000.00,200000000.00,2426049208.81,1986956960.31,1365850000.00,1210000000.00,6329608606.44,7127482453.09,3297498650.36,437748000.00,1433460000.00,1693500000.00,0,0,0,970000000.00,1000000.00,1000000.00,1000000.00,400000000.00,0,0,0,0,0,100000000.00,0,240000000.00,240100000.00,2198989.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217862.91,0,51659.73,0,0,0,0,0,0,0,103443.89,0,0,0,0,0.0
23,投资活动现金流出小计,8707006143.87,5249221714.81,1620904288.93,13637606513.55,16134422077.26,10507456134.22,3640611824.94,28165269303.76,32916759174.18,26029660924.03,10509187807.75,39227428211.99,31402893117.15,19123770951.15,5511792585.47,19075644716.89,15214546871.33,7468035653.39,2348173033.13,13260508285.85,8021415407.10,3711949261.30,360458757.13,11162538878.08,1372810782.33,834562997.65,608767435.00,2639957923.89,1447315142.62,881200413.76,209005455.19,1146614648.42,785422810.42,22710544.80,7519501.00,57098089.42,38458930.08,27498882.89,18283990.66,987995.82,4063393.94,3150840.71,858721.00,20638629.85,10704099.04,4880021.95,2006439.40,74418011.88,53291791.90,52908121.44,34540011.33,86517946.53,70768101.75,58696178.05,35407386.28,39139915.85,12903668.20,12456475.20,2653725.60,70163013.81,87993914.37,37516189.75,24011261.21,11729410.82,10038654.16,17982900.05,0,0.0
24,投资活动产生的现金流量净额,-4006247212.63,-3059453096.66,-1082902607.77,-5016552729.53,-9163730688.07,-6564932942.78,-3268373853.02,-20029913587.80,-25336440765.56,-20449181391.63,-8633396828.41,-25062319649.31,-21711009573.84,-14560404718.79,-3674908002.55,-5795546793.78,-5770283117.80,-824728890.63,-132937416.68,-2727530761.64,-2666925565.93,-1618258391.59,-159323584.96,-3075993840.55,-1372785136.19,-834558501.51,-608765423.97,-2639956423.89,-1447108917.58,-881004438.72,-208815633.35,-755338598.09,-474712318.80,-19558544.17,-7519501.00,-50897022.21,-37458930.08,-26328823.22,-15683990.66,40931553.62,-723695.68,-21493.58,1955279.00,-10025061.24,-8714714.04,-3088636.95,-1715054.40,-53837091.17,-36281391.40,-36012059.90,-31341826.56,-66600329.11,-45793688.97,-58696178.05,-35407386.28,-24175191.99,-245147.78,164245.22,9789057.40,-58807916.82,-80938034.37,-34945389.75,-23892461.21,-11579575.60,-9965555.91,-17629699.79,0,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,10448429496.70,63700000.00,0,4317178406.80,5221489604.72,4079864156.09,1351735241.18,40070848268.12,25017395560.78,17343625456.89,5301380000.00,17529248154.12,10932635809.32,8396635809.32,6896635809.32,7900000000.00,2400000000.00,1166971428.00,640000000.00,3515250000.00,1116389688.00,0,0,3197527300.00,0,0,0,0,0,0,0,1195300000.00,1185300000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490014.00,1450000.00,4310951.00,5550951.00,1020000.00,1020000.00,540000.00,0,5000000.00,3000000.00,3000000.00,2000000.00,280489819.92,33000000.00,0,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,10418135496.70,63700000.00,0,3675688006.80,4502805904.72,4079864156.09,1351735241.18,32070848268.12,15517395560.78,7843625456.89,1301380000.00,9635507344.80,4039000000.00,1503000000.00,3000000.00,7900000000.00,2400000000.00,1166971428.00,640000000.00,3515250000.00,1116389688.00,0,0,3197527300.00,0,0,0,0,0,0,0,1195300000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490014.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,83447742905.98,67644485465.18,24786485465.18,42120499169.68,30460184834.71,17094369244.68,8500421990.00,42268278930.14,35688460603.80,26588139324.24,11782930000.00,27886277981.99,20719617982.00,14771277982.00,1927900000.00,39208120140.97,36188120140.97,25209328135.60,11276641000.00,25994468688.00,21064099688.00,15922289688.00,5547700000.00,13554348000.00,10482518291.72,6186848000.00,2898000000.00,7022300000.00,3439900000.00,1080000000.00,501000000.00,1700000000.00,1100000000.00,0,0,0,0,0,0,141000000.00,41000000.00,23000000.00,5000000.00,50000000.00,52082730.00,36900000.00,1900000.00,105000000.00,90000000.00,55000000.00,25000000.00,55000000.00,30000000.00,30000000.00,0,90000000.00,50000000.00,50000000.00,0,103000000.00,63000000.00,63000000.00,63000000.00,51000000.00,0,58000000.00,0,0.0
29,发行债券收到的现金,0,8356337447.68,8356337447.68,30956337447.68,21033323451.07,15299139041.10,3581234041.10,18696126342.88,10736950698.25,8521961990.37,1702000000.00,24668964985.00,23670964985.00,21381014985.00,9259749990.00,7941999987.50,3972000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,0,0,0,42493175.00,0,0,0,526950795.33,20000.00,20000.00,20000.00,1081101120.28,601670000.00,578670000.00,364500000.00,1512217800.00,1670357800.00,1286357800.00,852777800.00,6000000.00,0,0,0,224000000.00,0,0,0,0,0,0,0,0,0,0,166070.57,0,0,0,52773.98,0,0,0,0,0,0,0,0,0,0,0,0,0,15527.34,0,8527.34,0,0,0,0,0,0,0,0,0,0,0,0,0.0
