,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20061231,20051231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,购建固定资产、无形资产和其他长期资产所支付的现金,161462850.90,81985634.60,26196020.60,116537371.23,71754993.03,39183004.41,6415778.37,125112639.03,50073516.63,27013478.23,8734957.60,14441367.30,10879654.03,5866445.05,2316175.05,19039023.67,10871043.40,5274515.84,1371606.00,7850178.60,5208047.80,2963007.82,1729578.60,19177357.85,16774464.42,13343461.70,11431009.61,13999818.64,11823859.33,8630350.89,3165193.69,20571839.50,18617937.61,14174854.12,5977080.87,61674022.00,41032715.90,25579137.56,10619864.40,81989900.05,58482859.92,43762377.10,30920985.57,33971806.41,29455772.11,24879447.61,12001237.88,27456173.67,14974090.49,11130492.63,13458514.09,12534035.32,0.0
20,投资所支付的现金,0,0,0,0,0,0,0,7069600.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,22000000.00,22000000.00,0,0,0,0,0,0,10000000.00,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,0,0,0,0,0,0,0.00,0,470000.00,0,210000.00,0,0,0,0,0,0,0,0.00,0,0,0,7982.50,0,0,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,4200000.00,0,0,0,0,0,0,0,0,0.0
23,投资活动现金流出小计,161462850.90,81985634.60,26196020.60,116537371.23,71754993.03,39183004.41,6415778.37,132182239.03,50543516.63,27013478.23,8944957.60,14441367.30,10879654.03,5866445.05,2316175.05,19039023.67,10871043.40,5274515.84,1371606.00,7850178.60,5208047.80,2963007.82,1737561.10,19177357.85,16774464.42,13343461.70,11431009.61,13999818.64,11823859.33,8630350.89,3165193.69,20571839.50,18617937.61,14174854.12,5977080.87,61674022.00,41032715.90,25579137.56,10619864.40,81989900.05,58482859.92,43762377.10,30920985.57,60171806.41,51455772.11,24879447.61,12001237.88,27456173.67,14974090.49,11130492.63,13458514.09,22534035.32,0.0
24,投资活动产生的现金流量净额,-157475150.90,-80626734.60,-25396020.60,-105833151.23,-64010850.03,-34513564.41,-6108618.37,-106174965.28,-47530756.63,-25870718.23,-8613797.60,-9849717.30,-9299163.06,-4946854.08,-2026175.05,-10880400.75,-7909044.83,-4747575.86,-1247906.00,-6108947.61,-3664689.05,-1887449.07,-1482461.10,39191665.00,-12670441.57,-9589438.85,-11431009.61,-11585601.81,-9409642.50,-8467134.06,-3165193.69,-15963239.50,-15438137.61,-11223654.12,-5977080.87,-42723976.71,-22351870.61,-20668292.27,-8515019.11,-70121876.49,-46951636.36,-32423953.54,-30917585.57,-57333351.80,-48835149.50,-22785742.61,-10758532.88,-26276951.92,-14214561.05,-10440963.19,-12185275.29,-21092128.32,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,0,0,0,0,0,0,0.00,107059993.92,107059993.92,108299993.92,108999993.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0,0,0,3600000.00,3600000.00,3600000.00,0,0,0,0,0,195240000.00,195240000.00,0,0,0,0,0,1200000.00,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0,0,0,3600000.00,3600000.00,3600000.00,0,0,0,0,0,0,0,0,0,0,0,0,1200000.00,0,0.0
28,取得借款收到的现金,133100000.00,84100000.00,27000000.00,111000000.00,91000000.00,35000000.00,20000000.00,148000000.00,98000000.00,48000000.00,10000000.00,83000000.00,73000000.00,20000000.00,10000000.00,78000000.00,58000000.00,35000000.00,15000000.00,78000000.00,48000000.00,35000000.00,15000000.00,90000000.00,90000000.00,35000000.00,15000000.00,55000000.00,55000000.00,20000000.00,0.00,55000000.00,33000000.00,20000000.00,0,36000000.00,26000000.00,11000000.00,0,85000000.00,25000000.00,10000000.00,0,165000000.00,89000000.00,60000000.00,0,80000000.00,40000000.00,40000000.00,28000000.00,5000000.00,0.0
