,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20031231,20021231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,购建固定资产、无形资产和其他长期资产所支付的现金,403821537.94,290248481.28,80358436.46,55854771.69,399402782.43,268570652.14,89313216.66,55526057.68,168441493.73,126605257.23,89895425.54,69231070.89,241304165.68,71829881.94,38085687.31,21343738.61,234518786.92,148131423.01,121824777.70,92102310.74,430531234.37,376286129.81,221489082.95,138281298.88,512622826.42,434240837.80,301230619.95,186029830.63,405524224.28,194684775.28,83056530.54,51441294.29,128401393.50,98532400.32,39469646.54,20228588.60,156018468.07,106597606.21,90471068.19,29299348.25,31293367.62,47670757.65,30602188.69,17107192.09,13556476.92,19417869.46,15763916.94,7683039.16,34451421.57,33405185.80,28511756.51,18913701.07,61995416.46,52554264.61,42632734.82,7357219.05,71649223.96,17464660.34,11398616.14,2412993.13,15788889.93,9840500.99,2347268.64,19679926.46,35416441.12,0.0
20,投资所支付的现金,0,0,0,0,12000000.00,8000000.00,8000000.00,4000000.00,3500000.00,3500000.00,0,0,552000000.00,4000000.00,0,0,4000000.00,4000000.00,4000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36593910.22,19121457.50,22862949.50,22862949.50,47329883.00,0,0,0,200400.00,52603469.31,20315000.00,0,0,0,0,0,0,0,0,0,18432185.82,18432585.82,500000.00,0,0,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,0,65212500.00,65212500.00,65212500.00,0,0,0,0,0,0,0,0,300000000.00,300000000.00,300000000.00,0,78076621.28,78069996.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,5014097.22,55014097.22,55014097.22,0,50296565.41,0,0,0,11917728.66,885504.00,0,0,74606109.95,0,0,0,8577543.43,13104630.43,0,0,0,0,0,0,0,550877.36,550877.36,550877.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46020.00,46020.00,0,0,0,0,0,0,23155.00,15879.00,0,2720428.31,501622.73,-482497.27,0,3746538.19,0.0
23,投资活动现金流出小计,408835635.16,345262578.50,135372533.68,55854771.69,461699347.84,276570652.14,97313216.66,59526057.68,183859222.39,196203261.23,155107925.54,134443570.89,867910275.63,75829881.94,38085687.31,21343738.61,247096330.35,165236053.44,125824777.70,92102310.74,730531234.37,676286129.81,521489082.95,138281298.88,590699447.70,512861711.16,301781497.31,186580707.99,405524224.28,194684775.28,83056530.54,51441294.29,128401393.50,98532400.32,39469646.54,20228588.60,156018468.07,106597606.21,90471068.19,29299348.25,67887277.84,66792215.15,53465138.19,39970141.59,60886359.92,19417869.46,15763916.94,7683039.16,34651821.57,86054675.11,48872776.51,18913701.07,61995416.46,52554264.61,42632734.82,7357219.05,71649223.96,17487815.34,11414495.14,2412993.13,36941504.06,28774709.54,2364771.37,19679926.46,39162979.31,0.0
24,投资活动产生的现金流量净额,-333281036.19,-269468513.20,-59833445.44,-4894310.79,51194839.01,-220205529.16,-56104269.81,-59433298.68,-138752128.06,-159924486.80,-125745093.24,-124410940.89,-64549601.63,-75356743.67,-37942088.31,-21236236.61,-235229360.92,-164218499.33,-124861530.27,-91981769.74,-721747941.83,-660047470.20,-510080321.35,-128291089.87,-580851790.96,-483822966.51,-292526199.59,-176801127.35,-382228067.58,-156376251.92,-45501216.16,-51011381.89,-127988081.66,-98167238.30,-39137184.52,-20207887.19,-151501315.47,-103793455.01,-88244248.88,-28313389.34,-64730999.91,-64611185.34,-52718266.04,-39806516.48,-60615301.03,-19143453.19,-15691815.06,-7683039.16,-23403549.66,-23030170.06,-25940768.80,-18670161.07,-70890174.93,-51767315.77,-42078716.98,-7357219.05,-71170260.46,-16949538.34,-10876218.14,-2410716.13,-22951706.89,-28543146.09,-2364771.37,-19430194.99,-36801095.02,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,1610577783.30,1610577783.30,0,0,0,0,0,0,0,0,0,0,106258993.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254917399.82,254917399.82,254917399.82,0,6750000.00,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,8379000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,2577218361.21,1672486720.00,1423747000.00,595000000.00,2261337073.75,2131437073.75,1459970000.00,459970000.00,2542405993.90,1501544593.90,1215892600.00,349960000.00,3267667863.00,392000000.00,163000000.00,82000000.00,949052293.12,610102293.12,530102293.12,243830231.43,1604344643.48,1431092447.49,1012321671.17,371487954.02,1326722497.52,984713554.83,606366356.17,197083069.92,1009373353.54,780224822.15,501612583.14,135112808.48,308983535.02,150000000.00,45000000.00,30000000.00,46000000.00,36000000.00,16000000.00,10000000.00,38050000.00,11000000.00,10000000.00,10000000.00,45800000.00,10800000.00,2800000.00,800000.00,17000000.00,5000000.00,0,3040000.00,5000000.00,9000000.00,9000000.00,2000000.00,23000000.00,2000000.00,2000000.00,0,19000000.00,29200000.00,29200000.00,86400000.00,23600000.00,0.0
