,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
20,投资所支付的现金,12450000.00,10000000.00,10000000.00,0,0,0,0,0,0,0,0,12540000.00,12540000.00,12540000.00,12540000.00,0,0,0,0,0,0,0,0,3000000.00,0,0,0,0,51007119.70,26007119.70,26007119.70,25277600.00,0,0,0,0,0,0,0,3000000.00,3000000.00,0,0,1000000.00,1000000.00,0,0,1000000.00,0,0,0,0,0,0,0,0,0,0,0,0,19000000.00,19000000.00,0,0,0,0,0,0,0,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22478446.40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2365.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,投资活动现金流出小计,398925836.31,273174308.00,103156330.49,494060310.46,144970817.25,116848466.13,91833462.05,366800378.84,50115370.87,37249224.91,39238229.40,384874409.55,36263013.05,29796410.26,60164105.29,394743626.30,169830980.65,157055567.43,89807791.89,491094021.54,543202189.88,231202011.82,161197825.20,852012699.53,491448063.11,330090635.85,76534354.31,907804052.89,690191203.55,603958529.26,57319559.51,1017823536.82,314478245.21,21426442.29,1110924.70,24416914.00,8913940.38,10432272.87,364807.34,27565217.93,13342656.77,4746888.79,858009.00,52074742.04,45286489.96,18243136.13,6510730.55,90855485.08,8299487.39,7195151.13,2329410.55,13619908.28,10181164.98,4740527.53,2439186.78,14815189.29,9065102.80,6084455.15,6133120.70,24807958.52,27908474.17,27722671.33,27611904.90,96672717.18,160085273.08,135373851.12,7021206.25,111507614.30,0,0.0
24,投资活动产生的现金流量净额,-199108391.69,-112025939.46,-96100576.66,-459789502.91,-121593055.39,-108648847.50,-90218718.37,-319438752.27,-28932070.72,-20291173.27,-36180996.03,-356437403.49,-20425310.69,-18672236.88,-58430607.12,-376041758.76,-158211647.97,-148382123.48,-85933392.34,-431146640.10,-510278436.49,-202485972.92,-140897555.74,-778482563.66,-480631440.61,-324622898.57,-74481292.50,-870604070.33,-673645793.98,-597832204.87,-55534804.48,-936873192.37,-307169019.56,-16878868.49,1620638.99,-14320738.36,-3675761.05,-7532433.74,780280.72,-21997585.07,-9767273.42,-1885959.37,391752.72,-42076025.66,-38886242.64,-15624378.94,-5754396.20,-83589018.07,-2988601.00,-4536804.27,-2329410.55,-9064246.99,-10181164.98,-3340698.96,-2439186.78,-12949731.42,-9052962.80,-6072315.15,-6133120.70,-16519387.38,-27808990.67,-27623187.83,-27619845.90,-96672717.18,-160085273.08,-135373851.12,-7021206.25,-111507614.30,0,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1387528701.21,1387528600.00,1387528600.00,57700101.21,20900000.00,16000000.00,16000000.00,5000000.00,10000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000.00,0,0,0,287640000.00,287640000.00,287640000.00,287640000.00,0,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67700000.00,0,57700000.00,16000000.00,16000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,2118877705.00,1256239838.32,1014359838.32,3455274539.00,1055040000.00,1602170000.00,64670000.00,1959000000.00,1454000000.00,556500000.00,256500000.00,1612000000.00,1252000000.00,944000000.00,649000000.00,1127000000.00,1078000000.00,850000000.00,730000000.00,2037000000.00,1459000000.00,1314000000.00,311000000.00,1056197126.01,1193197126.01,893197126.01,416197126.00,1340970000.00,626970000.00,374000000.00,120000000.00,423630000.00,110000000.00,110000000.00,90000000.00,135000000.00,30000000.00,30000000.00,20000000.00,502600000.00,302600000.00,242600000.00,168600000.00,943450000.00,681450000.00,482150000.00,235700000.00,598900000.00,418900000.00,318900000.00,118000000.00,349300000.00,299300000.00,181500000.00,75500000.00,366800000.00,316900000.00,192600000.00,124500000.00,622446125.89,513111641.45,290421136.20,84606000.00,202409051.24,111378991.14,24879491.14,24879491.14,74200000.00,0,0.0
29,发行债券收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,1006414208.26,858189689.76,32003492.31,938099695.14,744946850.49,589847221.49,283237890.72,480733003.04,322950239.06,275292235.27,323233894.94,349305560.00,100000000.00,50000000.00,0,44433333.00,245001282.37,181887952.56,0,350000000.00,150000000.00,37903469.77,150000000.00,69656.43,0,37973126.20,0,2545264.80,40518391.00,40518391.00,0,39114272.00,8716909.58,0,0,0,0,0,0,0,0,0,0,0,317867584.21,201935020.00,2300000.00,466054651.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700000.00,0,0.0
